system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2018",,,,,,,,,
"Jan 2, 2018",,,,,,,,,
"Jan 3, 2018",,,,,,0.575,0.481,0.458,0.471
"Jan 4, 2018",0.169,0.158,0.158,0.198,0.227,0.08,0.222,0.057,0.058
"Jan 5, 2018",0.416,,0.506,0.375,,0.332,0.375,0.285,0.405
"Jan 6, 2018",,,,,,,,,
"Jan 7, 2018",0.171,0.147,0.147,0.187,0.152,0.084,0.125,0.08,0.116
"Jan 8, 2018",0.352,0.374,0.374,0.477,0.27,,0.465,0.376,
"Jan 9, 2018",,,,,,,0.404,0.272,0.541
"Jan 10, 2018",,,,,,,,,
"Jan 11, 2018",0.225,0.26,0.26,0.257,0.241,0.227,0.369,0.219,0.159
"Jan 12, 2018",0.528,0.382,0.382,0.555,0.46,0.379,0.529,0.524,0.421
"Jan 13, 2018",,0.565,0.565,,0.565,,,,0.543
"Jan 14, 2018",,0.508,,0.481,0.419,0.377,0.462,0.422,0.346
"Jan 15, 2018",,,,,,,,,
"Jan 16, 2018",,,,,,,,,
"Jan 17, 2018",,,,,,,,,
"Jan 18, 2018",,,,0.594,,,0.594,,
"Jan 19, 2018",,,,,,,,0.454,
"Jan 20, 2018",,,,,,,0.515,0.434,0.488
"Jan 21, 2018",,0.34,0.346,,0.356,0.347,,0.534,0.328
"Jan 22, 2018",,0.262,0.276,0.374,0.26,0.344,0.572,0.419,0.383
"Jan 23, 2018",,,,,0.449,0.424,,0.272,0.398
"Jan 24, 2018",0.283,0.168,0.153,0.182,0.284,0.185,0.187,0.122,0.194
"Jan 25, 2018",0.264,0.359,0.359,0.333,0.225,0.246,0.291,0.253,0.269
"Jan 26, 2018",,,,,,,,0.589,
"Jan 27, 2018",,0.516,,0.509,0.459,0.393,0.401,0.316,0.279
"Jan 28, 2018",0.37,0.289,0.262,0.314,0.293,0.297,0.303,,0.211
"Jan 29, 2018",0.142,0.161,0.053,0.186,0.161,0.088,0.167,0.1,0.042
"Jan 30, 2018",0.231,0.166,0.166,0.158,0.158,0.083,0.127,0.199,0.104
"Jan 31, 2018",0.222,0.189,0.246,0.306,0.249,0.183,0.279,0.301,0.258
"Feb 1, 2018",0.151,0.186,0.161,0.302,0.198,0.137,0.201,0.271,0.133
