system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2023",,,,,,,,,
"Jan 2, 2023",,,,,,,,,
"Jan 3, 2023",,,,,,,,,
"Jan 4, 2023",0.372,0.338,0.309,0.306,0.405,0.309,0.223,0.222,0.308
"Jan 5, 2023",,,,,,,,,
"Jan 6, 2023",,,,,,,,,
"Jan 7, 2023",,,,,,,,,
"Jan 8, 2023",,,,,,0.684,,,
"Jan 9, 2023",,,,,,,,,
"Jan 10, 2023",,,,,,0.543,,0.245,
"Jan 11, 2023",0.599,0.55,0.531,,,0.553,,,0.532
"Jan 12, 2023",,,,,,,,,
"Jan 13, 2023",0.418,0.317,0.327,0.416,0.37,0.337,0.407,0.419,0.401
"Jan 14, 2023",,,,,,,,,
"Jan 15, 2023",,,,,,,,,
"Jan 16, 2023",0.558,0.39,0.39,0.248,0.314,0.574,0,0.344,0.372
"Jan 17, 2023",,,,,,,,,
"Jan 18, 2023",0.468,0.372,0.365,0.393,0.35,0.354,0.402,0.298,0.324
"Jan 19, 2023",,,,,,,,,
"Jan 20, 2023",,,,,,,,,
"Jan 21, 2023",,,,,,,,0.58,
"Jan 22, 2023",,,0.583,0.501,0.492,0.52,0.477,0.332,0.444
"Jan 23, 2023",,0.235,0.252,0.321,0.232,0.236,0.22,0.21,0.19
"Jan 24, 2023",0.546,0.476,0.498,0.293,0.489,0.509,0.31,0.298,0.572
"Jan 25, 2023",0.294,0.243,0.243,0.324,0.291,0.24,0.329,0.313,0.244
"Jan 26, 2023",,,,,,,,,
"Jan 27, 2023",0.12,0.153,0.155,0.335,0.095,0.162,0.172,0.136,0.149
"Jan 28, 2023",0.201,0.21,0.208,0.279,0.281,0.162,0.213,0.241,0.166
"Jan 29, 2023",0.092,0.082,0.082,0.148,0.086,0.086,0.107,0.013,0.034
"Jan 30, 2023",0.443,0.455,0.455,0.365,0.516,0.37,0.365,0.421,0.329
"Jan 31, 2023",0.557,,,,,,,,
"Feb 1, 2023",,,,,,,,,
"Feb 2, 2023",,,,,,,,,
"Feb 3, 2023",0.237,0.242,0.208,0.299,0.165,0.229,0.26,0.176,0.138
