system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2022",,,,,,,,,
"Jan 2, 2022",0.353,0.275,0.505,0.553,0.619,0.393,0.72,0.199,0.385
"Jan 3, 2022",0.051,0.079,0.086,0.084,0.084,0.092,0.084,0.055,0.116
"Jan 4, 2022",0,0,0,0,0,0,0,0,0
"Jan 5, 2022",,,,0.567,0.53,,0.567,,0.566
"Jan 6, 2022",0.066,0.088,0.025,0.159,0,0.026,0.052,0.329,0.01
"Jan 7, 2022",0.262,0.293,0.316,0.345,0.293,0.174,0.279,0.246,0.196
"Jan 8, 2022",0,0,0,0,0,0,0,0,0
"Jan 9, 2022",0.51,0.379,0.424,0.486,0.497,0.374,0.436,0.354,0.263
"Jan 10, 2022",,0.582,0.582,,,,,0.268,
"Jan 11, 2022",0.308,0.409,0.192,0.348,0.303,0.192,0,0.152,0.162
"Jan 12, 2022",,,,,,,,,
"Jan 13, 2022",,0.324,,0.138,0.19,,0.148,0,0.221
"Jan 14, 2022",,,,,,,,,
"Jan 15, 2022",0,0.014,0.017,0.028,0.017,0.14,0.075,0.218,0.195
"Jan 16, 2022",0.456,0.477,0.439,0.527,0.482,0.332,0.478,0.53,0.369
"Jan 17, 2022",0,0.067,0.067,0.035,0.029,0.109,0.114,0.07,0.144
"Jan 18, 2022",0.449,0.531,0.512,0.467,0.373,0.01,0.377,0.399,0.362
"Jan 19, 2022",,,,,,,,,
"Jan 20, 2022",0,0.48,0.416,0.218,0.525,0.25,0.363,0.207,0
"Jan 21, 2022",,,,,,0.512,,0.565,0.426
"Jan 22, 2022",0.071,0.24,0.384,0,0.24,0.131,0.127,0,0.324
"Jan 23, 2022",0.214,0.234,0.245,0.209,0.184,0.235,0.243,0.185,0.202
"Jan 24, 2022",0.143,0.1,0.1,0.066,0.091,0.093,0.272,0.099,0.098
"Jan 25, 2022",,,,,,,,,
"Jan 26, 2022",,,,,,,,,
"Jan 27, 2022",0,0.371,0.371,0.432,0.358,0.303,0,0.209,0.394
"Jan 28, 2022",,,,,,,,,
"Jan 29, 2022",,,,,,,,,
"Jan 30, 2022",,,,,,,,,
"Jan 31, 2022",,,,,,,,,
"Feb 1, 2022",,,,,,,,0.522,
"Feb 2, 2022",0.534,0.501,0.587,0.52,0.487,0.589,0.459,0.507,0.521
"Feb 3, 2022",0.166,0.279,0.152,0.314,0.273,0.151,0.381,0,0.384
"Feb 4, 2022",0.335,0.55,0.375,0.608,0.47,0.422,0.442,0.355,0.43
"Feb 5, 2022",0,0.385,0.278,0,0.098,0.346,0,0.09,0.191
"Feb 6, 2022",,,,,,,,,
"Feb 7, 2022",,,,,,,,,
"Feb 8, 2022",,,,,,,,,
"Feb 9, 2022",0.583,0.555,0.58,,0.555,0.547,0.458,,0.562
"Feb 10, 2022",0.289,0.396,0.396,0.406,0.4,0.363,0.494,0.339,0.322
"Feb 11, 2022",,,,,,,,,
"Feb 12, 2022",,,,,,,,,
"Feb 13, 2022",,,,,,,,,
"Feb 14, 2022",0.407,0.353,0.477,0.323,0.473,0.584,0.492,0.402,0
"Feb 15, 2022",,,,,,,,,
"Feb 16, 2022",,,,,,,,,
"Feb 17, 2022",0.551,,0.578,0.46,,0.498,0.474,0.382,0.436
"Feb 18, 2022",,,,,,,,,
"Feb 19, 2022",,,,0.089,,0,0.133,0.16,0.252
"Feb 20, 2022",,,,,,,,,
"Feb 21, 2022",0,0,0,0,0.288,0.061,0,0.145,0.108
"Feb 22, 2022",,,,,,,,,
"Feb 23, 2022",0,0.515,0.426,,0.411,0.591,0.298,0.142,0.1
"Feb 24, 2022",,,,,,,,,
"Feb 25, 2022",,,,,,,,,
"Feb 26, 2022",,,,,,,,,
"Feb 27, 2022",,,,,,,,,
"Feb 28, 2022",0.392,0.498,0.498,,,0.432,,0.408,0.373
"Mar 1, 2022",,,,,,,,,
"Mar 2, 2022",,,,,,,,,0.575
"Mar 3, 2022",,,,,,,,,
"Mar 4, 2022",0.25,0.144,0.016,0.151,0.092,0.029,0.104,0,0
"Mar 5, 2022",,,,,,,,,
"Mar 6, 2022",,,,,,,,,
"Mar 7, 2022",,,,,,,,0,
"Mar 8, 2022",,,,,,,,,
"Mar 9, 2022",0,0,0,0,0,0.069,0.04,0,0.024
"Mar 10, 2022",,,,,,,,,
"Mar 11, 2022",,,,,,0.142,,,
"Mar 12, 2022",,,,,,,,,
"Mar 13, 2022",0.113,0.155,0,0.046,0.155,0.003,0.016,0,0.056
"Mar 14, 2022",0,0.071,0,0,0,0.14,0.284,0.163,0.281
"Mar 15, 2022",,,,,,,,,
"Mar 16, 2022",,,,,,,,0.195,
"Mar 17, 2022",,,,,,,,,
"Mar 18, 2022",0.155,0.171,0.062,0.383,0.171,0.077,0.131,0,0.168
"Mar 19, 2022",,,,,,,,,
"Mar 20, 2022",,,,0.38,,,0.111,0,0
"Mar 21, 2022",,,,0.506,,,0.584,0.501,
"Mar 22, 2022",0.313,0.298,0.31,0.521,0.53,0.29,0.583,0.285,0.349
