system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2019",0.152,0.19,0.186,0.17,0.186,0.082,0.111,0.176,0.067
"Jan 2, 2019",0.169,0.178,0.196,0.212,0.154,0.213,0.183,0.107,0.146
"Jan 3, 2019",0.344,0.345,0.318,0.406,0.148,0.304,0.406,0.271,0.246
"Jan 4, 2019",,,,,,,,,
"Jan 5, 2019",0.394,0.447,0.473,0.178,0.447,0.291,0.422,0.272,0.239
"Jan 6, 2019",,,,,,,,,
"Jan 7, 2019",,,0.515,,0.512,,,0.422,0.378
"Jan 8, 2019",,,,,,,,,
"Jan 9, 2019",,,0.43,,,0.43,,0.349,0.427
"Jan 10, 2019",,,,,,,,0.333,
"Jan 11, 2019",,,,,,,,,
"Jan 12, 2019",0.342,0.364,0.364,0.349,0.364,0.291,0.349,0.227,0.249
"Jan 13, 2019",,,,,,,,,
"Jan 14, 2019",0.363,0.352,0.344,0.429,0.347,0.437,0.382,0.522,0.331
"Jan 15, 2019",,0.478,0.478,,0.489,0.497,,,0.435
"Jan 16, 2019",,,,,,,,,
"Jan 17, 2019",,,,,,,,,
"Jan 18, 2019",0.372,0.45,0.425,0.413,0.326,0.357,0.429,0.392,0.471
"Jan 19, 2019",,,,,,,,,0.547
"Jan 20, 2019",,,,,,,,,
"Jan 21, 2019",0.293,0.427,0.427,0.361,0.351,0.364,0.33,0.237,0.135
"Jan 22, 2019",0.332,0.254,0.216,,0.331,0.268,,0.549,0.264
"Jan 23, 2019",0.159,0.173,0.17,0.175,0.216,0.194,0.253,0.176,0.161
"Jan 24, 2019",0.262,0.382,0.334,0.209,0.228,0.252,0.195,0.234,0.18
"Jan 25, 2019",0.283,0.214,0.214,0.204,0.214,0.293,0.245,0.202,0.187
"Jan 26, 2019",0.222,0.227,0.215,0.229,0.246,0.164,0.2,0.144,0.136
"Jan 27, 2019",0.316,0.338,0.338,0.34,0.302,0.341,0.292,0.241,0.358
"Jan 28, 2019",,,,,,0.53,,0.589,0.552
"Jan 29, 2019",,,,,,,,,
"Jan 30, 2019",0.46,0.44,0.44,,0.44,0.445,0.569,0.543,0.373
"Jan 31, 2019",,,,,,,,,
"Feb 1, 2019",,,,,,,,,
"Feb 2, 2019",,,0.461,,0.55,0.389,0.555,0.415,0.492
"Feb 3, 2019",,,,,,,,0.533,
"Feb 4, 2019",,,,,,,,,
"Feb 5, 2019",,,,,,,,,
"Feb 6, 2019",,0.579,0.5,,0.411,0.474,,,0.529
"Feb 7, 2019",,,,,,,,,
"Feb 8, 2019",0.429,0.451,0.46,0.31,0.451,0.474,0.312,0.339,0.324
"Feb 9, 2019",,,,,,,,,
"Feb 10, 2019",0.522,0.599,0.596,0.583,0.589,0.525,0.521,0.566,
"Feb 11, 2019",,,,,,,,0.554,
"Feb 12, 2019",0.46,0.434,0.42,0.474,0.511,0.504,0.466,0.447,
"Feb 13, 2019",,,,,,,,,
"Feb 14, 2019",,,,,,,,,
"Feb 15, 2019",0.362,0.406,0.4,0.458,0.284,0.354,0.436,0.27,0.231
"Feb 16, 2019",0.471,0.373,0.373,0.399,0.373,0.347,0.401,0.407,0.346
"Feb 17, 2019",0.286,0.289,0.213,0.321,0.306,0.234,0.321,0.235,0.203
"Feb 18, 2019",,,,,,,,,
"Feb 19, 2019",,,,,,,,,
"Feb 20, 2019",,,,,,,,,
"Feb 21, 2019",,,,,,,,,
"Feb 22, 2019",,0.786,0.786,,0.84,0.557,,0.47,0.578
"Feb 23, 2019",,,,,,,,,
"Feb 24, 2019",,,,,,,,,
"Feb 25, 2019",0.513,,,,,0.398,,,0.383
"Feb 26, 2019",0.585,0.53,0.486,0.364,0.364,0.409,0.331,0.247,0.309
"Feb 27, 2019",,,,0.378,,0.439,0.427,0.349,0.32
"Feb 28, 2019",,,,,,,,0.515,0.532
"Mar 1, 2019",,0.533,0.544,0.669,0.533,0.577,0.604,0.494,
"Mar 2, 2019",,,,,,,,,
"Mar 3, 2019",,,,0.563,0.557,,0.503,0.42,0.495
"Mar 4, 2019",,,,,,,,,
"Mar 5, 2019",,,,,,,,,
"Mar 6, 2019",,,,,,,,,
"Mar 7, 2019",,,,,,,,,
"Mar 8, 2019",0.357,0.302,0.302,0.246,0.229,0.25,0.331,0.211,0.234
"Mar 9, 2019",,,,,,,,,
"Mar 10, 2019",,0.564,0.396,0.536,0.542,0.433,,0.593,0.369
"Mar 11, 2019",,,,,,,,,
"Mar 12, 2019",,0.322,0.233,,0.322,0.33,0.303,0.305,0.161
"Mar 13, 2019",,,,,,,,,
"Mar 14, 2019",0.41,0.597,0.379,,0.415,0.396,0.47,0.503,0.408
"Mar 15, 2019",,,,,,,0.394,0.362,
"Mar 16, 2019",0.245,0.192,0.192,0.226,0.188,0.219,0.274,0.252,0.262
