Archivo,Filas iniciales,Datos iniciales,Filas finales,Datos finales,Fecha inicio,Fecha fin
Carapungo.csv,7365,103110,5812,81368,2007-07-03,2024-02-29
SanAntonio.csv,7365,88380,1420,17040,2019-08-29,2024-02-29
Tumbaco.csv,7365,95745,1668,21684,2019-06-10,2024-02-29
Guamani.csv,7365,103110,2497,34958,2017-03-06,2024-02-29
Cotocollao.csv,7365,103110,4498,62972,2007-02-22,2024-02-29
Belisario.csv,7365,103110,5818,81452,2007-05-16,2024-02-29
Centro.csv,7365,103110,1887,26418,2018-11-23,2024-02-29
LosChillos.csv,7365,103110,2352,32928,2016-09-15,2024-02-29
ElCamal.csv,7365,103110,4713,65982,2007-06-01,2022-11-19
