system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2020",,,,,,,,,
"Jan 2, 2020",,,,,,0.525,,,
"Jan 3, 2020",,0.436,0.421,,0.429,0.408,0.345,0.313,0.388
"Jan 4, 2020",0.261,0.228,0.225,0.291,0.245,0.2,0.282,0.262,0.221
"Jan 5, 2020",,0.343,0.364,0.324,0.32,0.414,0.344,0.33,0.346
"Jan 6, 2020",0.356,0.385,0.34,0.308,0.347,0.362,0.321,0.386,0.315
"Jan 7, 2020",,,,,,,,,
"Jan 8, 2020",0.312,0.303,0.312,0.361,0.278,0.24,0.343,0.257,0.23
"Jan 9, 2020",0.435,0.398,0.379,0.49,0.377,0.334,0.483,0.407,0.263
"Jan 10, 2020",0.235,0.232,0.232,0.286,0.228,0.237,0.328,0.256,0.258
"Jan 11, 2020",0.409,0.321,0.322,0.318,0.3,0.29,0.327,0.273,0.216
"Jan 12, 2020",0.257,0.23,0.24,0.275,0.228,0.248,0.276,0.226,0.242
"Jan 13, 2020",0.281,0.263,0.265,0.258,0.243,0.233,0.249,0.249,0.169
"Jan 14, 2020",0.262,0.265,0.284,0.277,0.278,0.34,0.306,0.275,0.381
"Jan 15, 2020",0.283,0.286,0.276,0.27,0.257,0.21,0.284,0.265,0.184
"Jan 16, 2020",0.484,0.398,0.39,0.477,0.353,0.333,0.438,0.385,0.272
"Jan 17, 2020",0.225,0.267,0.26,0.244,0.227,0.225,0.278,0.274,0.189
"Jan 18, 2020",0.482,0.447,0.498,,0.397,0.451,,0.453,0.331
"Jan 19, 2020",0.282,0.34,0.32,0.362,0.312,0.27,0.346,0.33,0.274
"Jan 20, 2020",,,,,,0.501,0.557,0.502,0.449
"Jan 21, 2020",,,,,,,,,
"Jan 22, 2020",,,,,,,,,
"Jan 23, 2020",,,,,,,,,
"Jan 24, 2020",0.578,0.54,0.561,0.514,0.523,0.547,0.502,0.572,0.512
"Jan 25, 2020",,,,,,,,,
"Jan 26, 2020",0.502,0.537,0.511,0.528,0.503,0.479,0.505,0.457,0.484
"Jan 27, 2020",,,,,,,,,
"Jan 28, 2020",0.305,0.273,0.272,0.307,0.26,0.265,0.297,0.291,0.264
"Jan 29, 2020",,,,,,,,,
"Jan 30, 2020",,,,,,,,,
"Jan 31, 2020",,,,,,,,,
"Feb 1, 2020",,,,,,,,,
"Feb 2, 2020",0.499,0.514,0.514,,,0.534,,,
"Feb 3, 2020",,0.403,0.39,0.437,0.387,0.322,0.441,0.389,0.366
"Feb 4, 2020",0.403,0.466,0.475,0.468,0.414,0.412,0.499,0.541,0.423
"Feb 5, 2020",0.152,0.183,0.176,0.094,0.169,0.134,0.133,0.151,0.131
"Feb 6, 2020",0.143,0.127,0.138,0.149,0.119,0.142,0.149,0.156,0.134
"Feb 7, 2020",0.315,0.291,0.284,0.322,0.272,0.234,0.297,0.303,0.215
"Feb 8, 2020",,,,,,0.564,0.521,0.529,0.615
"Feb 9, 2020",0.462,0.552,0.544,0.534,0.541,0.528,0.517,0.416,0.491
"Feb 10, 2020",,,,,,,,,0.517
"Feb 11, 2020",0.181,0.165,0.168,0.188,0.141,0.142,0.212,0.151,0.107
"Feb 12, 2020",,0.568,,0.351,0.419,0.365,0.341,0.265,0.386
"Feb 13, 2020",0.337,0.299,0.304,0.322,0.272,0.284,0.32,0.267,0.284
"Feb 14, 2020",0.228,0.197,0.197,0.277,0.216,0.167,0.275,0.318,0.161
"Feb 15, 2020",0.476,0.495,0.506,0.559,0.525,0.555,0.567,0.538,0.574
"Feb 16, 2020",0.4,0.379,0.388,0.353,0.346,0.375,0.382,0.316,0.297
"Feb 17, 2020",,,0.562,,,0.562,0.502,,0.4
"Feb 18, 2020",0.3,0.392,0.394,0.354,0.303,0.336,0.402,0.374,0.283
"Feb 19, 2020",,,,,,0.525,,,0.483
"Feb 20, 2020",,,,,,,,,
"Feb 21, 2020",,,,,,,,0.475,
"Feb 22, 2020",,,,,,,,,
"Feb 23, 2020",,,,,,,,,
"Feb 24, 2020",,,,,,,,,
"Feb 25, 2020",,,,0.597,,,0.511,0.426,0.557
"Feb 26, 2020",,,,,,,,,
"Feb 27, 2020",,,,,,,,,
"Feb 28, 2020",,,,,,0.586,,0.549,0.567
"Feb 29, 2020",,0.462,0.481,0.497,0.428,,0.488,0.428,0.486
"Mar 1, 2020",0.497,0.356,0.348,0.461,0.365,0.316,0.427,0.518,0.298
"Mar 2, 2020",,,,0.593,,,0.549,0.526,
"Mar 3, 2020",,0.448,0.468,0.354,0.352,0.427,0.386,0.48,0.346
"Mar 4, 2020",,,,,,,,,
"Mar 5, 2020",,,,0.48,,,0.394,0.385,
"Mar 6, 2020",,,,,,,,,
"Mar 7, 2020",,,,,,,,,
"Mar 8, 2020",,,,,,,,,
"Mar 9, 2020",0.375,0.375,0.426,0.407,0.344,0.474,0.368,0.403,0.422
"Mar 10, 2020",,0.529,0.513,0.505,0.508,0.506,0.481,0.483,0.468
"Mar 11, 2020",,,,0.42,0.557,,0.49,0.411,
"Mar 12, 2020",0.469,,,,,0.569,,,
"Mar 13, 2020",,,,,,,,,
"Mar 14, 2020",,,,,,,,,
"Mar 15, 2020",,,,,,0.47,0.501,0.374,0.488
"Mar 16, 2020",,,,,,,,,
"Mar 17, 2020",,,,,,,,,
"Mar 18, 2020",0.277,0.317,0.323,0.279,0.286,0.265,0.273,0.22,0.262
"Mar 19, 2020",0.323,0.331,0.344,0.37,0.313,0.285,0.339,0.3,0.239
"Mar 20, 2020",,,,,,,,,
"Mar 21, 2020",0.338,0.348,0.349,0.289,0.326,0.446,0.313,0.28,0.407
"Mar 22, 2020",0.157,0.155,0.151,0.333,0.172,0.109,0.299,0.261,0.089
"Mar 23, 2020",0.412,0.463,0.448,0.433,0.388,0.398,0.464,0.41,0.328
"Mar 24, 2020",0.492,0.468,0.455,0.554,0.487,0.38,0.602,0.577,0.407
"Mar 25, 2020",,0.588,,,0.585,,,,
"Mar 26, 2020",,,,0.628,,,0.619,0.539,
"Mar 27, 2020",,,,,,,,,
"Mar 28, 2020",0.471,,,,,0.547,,0.429,0.476
"Mar 29, 2020",,,,,,,,,
"Mar 30, 2020",,,,,,,,,
"Mar 31, 2020",,,,,,,,,
"Apr 1, 2020",,,,,,,,,
"Apr 2, 2020",,,,,,,,,
"Apr 3, 2020",0.352,0.283,0.302,0.306,0.278,0.354,0.343,0.354,0.344
"Apr 4, 2020",,0.503,0.491,0.529,0.491,0.481,0.506,0.48,0.464
"Apr 5, 2020",,,,,,,,,
"Apr 6, 2020",0.341,0.436,0.434,,0.4,0.409,0.504,,0.545
"Apr 7, 2020",,,,,,,,,
"Apr 8, 2020",0.441,0.45,0.459,,0.401,0.519,0.437,0.544,0.47
"Apr 9, 2020",,,,,,,,,
"Apr 10, 2020",,,,,,,,,
"Apr 11, 2020",,,,,,,,,
"Apr 12, 2020",,,,,,,,,
"Apr 13, 2020",,,,,,,0.572,,
"Apr 14, 2020",,,,,,,,0.497,
"Apr 15, 2020",,,,,,,,,
"Apr 16, 2020",,,,,,,,,
"Apr 17, 2020",0.564,,,,,,0.456,0.389,0.515
"Apr 18, 2020",,,,,,,0.461,,0.537
"Apr 19, 2020",0.406,0.385,0.397,0.373,0.399,0.392,0.382,0.231,0.44
"Apr 20, 2020",0.231,0.322,0.305,0.291,0.242,0.247,0.284,0.198,0.233
"Apr 21, 2020",,,,,,,,,
"Apr 22, 2020",0.393,0.43,0.446,0.393,0.407,0.407,0.386,0.333,0.427
"Apr 23, 2020",,,0.503,,,0.484,,,0.599
"Apr 24, 2020",0.547,,,0.575,0.562,0.573,,0.447,0.56
"Apr 25, 2020",,,,,,,,,0.594
"Apr 26, 2020",0.352,0.395,0.413,0.454,0.406,0.373,0.41,0.373,0.408
"Apr 27, 2020",,,,,,,,,
"Apr 28, 2020",,,,,,,,,
"Apr 29, 2020",0.451,0.459,0.456,0.46,0.433,0.405,0.505,0.487,0.444
"Apr 30, 2020",,,,,,,,0.566,
"May 1, 2020",,,,,,,,,
"May 2, 2020",0.494,,,,,0.481,,,0.465
"May 3, 2020",,0.418,,,0.433,,0.523,,
"May 4, 2020",,,,,,,,,
