system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2023",,,,,,,,,
"Jan 2, 2023",,,,,,,,,
"Jan 3, 2023",,,,,,,,,
"Jan 4, 2023",0.349,0.382,0.357,0.363,0.386,0.309,0.303,0.293,0.279
"Jan 5, 2023",,,,,,,,,
"Jan 6, 2023",,,,,,,,,
"Jan 7, 2023",,,,,,,,,
"Jan 8, 2023",,,,,,0.698,,,
"Jan 9, 2023",,,,,,,,,
"Jan 10, 2023",,,,,,0.543,,0.323,
"Jan 11, 2023",0.589,0.541,0.536,,,0.541,,,0.532
"Jan 12, 2023",,,,,,,,,
"Jan 13, 2023",0.402,0.335,0.343,0.432,0.377,0.409,0.396,0.36,0.376
"Jan 14, 2023",,,,,,,,,
"Jan 15, 2023",,,,,,,,,
"Jan 16, 2023",0.581,0.448,0.4,0.324,0.396,0.558,0.321,0.406,0.469
"Jan 17, 2023",,,,,,,,,
"Jan 18, 2023",0.468,0.386,0.371,0.383,0.383,0.395,0.33,0.334,0.325
"Jan 19, 2023",,,,,,,,,
"Jan 20, 2023",,,,,,,,,
"Jan 21, 2023",,,,,,,,0.58,
"Jan 22, 2023",,,0.588,0.492,0.478,0.537,0.465,0.354,0.467
"Jan 23, 2023",,0.253,0.245,0.293,0.26,0.222,0.229,0.208,0.219
"Jan 24, 2023",0.537,0.508,0.504,0.304,0.509,0.509,0.324,0.308,0.572
"Jan 25, 2023",0.317,0.308,0.326,0.319,0.375,0.279,0.326,0.34,0.288
"Jan 26, 2023",,,,,,,,,
"Jan 27, 2023",0.168,0.171,0.186,0.272,0.229,0.215,0.262,0.191,0.21
"Jan 28, 2023",0.206,0.234,0.216,0.276,0.265,0.188,0.294,0.298,0.209
"Jan 29, 2023",0.148,0.113,0.13,0.168,0.131,0.15,0.195,0.166,0.109
"Jan 30, 2023",0.443,0.484,0.464,0.428,0.488,0.373,0.387,0.406,0.386
"Jan 31, 2023",0.552,,,,,,,,
"Feb 1, 2023",,,,,,,,,
"Feb 2, 2023",,,,,,,,,
"Feb 3, 2023",0.289,0.198,0.237,0.312,0.209,0.249,0.28,0.237,0.206
