Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-02-24,0,15.03,9.83,5.92,2.12,7.562916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,0,20.32,9.23,1.49,8.21,9.907083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,0,5.78,28.17,10.15,12.47,12.04833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-27,0,8.82,33.15,6.15,11.84,12.33375,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-28,0,11.69,22.67,27.31,4.53,11.22666667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-01,1.029,19.2,36.17,7.12,1.55,18.5925,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-02,0,12.69,22.52,24.46,14.34,15.26916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-03,0,10.14,15.45,12.88,10.01,13.61125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-04,0,16.18,5.62,14.69,4.64,13.19625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-05,0,8.15,25.51,12.29,10.44,14.155,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-06,0,15.05,26.3,,,17.46625,,Deseable,Deseable,Aceptable,Incorrecto,Incorrecto
2018-03-07,0,8.81,35.02,10.05,9.67,16.799,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-08,0,14.77,34.74,9,10.5,15.53083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-09,0,13.13,20.63,10.77,8.2,12.45291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-10,3.741,13.02,26.1,6.04,9.22,13.89,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-11,2.336,1.57,3.75,6.21,12.99,9.30875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-12,5.158,11.67,29.51,13.72,10.95,14.47875,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-13,0,18.34,33.58,28.51,18.39,18.53208333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-03-14,3.602,28.39,48.76,18.92,10.53,25.75625,,Aceptable,Aceptable,Aceptable,Deseable,Deseable
2018-03-15,0,22.02,47.39,20.95,7.59,28.59291667,,Aceptable,Deseable,Aceptable,Deseable,Deseable
2018-03-16,0,26.32,41.27,19.85,8.9,21.28791667,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-03-17,0,24.12,19.71,22.5,14.11,17.76916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-18,3.148,19.79,18.07,11.1,4.65,17.10041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-19,0,0.96,10.08,17.2,22.39,12.80583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-20,6.449,16.35,39.15,17.16,4.77,24.07291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-21,0.615,25.33,36.33,7.83,14.61,20.19875,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-03-22,0,15.11,31.61,5.87,18.95,17.29208333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-23,0,22,52.58,22.28,18.52,21.96047619,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-03-24,0,18.12,28.36,8.8,8.3,20.75375,,Deseable,Deseable,Aceptable,Deseable,Deseable
