Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-02-23,0.411,5.1,11.4,15.5,12.1,5.741666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0.118,3.7,16.1,2.1,4.2,5.879166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,0.644,1.2,0,8.2,2.4,6.316666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,0.87,8.4,18.2,1.2,4.4,7.713636364,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-27,0,9.4,5.8,16.4,4.3,10.50833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-28,0.067,1.2,8.3,11.9,-1.2,7.125,,Deseable,Deseable,Deseable,Deseable,Incorrecto
2018-03-01,0.614,3.8,12.2,6.1,5,11.25833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-02,0,-1.4,12.7,21.6,18.6,8.058333333,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-03-03,0,9.7,16.7,18.9,5,8.520833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-04,0,10.7,16.5,16.1,7.1,11.79166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-05,0,2,18.2,12,27.5,10.65833333,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-06,0,0.7,15.8,19.9,17.7,13.06666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-07,0,11.6,21.3,9.6,7.3,12.23333333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-08,0,1.9,16,9,13.8,10.87083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-09,0,-2.3,12.3,13.6,12.2,8.9,,Deseable,Incorrecto,Deseable,Deseable,Deseable
2018-03-10,3.396,20.8,27.5,27.3,-0.1,20.66666667,,Deseable,Deseable,Aceptable,Aceptable,Incorrecto
