Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-02-24,0.209,27.53,9.55,6.19,8.12,7.837916667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-02-25,2.255,18.29,1.62,4.98,7.3,9.544166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,3.772,13.6,21.45,12.71,8.07,10.91208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-27,0,22.12,18.66,10.29,20.89,12.80291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-28,0,9.52,23.98,13.37,13.71,12.80291667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-01,2.873,5.45,8,12.12,10.81,12.89166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-02,0,5.35,15.26,15.94,7.31,11.37208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-03,0,2.47,9.93,19.84,11.22,9.86125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-04,0,1.54,14.66,13.53,5.03,12.2675,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-05,0,10.71,16.96,5.3,17.28,9.05875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-06,0,7.48,21.51,13.44,7.96,11.21583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-07,0,9.06,15.36,2.21,10.46,11.47166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-08,0,5.28,3.79,17.1,11.11,13.66875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-09,4.232,11.28,14.35,0.16,15.51,11.68625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-10,2.894,26.16,12.35,1.16,10.47,14.39416667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-03-11,4.218,13.23,0,0.39,41.25,13.135,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-12,4.934,9.21,9.23,7.28,17.25,15.29916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-13,0,5.87,24.4,38.93,26.99,15.16875,,Deseable,Deseable,Deseable,Aceptable,Aceptable
2018-03-14,3.7,19.46,21.38,10.15,18.99,21.14083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-15,0,17.53,48.02,15.01,21.75,23.69041667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-16,0,24.9,41.7,10.35,8.82,21.08416667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-17,0,17.85,16.81,25.92,18.98,16.54458333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-18,3.023,7.21,46.05,18.08,7.01,14.93708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-19,0,0.42,11.86,10.63,30.92,10.48625,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-20,0,16.57,27.69,7.52,15.75,19.99291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-21,2.093,11.75,13.24,7.07,17.42,15.21375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-22,0,5.69,26.85,3.78,11.31,17.01541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-23,0,11.27,10.98,11.07,19.96,16.20208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-24,0,20.24,14.56,34.03,23.57,19.32791667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-25,6.298,17.43,29.39,12.81,11.96,16.78333333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-26,5.152,24.49,24.75,24.62,20.49,16.98625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-27,6.609,7.62,30.55,12.13,39.21,17.66625,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-03-28,4.727,5.2,20.89,13.52,15.22,12.285,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-29,0,14.03,25.71,9.16,5.84,16.01916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-30,0.119,8.42,14.18,11.61,13.37,10.51375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-31,0,15.75,11.51,12.58,4.88,9.90375,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-01,0,5.04,2.3,2.87,12.06,6.680416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-02,0,9.31,,6.86,22.29,7.838823529,,Deseable,Deseable,Incorrecto,Deseable,Deseable
2018-04-03,0,5.23,20.64,8.18,12.92,9.68125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-04,0.266,5.12,4.21,28.21,7.51,8.483809524,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-04-05,0,13.68,9.93,9.12,13.71,12.46833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-06,0.042,5.05,6.79,17.35,7.14,9.485,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-07,0,12.97,18.01,8.58,10.35,13.85625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-08,0,13.44,17.82,4.38,22.21,13.01083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-09,0,0.87,14.81,7.73,9.36,10.74875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-10,0,5.06,3.09,8.65,11.34,8.766363636,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-11,0,13.84,23.75,5.69,20.61,15.14708333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-12,0.895,19.35,18.62,10.11,14.15,19.22833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-13,0,13.48,11.77,11.94,5.28,12.82208333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-14,0,10.66,18.66,19.37,11.97,14.715,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-15,0.881,21.05,7.15,5.59,17.01,14.33833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-16,0,10.72,21.41,10.75,3.92,14.15875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-17,4.408,10.47,21.31,19.17,3.78,10.84041667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-18,3.543,7.36,12.03,9.13,22.44,10.485,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-19,1.121,26.92,15.28,0.44,11.62,12.59916667,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-04-20,3.164,9.88,18.09,1.12,18.84,11.405,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-21,2.167,11.14,8.15,12.54,3.79,13.17875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-22,2.517,1.87,5.86,13.69,18.71,9.125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-23,0,7.05,20.17,5.68,20.03,12.24666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-24,1.517,17.06,13.25,12.06,28.71,16.10666667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-25,0,22.21,22.66,7.33,16,15.88,,Deseable,Deseable,Deseable,Deseable,Deseable
