Fecha,AOD_media,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-02-23,0.022,5.2,17.91,23.24,19.22,12.35916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0,11.05,12.83,11.28,15.5,10.22666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,0,9.39,9.77,5.51,17.36,11.08625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-26,0.164,5.37,20.13,10.84,24,13.00166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-27,0,9.58,29.32,16.46,21.63,16.07541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-28,0,8.39,19.31,35.1,24.4,14.19833333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-01,1.13,11.32,19.47,10.6,20.17,20.39083333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-02,0,8.66,25.56,19.99,26.7,18.33833333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-03-03,0,25.02,21.08,14.44,20.47,19.94583333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-03-04,0,19.23,19.87,11.46,17.25,16.94,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-05,0,6.41,18.71,14.66,19.59,15.19125,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-06,0,13.5,23.08,13.88,21.1,18.68166667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-07,0,18.06,31.35,20.08,13.73,18.8625,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-08,0,15.85,38.28,13.48,13.69,14.15958333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-09,0.646,3.58,26.82,6.22,13.88,15.13,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-10,4.75,14.02,9.83,4.32,19.73,9.605833333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-11,8.549,12.79,0.88,1.96,12.36,7.719583333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-12,4.681,7.7,5.57,9.58,22.88,11.41875,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-13,0,18.65,31.65,22.65,24.53,22.39583333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-14,4.251,23.91,16.13,19.3,29.16,20.90083333,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-03-15,0,26.64,41.73,27.11,27.51,29.59291667,,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
