Class,TP,FN,FP,TN
1,865147,2573791,827291,519647692
2,130072516,21221923,40999683,331619799
3,12920847,27374760,13415905,470202409
4,0,0,0,523913921
5,0,0,0,523913921
6,0,0,0,523913921
7,0,0,134497,523779424
8,0,0,0,523913921
9,752860,1193762,6190904,515776395
10,585947,2150403,1003117,520174454

Metric,Value
Recall (TP Rate),0.7270336734371576
TN Rate,0.9159506212152783
Accuracy,0.8759907658087783
Error Rate,0.12400923419122167
Precision,0.6988411017454726
F Measure,0.7126586740912151
