Class,TP,FN,FP,TN
1,952060,2486878,798405,519676578
2,138623072,12671367,43874468,328745014
3,13773499,26522108,11898006,471720308
4,0,0,0,523913921
5,0,0,0,523913921
6,0,0,0,523913921
7,0,0,125064,523788857
8,0,0,0,523913921
9,811430,1135192,5106357,516860942
10,519748,2216602,343394,520834177

Metric,Value
Recall (TP Rate),0.7745145162966608
TN Rate,0.9165224491496425
Accuracy,0.8864848239914919
Error Rate,0.11351517600850813
Precision,0.7133838356643868
F Measure,0.7426933912323117
