Class,TP,FN,FP,TN
1,744698,2964746,625900,519578577
2,106270006,32020587,34571317,351052011
3,13378087,12491678,19195843,478848313
4,0,1134511,0,522779410
5,0,5462082,0,518451839
6,0,102143670,0,421770251
7,0,36835,4619,523872467
8,0,0,55098,523858823
9,0,0,6852750,517061171
10,0,0,2748888,521165033

Metric,Value
Recall (TP Rate),0.435185758452381
TN Rate,0.9040419255359919
Accuracy,0.7666648194748145
Error Rate,0.23333518052518554
Precision,0.652722226651674
F Measure,0.5222048576782286
