Class,TP,FN,FP,TN
1,1371734,2067204,1396159,519078824
2,140889356,10405083,56230913,316388569
3,15467438,24828169,21177365,462440949
4,0,0,0,523913921
5,0,0,0,523913921
6,0,0,0,523913921
7,0,0,136392,523777529
8,0,0,0,523913921
9,738013,1208609,4855642,517111657
10,102,2736248,27306,521150265

Metric,Value
Recall (TP Rate),0.7934759949975153
TN Rate,0.8874032429827475
Accuracy,0.867535680583695
Error Rate,0.132464319416305
Precision,0.6540359416604256
F Measure,0.7170397789897852
