system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2022",,,,,,,,,
"Jan 2, 2022",0.392,0.49,0.481,0.697,0.527,0.414,0.656,0.461,0.343
"Jan 3, 2022",0.088,0.16,0.093,0.201,0.115,0.103,0.108,0.111,0.114
"Jan 4, 2022",0.043,0,0,0,0,0.025,0.009,0.049,0.02
"Jan 5, 2022",,,,0.567,0.53,,0.579,,0.566
"Jan 6, 2022",0.106,0.053,0.044,0.159,0.046,0.055,0.211,0.373,0.068
"Jan 7, 2022",0.301,0.315,0.292,0.356,0.293,0.201,0.306,0.277,0.199
"Jan 8, 2022",0,0,0,0.114,0.076,0.104,0.067,0.028,0.097
"Jan 9, 2022",0.501,0.44,0.449,0.487,0.453,0.354,0.449,0.336,0.275
"Jan 10, 2022",,0.582,0.582,,,,,0.295,
"Jan 11, 2022",0.318,0.303,0.193,0.348,0.324,0.187,0,0.259,0.172
"Jan 12, 2022",,,,,,,,,
"Jan 13, 2022",,0.324,,0.214,0.256,,0.148,0.099,0.248
"Jan 14, 2022",,,,,,,,,
"Jan 15, 2022",0.018,0.038,0.039,0.032,0.041,0.165,0.095,0.166,0.21
"Jan 16, 2022",0.456,0.517,0.441,0.521,0.482,0.366,0.494,0.555,0.374
"Jan 17, 2022",0.235,0.073,0.067,0.125,0.035,0.098,0.129,0.066,0.154
"Jan 18, 2022",0.478,0.509,0.509,0.448,0.418,0.287,0.377,0.225,0.375
"Jan 19, 2022",,,,,,,,,
"Jan 20, 2022",0,0.48,0.435,0.328,0.525,0.432,0.393,0.279,0.338
"Jan 21, 2022",,,,,,0.512,,0.565,0.488
"Jan 22, 2022",0.089,0.306,0.384,0.363,0.24,0.139,0.183,0.215,0.324
"Jan 23, 2022",0.31,0.242,0.242,0.209,0.213,0.2,0.238,0.236,0.201
"Jan 24, 2022",0.194,0.136,0.143,0.197,0.155,0.158,0.272,0.161,0.168
"Jan 25, 2022",,,,,,,,,
"Jan 26, 2022",,,,,,,,,
"Jan 27, 2022",0,0.375,0.375,0.432,0.377,0.316,0.244,0.354,0.373
"Jan 28, 2022",,,,,,,,,
"Jan 29, 2022",,,,,,,,,
"Jan 30, 2022",,,,,,,,,
"Jan 31, 2022",,,,,,,,,
"Feb 1, 2022",,,,,,,,0.522,
"Feb 2, 2022",0.594,0.601,0.672,0.528,0.521,0.791,0.543,0.564,0.553
"Feb 3, 2022",0.358,0.361,0.361,0.481,0.401,0.419,0.486,0.476,0.449
"Feb 4, 2022",0.408,0.481,0.473,0.608,0.451,0.484,0.536,0.425,0.505
"Feb 5, 2022",0.182,0.347,0.373,0.185,0.188,0.355,0.184,0.213,0.296
"Feb 6, 2022",,,,,,,,,
"Feb 7, 2022",,,,,,,,,
"Feb 8, 2022",,,,,,,,,
"Feb 9, 2022",0.583,0.555,0.58,,0.555,0.547,0.539,,0.562
"Feb 10, 2022",0.289,0.475,0.453,0.485,0.461,0.43,0.494,0.43,0.409
"Feb 11, 2022",,,,,,,,,
"Feb 12, 2022",,,,,,,,,
"Feb 13, 2022",,,,,,,,,
