system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2023",,,,,,,,,
"Jan 2, 2023",,,,,,,,,
"Jan 3, 2023",,,,,,,,,
"Jan 4, 2023",0.345,0.383,0.355,0.367,0.384,0.31,0.294,0.277,0.288
"Jan 5, 2023",,,,,,,,,
"Jan 6, 2023",,,,,,,,,
"Jan 7, 2023",,,,,,,,,
"Jan 8, 2023",,,,,,0.694,,,
"Jan 9, 2023",,,,,,,,,
"Jan 10, 2023",,,,,,0.543,,0.325,
"Jan 11, 2023",0.599,0.55,0.531,,,0.539,,,0.532
"Jan 12, 2023",,,,,,,,,
"Jan 13, 2023",0.413,0.327,0.335,0.425,0.367,0.409,0.399,0.407,0.385
"Jan 14, 2023",,,,,,,,,
"Jan 15, 2023",,,,,,,,,
"Jan 16, 2023",0.576,0.459,0.39,0.342,0.39,0.55,0.403,0.415,0.463
"Jan 17, 2023",,,,,,,,,
"Jan 18, 2023",0.468,0.384,0.368,0.389,0.378,0.388,0.326,0.317,0.328
"Jan 19, 2023",,,,,,,,,
"Jan 20, 2023",,,,,,,,,
"Jan 21, 2023",,,,,,,,0.58,
"Jan 22, 2023",,,0.593,0.493,0.492,0.532,0.477,0.362,0.467
"Jan 23, 2023",,0.246,0.235,0.298,0.247,0.219,0.218,0.21,0.213
"Jan 24, 2023",0.546,0.503,0.498,0.309,0.503,0.509,0.323,0.306,0.572
"Jan 25, 2023",0.303,0.313,0.34,0.329,0.384,0.269,0.325,0.324,0.282
"Jan 26, 2023",,,,,,,,,
"Jan 27, 2023",0.123,0.167,0.174,0.263,0.23,0.23,0.257,0.201,0.213
"Jan 28, 2023",0.204,0.226,0.21,0.252,0.254,0.178,0.267,0.292,0.201
"Jan 29, 2023",0.152,0.105,0.13,0.164,0.135,0.151,0.199,0.153,0.11
"Jan 30, 2023",0.443,0.483,0.468,0.421,0.498,0.371,0.385,0.406,0.362
"Jan 31, 2023",0.549,,,,,,,,
"Feb 1, 2023",,,,,,,,,
"Feb 2, 2023",,,,,,,,,
"Feb 3, 2023",0.289,0.188,0.23,0.323,0.185,0.243,0.275,0.236,0.201
