system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2021",,,,,,,,,
"Jan 2, 2021",,,,,,,,,
"Jan 3, 2021",,,,,,,,,
"Jan 4, 2021",,,,,,,,,
"Jan 5, 2021",,,,,,,,0.424,
"Jan 6, 2021",,,,0.383,,,0.476,0.339,
"Jan 7, 2021",,,,0.369,,,0.43,0.265,
"Jan 8, 2021",,,0.529,,,0.558,0.463,0.469,0.561
"Jan 9, 2021",,,,,,,,,
"Jan 10, 2021",,0.588,0.588,0.396,0.333,0.444,0.397,0.34,0.446
"Jan 11, 2021",,,,,,0.513,,0.595,0.572
"Jan 12, 2021",,,,,,,,,
"Jan 13, 2021",,0.545,0.564,,,,,0.478,0.583
"Jan 14, 2021",0.476,0.552,0.497,0.588,0.548,0.522,,0.552,0.538
"Jan 15, 2021",0.511,0.484,0.468,0.516,0.455,0.426,0.424,0.394,0.414
"Jan 16, 2021",,,,,,,,,
"Jan 17, 2021",0.489,0.46,0.462,0.45,0.453,0.543,0.452,0.374,0.389
"Jan 18, 2021",,,,,,,,,
"Jan 19, 2021",0.457,0.464,0.474,0.426,0.403,0.458,0.528,0.432,0.432
"Jan 20, 2021",,,,,,,,,
"Jan 21, 2021",0.295,0.313,0.331,0.386,0.334,0.335,0.392,0.332,0.414
"Jan 22, 2021",,,,,,,,,
"Jan 23, 2021",0.544,0.53,0.532,,0.53,,0.443,,
"Jan 24, 2021",,,0.417,,,0.417,0.378,0.494,0.464
"Jan 25, 2021",,,,,,,,,
"Jan 26, 2021",,,,,,,,,
"Jan 27, 2021",,,,,,,0.507,0.562,
"Jan 28, 2021",0.316,0.465,0.457,0.387,0.437,0.371,0.395,0.292,0.381
"Jan 29, 2021",0.356,0.44,0.374,0.478,0.433,0.283,0.376,0.343,0.295
"Jan 30, 2021",0.359,0.357,0.331,0.423,0.398,0.319,0.389,0.427,0.392
"Jan 31, 2021",0.158,0.172,0.174,0.22,0.167,0.103,0.307,0.254,0.116
"Feb 1, 2021",0.363,0.316,0.327,0.33,0.316,0.395,0.353,0.307,0.423
"Feb 2, 2021",0.363,0.461,0.446,0.421,0.461,0.414,0.421,0.49,0.394
"Feb 3, 2021",,,,,,,0.546,0.489,
"Feb 4, 2021",,,,,,,,,
"Feb 5, 2021",,,,,,,,,
"Feb 6, 2021",,0.568,0.568,0.458,0.565,,0.53,0.406,0.514
"Feb 7, 2021",0.365,0.411,0.398,0.352,0.321,0.314,0.349,0.309,0.262
"Feb 8, 2021",,,,,,,,,
"Feb 9, 2021",0.398,,0.493,,,0.409,0.508,0.432,0.393
"Feb 10, 2021",,,,,,,,,
"Feb 11, 2021",,,,,,,,,
"Feb 12, 2021",,,,,,,,,
"Feb 13, 2021",,0.57,0.587,0.548,0.519,0.578,0.527,0.543,0.53
"Feb 14, 2021",,,,,,,0.546,0.566,0.585
"Feb 15, 2021",,,,,,,,,
"Feb 16, 2021",,,,,0.543,,0.703,0.588,0.569
"Feb 17, 2021",,,,,,,,,
"Feb 18, 2021",,,,,,,,,
"Feb 19, 2021",,,,,,,,,
"Feb 20, 2021",0.537,0.578,0.526,0.573,0.532,0.559,0.539,0.491,0.561
"Feb 21, 2021",,,,0.56,,0.439,0.558,0.582,0.46
"Feb 22, 2021",,,,,,,,,
"Feb 23, 2021",,,,,,,,,
"Feb 24, 2021",,,,,,,,0.572,
"Feb 25, 2021",,0.524,,,0.525,,,,0.537
"Feb 26, 2021",,,,,,,,,
"Feb 27, 2021",,,,,,,,,
"Feb 28, 2021",,,,,,,,,
"Mar 1, 2021",,,,,,,,,
"Mar 2, 2021",,,,,,,,,
"Mar 3, 2021",,,,,,,,,
"Mar 4, 2021",,,0.465,,,0.489,,0.321,0.535
"Mar 5, 2021",,,,,,,,,
"Mar 6, 2021",0.418,0.41,0.394,0.392,0.416,0.392,0.376,0.301,0.348
"Mar 7, 2021",,,,,,,,,
"Mar 8, 2021",,,,,,,,,
"Mar 9, 2021",,,,,,,,,
"Mar 10, 2021",,,,,,,,,
"Mar 11, 2021",,,,,,,,,
"Mar 12, 2021",,,,,,,,,
"Mar 13, 2021",,,,,,,,,
"Mar 14, 2021",,,,,,,,,
"Mar 15, 2021",,,,,,,,,
"Mar 16, 2021",,,,,,,,,
"Mar 17, 2021",,,,,,,,,
"Mar 18, 2021",,,,,,,,,
