system:time_start,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jan 1, 2020",,,,,,,,,
"Jan 2, 2020",,,,,,0.521,,,
"Jan 3, 2020",,0.428,0.415,,0.415,0.403,0.348,0.317,0.371
"Jan 4, 2020",0.248,0.218,0.215,0.286,0.24,0.195,0.274,0.246,0.221
"Jan 5, 2020",,0.347,0.363,0.31,0.322,0.417,0.338,0.316,0.342
"Jan 6, 2020",0.356,0.416,0.322,0.381,0.313,0.379,0.456,0.4,0.338
"Jan 7, 2020",,,,,,,,,
"Jan 8, 2020",0.297,0.308,0.311,0.36,0.286,0.246,0.35,0.263,0.227
"Jan 9, 2020",0.436,0.378,0.38,0.49,0.37,0.344,0.486,0.406,0.269
"Jan 10, 2020",0.233,0.231,0.23,0.28,0.22,0.243,0.323,0.252,0.256
"Jan 11, 2020",0.434,0.31,0.314,0.309,0.296,0.29,0.323,0.268,0.222
"Jan 12, 2020",0.269,0.233,0.241,0.285,0.225,0.248,0.274,0.226,0.237
"Jan 13, 2020",0.283,0.271,0.272,0.257,0.243,0.23,0.25,0.235,0.164
"Jan 14, 2020",0.263,0.27,0.282,0.277,0.28,0.338,0.303,0.267,0.377
"Jan 15, 2020",0.298,0.292,0.278,0.269,0.254,0.21,0.286,0.271,0.182
"Jan 16, 2020",0.482,0.384,0.384,0.476,0.365,0.312,0.45,0.349,0.262
"Jan 17, 2020",0.218,0.266,0.251,0.229,0.219,0.233,0.266,0.26,0.195
"Jan 18, 2020",0.491,0.444,0.515,,0.392,0.448,,0.449,0.323
"Jan 19, 2020",0.282,0.346,0.312,0.342,0.287,0.264,0.338,0.323,0.266
"Jan 20, 2020",,,,,,0.475,0.557,0.502,0.431
"Jan 21, 2020",,,,,,,,,
"Jan 22, 2020",,,,,,,,,
"Jan 23, 2020",,,,,,,,,
"Jan 24, 2020",0.578,0.53,0.55,0.512,0.524,0.56,0.503,0.567,0.511
"Jan 25, 2020",,,,,,,,,
"Jan 26, 2020",0.476,0.537,0.51,0.525,0.521,0.481,0.482,0.461,0.472
"Jan 27, 2020",,,,,,,,,
"Jan 28, 2020",0.319,0.272,0.271,0.298,0.254,0.265,0.297,0.298,0.267
"Jan 29, 2020",,,,,,,,,
"Jan 30, 2020",,,,,,,,,
"Jan 31, 2020",,,,,,,,,
"Feb 1, 2020",,,,,,,,,
"Feb 2, 2020",0.514,0.511,0.511,,,0.544,,,
"Feb 3, 2020",,0.403,0.398,0.44,0.385,0.311,0.43,0.384,0.356
"Feb 4, 2020",0.398,0.462,0.479,0.462,0.424,0.411,0.503,0.547,0.415
"Feb 5, 2020",0.176,0.188,0.177,0.097,0.181,0.131,0.113,0.127,0.122
"Feb 6, 2020",0.144,0.13,0.137,0.149,0.12,0.144,0.15,0.143,0.134
"Feb 7, 2020",0.314,0.288,0.279,0.298,0.273,0.234,0.288,0.288,0.217
"Feb 8, 2020",,,,,,0.553,0.515,0.545,0.615
"Feb 9, 2020",0.46,0.568,0.549,0.542,0.574,0.533,0.541,0.403,0.491
"Feb 10, 2020",,,,,,,,,0.51
"Feb 11, 2020",0.178,0.162,0.166,0.192,0.14,0.144,0.208,0.152,0.103
"Feb 12, 2020",,0.568,,0.347,0.376,0.364,0.343,0.247,0.382
"Feb 13, 2020",0.316,0.299,0.299,0.325,0.283,0.289,0.336,0.263,0.292
"Feb 14, 2020",0.224,0.192,0.186,0.27,0.214,0.167,0.262,0.31,0.152
"Feb 15, 2020",0.474,0.499,0.508,0.559,0.524,0.563,0.57,0.531,0.575
"Feb 16, 2020",0.399,0.378,0.388,0.335,0.339,0.386,0.39,0.32,0.304
"Feb 17, 2020",,,0.562,,,0.562,0.51,,0.39
"Feb 18, 2020",0.292,0.377,0.379,0.333,0.297,0.345,0.391,0.367,0.277
"Feb 19, 2020",,,,,,0.544,,,0.483
"Feb 20, 2020",,,,,,,,,
"Feb 21, 2020",,,,,,,,0.472,
"Feb 22, 2020",,,,,,,,,
"Feb 23, 2020",,,,,,,,,
"Feb 24, 2020",,,,,,,,,
"Feb 25, 2020",,,,0.597,,,0.511,0.438,0.553
"Feb 26, 2020",,,,,,,,,
"Feb 27, 2020",,,,,,,,,
"Feb 28, 2020",,,,,,0.583,,0.537,0.573
"Feb 29, 2020",,0.461,0.481,0.477,0.424,,0.486,0.427,0.479
"Mar 1, 2020",0.504,0.343,0.337,0.461,0.354,0.319,0.434,0.503,0.3
"Mar 2, 2020",,,,0.584,,,0.545,0.524,
"Mar 3, 2020",,0.438,0.48,0.359,0.344,0.41,0.355,0.476,0.375
"Mar 4, 2020",,,,,,,,,
"Mar 5, 2020",,,,0.48,,,0.406,0.394,
"Mar 6, 2020",,,,,,,,,
"Mar 7, 2020",,,,,,,,,
"Mar 8, 2020",,,,,,,,,
"Mar 9, 2020",0.376,0.342,0.449,0.421,0.343,0.469,0.367,0.398,0.41
"Mar 10, 2020",,0.529,0.523,0.505,0.509,0.505,0.49,0.476,0.468
