Fecha,TMP,PM25,AOD_mean,IQCA
2018-01-01,12.6025,13.23,,Deseable
2018-01-02,14.809583333333334,19.17875,,Deseable
2018-01-03,15.44,16.1375,427.4,Deseable
2018-01-04,15.683750000000002,15.094583333333333,159.296,Deseable
2018-01-05,15.410833333333334,16.309166666666666,350.599,Deseable
2018-01-06,15.242916666666666,11.951666666666668,,Deseable
2018-01-07,15.454166666666666,15.912083333333332,92.878,Deseable
2018-01-08,15.094166666666666,15.613333333333337,,Deseable
2018-01-09,15.11125,19.9325,541.0,Deseable
2018-01-10,15.574583333333337,17.813636363636363,,Deseable
2018-01-11,15.302916666666668,18.16625,220.864,Deseable
2018-01-12,15.664166666666668,21.54125,423.58,Deseable
2018-01-13,15.547083333333331,14.13625,564.326,Deseable
2018-01-14,14.964999999999998,14.055833333333334,365.421,Deseable
2018-01-15,14.07625,9.224166666666669,,Deseable
2018-01-16,14.6425,12.07,,Deseable
2018-01-17,14.595833333333331,8.740833333333333,,Deseable
2018-01-18,15.04875,9.610416666666667,,Deseable
2018-01-19,16.205833333333334,6.352916666666666,,Deseable
2018-01-20,15.829166666666666,9.798333333333334,466.493,Deseable
2018-01-21,13.562857142857142,12.594545454545454,341.627,Deseable
2018-01-22,18.33714285714285,13.487,422.333,Deseable
2018-01-23,16.60875,13.37,415.388,Deseable
2018-01-24,16.643333333333334,14.232916666666666,202.283,Deseable
2018-01-25,16.1775,12.8275,195.196,Deseable
2018-01-26,16.663333333333334,16.375,,Deseable
2018-01-27,17.68375,9.765,300.895,Deseable
2018-01-28,17.995416666666667,11.77125,216.809,Deseable
2018-01-29,17.175,14.533333333333331,87.207,Deseable
2018-01-30,17.348333333333333,16.6675,145.671,Deseable
2018-01-31,17.6875,14.346666666666666,258.748,Deseable
2018-02-01,17.02521739130435,12.466,226.252,Deseable
2018-02-02,17.02625,14.305416666666666,,Deseable
2018-02-03,16.517083333333336,16.506666666666668,448.365,Deseable
2018-02-04,17.339166666666667,8.50625,,Deseable
2018-02-05,18.992,9.106666666666666,447.696,Deseable
2018-02-06,17.157333333333334,10.467333333333334,,Deseable
2018-02-07,17.28291666666667,9.060416666666669,281.314,Deseable
2018-02-08,17.750416666666666,7.60625,231.29,Deseable
2018-02-09,17.848333333333333,9.63625,289.324,Deseable
2018-02-10,17.481666666666666,11.05375,451.804,Deseable
2018-02-11,17.439166666666665,11.210416666666667,,Deseable
2018-02-12,17.010833333333334,17.855833333333333,452.014,Deseable
2018-02-13,16.155,18.11375,360.841,Deseable
2018-02-14,16.855833333333333,15.18625,373.19,Deseable
2018-02-15,16.744583333333335,8.22625,,Deseable
2018-02-16,16.914583333333333,10.5,,Deseable
2018-02-17,16.77375,10.379583333333333,,Deseable
2018-02-18,16.774166666666666,11.18125,,Deseable
2018-02-19,15.562083333333334,7.895,,Deseable
2018-02-20,16.542916666666667,8.969583333333334,,Deseable
2018-02-21,16.815,10.428333333333333,359.233,Deseable
2018-02-22,15.699583333333337,8.564166666666667,,Deseable
2018-02-23,15.681666666666668,7.234999999999999,545.036,Deseable
2018-02-24,14.873333333333331,7.8379166666666675,464.617,Deseable
2018-02-25,15.865416666666668,9.544166666666667,311.358,Deseable
2018-02-26,15.157083333333333,10.912083333333332,440.247,Deseable
2018-02-27,15.995416666666666,12.802916666666668,,Deseable
2018-02-28,15.885833333333332,12.802916666666668,,Deseable
2018-03-01,17.000833333333333,12.891666666666666,265.496,Deseable
2018-03-02,16.09541666666667,11.372083333333334,,Deseable
2018-03-03,16.46,9.86125,,Deseable
2018-03-04,16.78291666666667,12.2675,,Deseable
2018-03-05,16.675833333333333,9.05875,,Deseable
2018-03-06,16.5425,11.215833333333334,,Deseable
2018-03-07,17.08625,11.471666666666666,,Deseable
2018-03-08,17.578333333333333,13.66875,,Deseable
2018-03-09,17.816666666666666,11.68625,421.915,Deseable
2018-03-10,17.42291666666667,14.394166666666663,107.737,Deseable
2018-03-11,18.32708333333333,13.135,353.235,Deseable
2018-03-12,17.58875,15.299166666666666,207.476,Deseable
2018-03-13,18.02083333333333,15.16875,,Deseable
2018-03-14,17.625833333333333,21.140833333333333,181.825,Deseable
2018-03-15,17.122083333333332,23.690416666666668,,Deseable
2018-03-16,17.62333333333333,21.084166666666665,,Deseable
2018-03-17,16.286666666666665,16.544583333333332,,Deseable
2018-03-18,17.254166666666666,14.937083333333334,483.953,Deseable
2018-03-19,16.05666666666667,10.48625,,Deseable
2018-03-20,17.264166666666668,19.992916666666662,,Deseable
2018-03-21,18.58333333333333,15.21375,420.699,Deseable
2018-03-22,16.855833333333333,17.015416666666667,,Deseable
2018-03-23,15.982916666666666,16.202083333333334,,Deseable
2018-03-24,14.191666666666668,19.327916666666667,,Deseable
2018-03-25,16.81375,16.783333333333335,207.532,Deseable
2018-03-26,17.88958333333333,16.986250000000002,528.809,Deseable
2018-03-27,17.655,17.66625,414.14,Deseable
2018-03-28,16.870833333333334,12.285000000000002,336.472,Deseable
2018-03-29,15.67125,16.019166666666667,,Deseable
2018-03-30,16.13083333333333,10.51375,568.039,Deseable
2018-03-31,15.275833333333331,9.90375,,Deseable
2018-04-01,15.34125,6.680416666666667,,Deseable
2018-04-02,15.0575,7.838823529411764,,Deseable
2018-04-03,16.062083333333334,9.68125,,Deseable
2018-04-04,14.734782608695651,8.483809523809523,500.608,Deseable
2018-04-05,14.232083333333334,12.468333333333334,,Deseable
2018-04-06,14.779166666666669,9.485,443.0,Deseable
2018-04-07,15.269166666666663,13.85625,,Deseable
