Fecha,AOD_media,AOD_mediana,AOD_moda,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2018-02-17,0,0,0,34.34,23.8,8.33,16.7,24.21958333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-02-18,0,0,0,14.8,57.37,32.18,12.71,19.0075,,Deseable,Deseable,Precaucion,Aceptable,Deseable
2018-02-19,0,0,0,5.92,23.49,2,1.3,10.27,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-20,0,0,0,9.45,27.08,28.45,6.41,18.23333333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-02-21,0.307,0.312,0.233,14.12,36.54,21.96,5.69,15.77,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-22,0,0,0,7.07,19.7,0,0.11,15.95,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-23,0,0,0,7.53,16.71,20.37,7.12,14.08458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-24,0,0,0,8.35,12.69,9.29,0.91,12.445,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-02-25,0.321,0.314,0.299,9.73,36.35,20.52,6.71,15.96833333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-26,0.538,0.54,0.559,16.85,27.64,20.77,16.19,16.20958333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-27,0,0,0,13.54,34.5,9.71,13.38,18.12666667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-02-28,0,0,0,42.93,34.54,33.65,5.25,17.91375,,Deseable,Aceptable,Aceptable,Aceptable,Deseable
2018-03-01,0.334,0.32,0.305,31.05,53.88,25.63,22.24,22.8725,,Deseable,Aceptable,Precaucion,Aceptable,Deseable
2018-03-02,0,0,0,23.77,7.42,8.33,8.33,17.54458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-03,0,0,0,24.1,20.7,11.18,0.83,21.88416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-04,0,0,0,18.75,38.39,19.22,11.08,19.65916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-05,0,0,0,4.06,60.57,30.15,19.03,22.85291667,,Deseable,Deseable,Precaucion,Aceptable,Deseable
2018-03-06,0,0,0,9.03,71.21,9.78,26.96,22.9425,,Deseable,Deseable,Precaucion,Deseable,Aceptable
2018-03-07,0.366,0.366,0.366,5.94,50.54,6.34,6.63,22.01416667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-03-08,0,0,0,12.43,38,5.8,29.58,20.97434783,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-03-09,0.381,0.358,0.403,31.37,54.97,21.51,19.71,18.54708333,,Deseable,Aceptable,Precaucion,Deseable,Deseable
2018-03-10,0.212,0.207,0.191,34.23,0.25,6.54,1.31,13.64583333,,Deseable,Aceptable,Deseable,Deseable,Deseable
2018-03-11,0.347,0.33,0.293,9.15,10.65,3.66,13.71,12.27666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-12,0.247,0.248,0.221,1.59,21.89,21.54,23.65,14.08666667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-13,0.574,0.566,0.566,19.72,26.34,14.95,25.62,19.1025,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-03-14,0.257,0.252,0.237,27.34,36.13,6.52,28.55,21.54875,,Deseable,Aceptable,Aceptable,Deseable,Aceptable
2018-03-15,0,0,0,35.8,71.43,20.72,8.83,26.86416667,,Aceptable,Aceptable,Precaucion,Deseable,Deseable
2018-03-16,0,0,0,0.36,66.88,72.51,2.13,35.18541667,,Aceptable,Deseable,Precaucion,Precaucion,Deseable
2018-03-17,0,0,0,38.39,37.27,13.34,18.39,25.31958333,,Aceptable,Aceptable,Aceptable,Deseable,Deseable
2018-03-18,0.59,0.592,0.572,10.62,17.97,25.49,8.99,23.1425,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-19,0.555,0.55,0.546,14.18,21.21,29.74,20.52,16.24583333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-03-20,0.539,0.538,0.512,21.2,73.3,23.96,5.4,30.0005,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-03-21,0.48,0.459,0.459,41.39,33.76,7.53,24.1,23.75791667,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-03-22,0,0,0,13.32,29.82,11.35,14.59,19.14916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-03-23,0,0,0,25.41,34.28,18.72,0,23.62541667,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-03-24,0,0,0,58.08,36.42,8.57,41.4,29.5425,,Aceptable,Precaucion,Aceptable,Deseable,Aceptable
2018-03-25,0.275,0.269,0.247,45.48,32.97,30.41,0.4,24.21666667,,Deseable,Aceptable,Aceptable,Aceptable,Deseable
2018-03-26,0.556,0.553,0.589,0.27,68.46,12.94,24.29,23.78166667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-03-27,0.393,0.384,0.384,21.03,91.55,23.39,15.2,27.03916667,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-03-28,0.405,0.39,0.371,18.15,10.97,20.81,9.62,26.26958333,,Aceptable,Deseable,Deseable,Deseable,Deseable
2018-03-29,0,0,0,20.56,30.65,55.64,10.34,28.43916667,,Aceptable,Deseable,Aceptable,Precaucion,Deseable
2018-03-30,0,0,0,17.31,17.93,22.04,9.41,20.24416667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-03-31,0,0,0,1.33,28.53,14.13,18.47,18.445,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-01,0,0,0,8.46,16.75,0.69,0.12,14.18625,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-02,0,0,0,13.76,30.86,12.18,12.97,21.04083333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-03,0,0,0,18.55,43.8,58.26,8.02,20.28541667,,Deseable,Deseable,Aceptable,Precaucion,Deseable
2018-04-04,0,0,0,13.98,28.22,20.5,38.8,21.36541667,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-04-05,0,0,0,23.15,91.57,2.28,28.46,27.30041667,,Aceptable,Deseable,Precaucion,Deseable,Aceptable
2018-04-06,0,0,0,2.87,30.12,2.98,29.33,21.47791667,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-04-07,0,0,0,27.92,24.75,2.98,2.47,30.375,,Aceptable,Aceptable,Deseable,Deseable,Deseable
2018-04-08,0.549,0.54,0.533,9.35,11.44,28.66,10.96,21.98333333,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-04-09,0,0,0,22.52,55.46,10.26,15.01,22.76875,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-04-10,0,0,0,6.52,15.28,4.65,10.36,19.11458333,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-11,0,0,0,20.31,48.32,1.78,2.33,30.92208333,,Aceptable,Deseable,Aceptable,Deseable,Deseable
2018-04-12,0.133,0.099,0.067,25.72,59.56,8.76,0.81,34.77041667,,Aceptable,Aceptable,Precaucion,Deseable,Deseable
2018-04-13,0,0,0,20.61,37.62,38.95,10.84,22.06083333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-04-14,0.459,0.465,0.47,43.28,35.88,41.12,25.73,24.83916667,,Deseable,Aceptable,Aceptable,Aceptable,Aceptable
2018-04-15,0.54,0.54,0.54,22.97,11.28,14.74,28.3,21.90208333,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-16,0,0,0,15.07,63.25,17.31,36.46,25.12833333,,Aceptable,Deseable,Precaucion,Deseable,Aceptable
2018-04-17,0.39,0.413,0.429,15.38,38.47,2.38,2.33,16.90458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-18,0.392,0.39,0.37,17.66,22.17,1.47,38.02,22.66166667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-19,0.474,0.499,0.499,22.06,34.25,6.11,22.44,16.28458333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-20,0.363,0.354,0.323,2.78,51.39,3.05,13.31,15.87291667,,Deseable,Deseable,Precaucion,Deseable,Deseable
2018-04-21,0.265,0.25,0.252,27.15,10.65,8.4,33.81,22.04791667,,Deseable,Aceptable,Deseable,Deseable,Aceptable
2018-04-22,0.206,0.199,0.208,16.92,7.95,18.93,31.07,17.3475,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-04-23,0,0,0,19.98,6.6,15.18,1.24,17.04,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-04-24,0.392,0.396,0.393,23.36,72.33,29.83,55.91,29.9225,,Aceptable,Deseable,Precaucion,Aceptable,Precaucion
2018-04-25,0,0,0,12.41,33.06,1.42,24.89,22.85541667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-04-26,0,0,0,0.9,35.97,18.01,34.9,24.625,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-04-27,0.409,0.418,0.433,12.86,42.61,1.16,27.2,26.95625,,Aceptable,Deseable,Aceptable,Deseable,Aceptable
2018-04-28,0,0,0,5.3,9.08,28.85,19.15,22.98916667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-04-29,0,0,0,56.31,5.15,9.5,9.4,21.56291667,,Deseable,Precaucion,Deseable,Deseable,Deseable
2018-04-30,0,0,0,25.73,3.46,47.94,33.96,21.41416667,,Deseable,Aceptable,Deseable,Aceptable,Aceptable
2018-05-01,0.538,0.563,0.506,30.26,32.61,25.36,10.39,26.28666667,,Aceptable,Aceptable,Aceptable,Aceptable,Deseable
2018-05-02,0,0,0,8.64,35.1,0,1.68,19.17208333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-03,0.428,0.43,0.423,15.43,60.33,30.39,36.43,28.46333333,,Aceptable,Deseable,Precaucion,Aceptable,Aceptable
2018-05-04,0.309,0.305,0.263,18.71,48.53,33.96,22.46,25.85541667,,Aceptable,Deseable,Aceptable,Aceptable,Deseable
2018-05-05,0.34,0.332,0.318,0.93,34.45,29.62,18.33,20.15833333,,Deseable,Deseable,Aceptable,Aceptable,Deseable
2018-05-06,0,0,0,12.92,36.01,12.14,6.96,19.14708333,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-07,0,0,0,9.74,45.8,8.25,31.89,19.60833333,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-05-08,0,0,0,30.62,36.96,2.72,16.69,24.44333333,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-05-09,0,0,0,27.6,44.21,2.82,50.65,22.06333333,,Deseable,Aceptable,Aceptable,Deseable,Precaucion
2018-05-10,0.396,0.396,0.352,22.54,39.7,2.69,62.82,28.52708333,,Aceptable,Deseable,Aceptable,Deseable,Precaucion
2018-05-11,0,0,0,22.23,58.89,19.07,11.72,30.66375,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-05-12,0,0,0,13.22,52.86,25.33,37.29,26.0475,,Aceptable,Deseable,Precaucion,Aceptable,Aceptable
2018-05-13,0,0,0,43.6,29.76,22.64,29.86,18.71875,,Deseable,Aceptable,Aceptable,Deseable,Aceptable
2018-05-14,0.516,0.518,0.532,21.9,26.5,57.5,10.9,24.53291667,,Deseable,Deseable,Aceptable,Precaucion,Deseable
2018-05-15,0.494,0.499,0.499,5.23,23.06,36.05,4.77,18.79916667,,Deseable,Deseable,Deseable,Aceptable,Deseable
2018-05-16,0,0,0,14.28,12.35,,13.87,21.71333333,,Deseable,Deseable,Deseable,Incorrecto,Deseable
2018-05-17,0.315,0.312,0.269,36.22,16.22,26.49,16.54,26.24125,,Aceptable,Aceptable,Deseable,Aceptable,Deseable
2018-05-18,0,0,0,40.71,30.25,25.86,0,21.67166667,,Deseable,Aceptable,Aceptable,Aceptable,Deseable
2018-05-19,0.561,0.573,0.528,17.13,4.21,22.62,0.27,21.06916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-20,0,0,0,44.86,20.3,27.89,22.48,30.09625,,Aceptable,Aceptable,Deseable,Aceptable,Deseable
2018-05-21,0,0,0,49.02,34.03,0.26,5.43,19.46666667,,Deseable,Aceptable,Aceptable,Deseable,Deseable
2018-05-22,0,0,0,10.39,61.93,22.21,4.22,27.525,,Aceptable,Deseable,Precaucion,Deseable,Deseable
2018-05-23,0.451,0.472,0.352,0,32.75,39.49,3.36,25.26583333,,Aceptable,Deseable,Aceptable,Aceptable,Deseable
2018-05-24,0,0,0,2.03,37.78,,7.78,27.3026087,,Aceptable,Deseable,Aceptable,Incorrecto,Deseable
2018-05-25,0.563,0.566,0.595,2.94,42.89,23.63,4.51,24.46291667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-05-26,0,0,0,15.44,13.6,4.21,24.11,23.60541667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-05-27,0,0,0,19.2,24.63,7.44,15.21,26.39458333,,Aceptable,Deseable,Deseable,Deseable,Deseable
2018-05-28,0,0,0,11.67,81.47,,,27.24733333,,Aceptable,Deseable,Precaucion,Incorrecto,Incorrecto
2018-05-29,0,0,0,,,,,,,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2018-05-30,0.292,0.285,0.319,,,,,,,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2018-05-31,0.14,0.127,0.134,,,,,,,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2018-06-01,0.228,0.225,0.186,,,,,,,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2018-06-02,0.298,0.294,0.241,18.23,35.01,3.66,31.1,17.78956522,,Deseable,Deseable,Aceptable,Deseable,Aceptable
2018-06-03,0,0,0,8.16,25.63,16.34,11.73,16.79916667,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-04,0.302,0.256,0.245,2,41.11,8.78,14.33,15.87,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-05,0.466,0.461,0.439,11.32,8.87,14.7,12.72,12.56916667,,Deseable,Deseable,Deseable,Deseable,Deseable
2018-06-06,0.158,0.152,0.129,29.83,8.12,13.35,36.03,13.14041667,,Deseable,Aceptable,Deseable,Deseable,Aceptable
2018-06-07,0.104,0.102,0.048,7.4,27.58,12.8,14.61,15.81,,Deseable,Deseable,Aceptable,Deseable,Deseable
2018-06-08,0.115,0.116,0.117,16.97,7.23,20.77,25.13,15.57541667,,Deseable,Deseable,Deseable,Deseable,Aceptable
2018-06-09,0.254,0.249,0.243,25.48,26.44,11.09,13.49,15.67958333,,Deseable,Aceptable,Aceptable,Deseable,Deseable
