Fecha,TMP,PM25,AOD_mean,IQCA
2018-01-01,10.6975,44.51499999999999,,Aceptable
2018-01-02,13.165416666666667,29.613333333333333,,Aceptable
2018-01-03,13.355416666666663,37.76708333333333,,Aceptable
2018-01-04,13.701666666666666,28.741666666666664,190.994,Aceptable
2018-01-05,13.3375,25.725,506.0,Aceptable
2018-01-06,13.242916666666666,23.88875,,Deseable
2018-01-07,13.128749999999998,20.062916666666663,151.143,Deseable
2018-01-08,12.804166666666667,23.755,322.623,Deseable
2018-01-09,12.994583333333331,35.39791666666667,,Aceptable
2018-01-10,13.610833333333332,26.07875,,Aceptable
2018-01-11,13.440416666666666,30.064545454545453,264.516,Aceptable
2018-01-12,12.97125,25.24708333333333,425.593,Aceptable
2018-01-13,12.64625,23.017916666666665,570.953,Deseable
2018-01-14,12.225416666666668,12.9,,Deseable
2018-01-15,11.113333333333332,16.120833333333334,,Deseable
2018-01-16,11.925416666666663,26.845,,Aceptable
2018-01-17,12.304583333333332,20.687083333333334,,Deseable
2018-01-18,12.82875,18.964166666666667,,Deseable
2018-01-19,13.840833333333334,18.3525,,Deseable
2018-01-20,14.062916666666666,12.445833333333333,,Deseable
2018-01-21,14.56125,14.44875,386.436,Deseable
2018-01-22,14.46875,14.989583333333334,313.95,Deseable
2018-01-23,14.252916666666666,17.903333333333332,,Deseable
2018-01-24,14.969583333333333,17.017500000000002,180.585,Deseable
2018-01-25,14.885833333333332,14.186666666666667,308.017,Deseable
2018-01-26,14.905,19.137083333333333,,Deseable
2018-01-27,15.219583333333333,14.85,,Deseable
2018-01-28,15.66875,17.49875,294.488,Deseable
2018-01-29,15.071666666666667,18.9225,150.128,Deseable
2018-01-30,15.685,20.49571428571429,162.041,Deseable
2018-01-31,15.381666666666668,25.08791666666667,197.613,Aceptable
2018-02-01,15.54125,19.966666666666665,227.085,Deseable
2018-02-02,14.902500000000002,21.482916666666668,,Deseable
2018-02-03,14.30375,22.4675,485.139,Deseable
2018-02-04,14.870833333333335,15.537083333333332,,Deseable
2018-02-05,14.7325,15.707083333333332,571.0,Deseable
2018-02-06,13.753333333333332,14.8625,,Deseable
2018-02-07,14.666666666666666,16.9725,459.932,Deseable
2018-02-08,15.515,16.270833333333332,347.112,Deseable
2018-02-09,15.407916666666669,21.557916666666667,322.365,Deseable
2018-02-10,15.09375,21.460416666666664,495.646,Deseable
2018-02-11,14.5125,18.12666666666667,,Deseable
2018-02-12,14.49125,22.58833333333333,484.44,Deseable
