Unnamed: 0,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco,Archivo
CO,0.9990061337841256,-0.996402346867988,0.823057938607458,1.0,0.8955979058899426,-0.9993609590294564,0.0438662701098747,,0.9510796061958686,correlaciones_Anual.csv
DIR,-0.6052432799831177,0.3968456553832398,-0.4605488095966125,1.0,-0.8988217676611575,0.7513404215515073,0.94163219902356,-0.9839202310561388,0.7968159601820552,correlaciones_Anual.csv
HUM,0.9662999881157988,0.8675022744878459,-0.6236940324043686,1.0,0.4864530726609595,-0.9051644094581404,0.044058005207204,0.3552441570393581,0.494488236112636,correlaciones_Anual.csv
LLU,0.9272219494723944,0.979577756644476,0.476230925754697,-1.0,-0.948799435131373,-0.6369223605480184,0.2845894876367462,-0.7522138083820136,0.5764760883823972,correlaciones_Anual.csv
NO2,0.9646519673380868,0.9777792617135702,0.3125489929898353,1.0,0.8077321611268341,-0.975903032513229,0.1338953364819401,,0.9592473135634773,correlaciones_Anual.csv
O3,-0.9557309767374674,0.0301260650533299,-0.8906099879750856,1.0,-0.598996673423962,0.7355764503299764,0.7509441604970287,0.1896596854548964,-0.2302907524697109,correlaciones_Anual.csv
PM25,0.8213616082809201,0.0382846650250879,0.950424532858124,-1.0,0.6247497718300372,0.4957772126877138,0.2577582944783979,0.8725760376593353,0.483235705369803,correlaciones_Anual.csv
PRE,-0.9191189234784652,-0.8778982921305323,-0.6553135713381961,-0.9999999999998248,-0.950641199179964,0.0239623002314955,-0.4295502437237147,-0.579801521761894,-0.5520637737289975,correlaciones_Anual.csv
RS,-0.5744947584117486,-0.9477504768900772,-0.0372215560425762,0.9999999999999998,-0.518572707243843,0.9368987418184956,-0.2747545276398806,-0.3668126504717725,-0.0652276692710134,correlaciones_Anual.csv
SO2,-0.8857342105804648,0.2382869338475327,0.4584923746410677,1.0000000000000004,0.4965818922447821,0.9532220302312128,-0.6062203956757911,,0.2784730021775064,correlaciones_Anual.csv
TMP,-0.295580859223416,-0.7571958421614617,0.6664942132450398,-0.9999999999999986,0.3803849991644606,0.9962147624993536,0.4342495692992718,-0.3148973737052162,-0.838346964656504,correlaciones_Anual.csv
VEL,0.38305341868026,-0.665284754400682,0.2898851054107119,-0.9999999999999954,-0.1898539485780499,0.9940616200026928,0.8246473165644044,-0.1734168408830745,-0.2064757448524483,correlaciones_Anual.csv
CO,0.3339518703266874,-0.0763018382407376,0.3111624812051815,0.1522039334900418,0.1741385273217713,0.3381959722602162,0.0574291562283734,,-0.0166159266056319,correlaciones_Diaria.csv
DIR,-0.2995587389982209,0.2699979834460305,-0.3477313002888543,-0.0934055364536591,-0.2223680809829961,-0.1356789041883632,0.2953052036026546,-0.264356742066725,-0.0476318171462192,correlaciones_Diaria.csv
HUM,0.525356147818793,0.4826870564414203,0.5192530323704901,0.559549734853178,0.480083463660144,0.5289719038537264,0.5142288531480808,0.4040390138650156,0.4834435643546982,correlaciones_Diaria.csv
LLU,0.2470990111787412,0.2087603773309735,0.1309746910696693,0.195951508357473,0.1426699625885583,0.2646881736767828,0.1939555061846433,0.0911803723899853,0.1897952114572415,correlaciones_Diaria.csv
NO2,0.1708041600123405,-0.1179125177887689,0.211549714542951,0.2958363677865521,0.1345597022924296,0.4284634241241625,0.0793189201846921,,-0.0376101422320945,correlaciones_Diaria.csv
O3,-0.2939704207309893,0.030885368249551,-0.252306243871388,-0.2070634369550039,-0.2480303066284184,-0.1880688638450846,-0.1583157874466773,-0.1127701153116755,-0.0142698641554709,correlaciones_Diaria.csv
PM25,0.2412707832821406,-0.1441086232468286,0.2082336313692149,0.0441861549546778,0.1137968069090885,0.1479393143134917,0.009508766953002,-0.2592373714887773,-0.0996508950188062,correlaciones_Diaria.csv
PRE,0.0124807820163288,0.0601366170962036,0.0332835955677026,0.0567989028420398,0.0044446397970907,0.0589453006780312,0.0504862929013079,0.0485394512832647,0.0971855740594584,correlaciones_Diaria.csv
RS,-0.4829126318589303,-0.323948240211195,-0.4572160973291868,-0.3215287454818096,-0.4431112609419804,-0.5193396717021737,-0.4325654388368756,-0.2656806507165602,-0.5068873092122621,correlaciones_Diaria.csv
SO2,-0.0613956008849346,-0.0624554997369716,0.0531208433541826,0.0493237080288249,-0.0910134954555839,-0.000749868199027,0.0757563759610003,,-0.1724298664289333,correlaciones_Diaria.csv
TMP,-0.3081328733189189,-0.3052024924184605,-0.2977962488030802,-0.3324655039487744,-0.2728455388435675,-0.2873980940001438,-0.2079050722555507,-0.2093824968386452,-0.240294139062645,correlaciones_Diaria.csv
VEL,-0.3934132538115765,-0.087855280362279,-0.3846772691422455,-0.286394913771796,-0.2529708701248163,-0.4485590675990464,-0.2824468393907032,0.1768287379841223,-0.2117731273430739,correlaciones_Diaria.csv
CO,0.3742690626094512,-0.3353129513894368,-0.2485137073986646,0.8401669140253175,0.1638867402538392,0.1158028949089826,0.1203961716337823,,-0.314817825886749,correlaciones_Estacional.csv
DIR,-0.5895780196359438,0.5485866008702756,-0.8100618095408301,0.306107984448251,-0.1042201238938577,-0.506979195398724,0.5369996350815532,-0.2900084428694748,-0.3980750413240265,correlaciones_Estacional.csv
HUM,0.6419243296232003,0.8030080699092569,-0.064354213077383,0.9631631338142228,0.4181343247796217,0.4922735503909221,0.1788592239234654,0.6027494112992717,0.7717959649782585,correlaciones_Estacional.csv
