,Max_SanAntonio,Max_Tumbaco
O3,0.381761878290547,0.36568771687509144
PM25,0.059622948300636844,0.11287043561547179
PRE,0.26761762155210506,0.5157165766595223
RS,0.17733037785257355,0.17977199897886956
TMP,-0.17678616856009385,0.22435689910196416
VEL,0.340875022415985,0.4050625313813356
DIR,0.4358860825811351,0.5047560791901509
HUM,-0.11891256929344664,0.052303097461037826
LLU,-0.13587535510091434,0.2648522673052224
