Estacion,Categoria,Valor Categoria,AOD,Min,Max
Carapungo,IQCA,Deseable,AOD_media,0.12,0.586
Carapungo,IQCA,Deseable,AOD_mediana,0.118,0.586
Carapungo,IQCA,Deseable,AOD_moda,0.105,0.586
Carapungo,IQCA_1,Deseable,AOD_media,0.12,0.586
Carapungo,IQCA_1,Deseable,AOD_mediana,0.118,0.586
Carapungo,IQCA_1,Deseable,AOD_moda,0.105,0.586
Carapungo,IQCA_7,Deseable,AOD_media,0.206,0.586
Carapungo,IQCA_7,Deseable,AOD_mediana,0.197,0.586
Carapungo,IQCA_7,Deseable,AOD_moda,0.105,0.586
Carapungo,IQCA_7,Aceptable,AOD_media,0.12,0.508
Carapungo,IQCA_7,Aceptable,AOD_mediana,0.118,0.508
Carapungo,IQCA_7,Aceptable,AOD_moda,0.111,0.508
Carapungo,IQCA_14,Deseable,AOD_media,0.12,0.586
Carapungo,IQCA_14,Deseable,AOD_mediana,0.118,0.586
Carapungo,IQCA_14,Deseable,AOD_moda,0.105,0.586
Carapungo,IQCA_14,Aceptable,AOD_media,0.156,0.508
Carapungo,IQCA_14,Aceptable,AOD_mediana,0.156,0.508
Carapungo,IQCA_14,Aceptable,AOD_moda,0.111,0.508
Carapungo,IQCA_18,Deseable,AOD_media,0.12,0.586
Carapungo,IQCA_18,Deseable,AOD_mediana,0.118,0.586
Carapungo,IQCA_18,Deseable,AOD_moda,0.105,0.586
Carapungo,IQCA_18,Aceptable,AOD_media,0.261,0.261
Carapungo,IQCA_18,Aceptable,AOD_mediana,0.259,0.259
Carapungo,IQCA_18,Aceptable,AOD_moda,0.259,0.259
SanAntonio,IQCA,Deseable,AOD_media,0.067,0.585
SanAntonio,IQCA,Deseable,AOD_mediana,0.053,0.585
SanAntonio,IQCA,Deseable,AOD_moda,0.011,0.585
SanAntonio,IQCA,Incorrecto,AOD_media,0.192,0.468
SanAntonio,IQCA,Incorrecto,AOD_mediana,0.201,0.446
SanAntonio,IQCA,Incorrecto,AOD_moda,0.201,0.52
SanAntonio,IQCA_1,Deseable,AOD_media,0.067,0.585
SanAntonio,IQCA_1,Deseable,AOD_mediana,0.053,0.585
SanAntonio,IQCA_1,Deseable,AOD_moda,0.011,0.585
SanAntonio,IQCA_1,Aceptable,AOD_media,0.23,0.455
SanAntonio,IQCA_1,Aceptable,AOD_mediana,0.217,0.45
SanAntonio,IQCA_1,Aceptable,AOD_moda,0.183,0.381
SanAntonio,IQCA_1,Incorrecto,AOD_media,0.192,0.468
SanAntonio,IQCA_1,Incorrecto,AOD_mediana,0.201,0.446
SanAntonio,IQCA_1,Incorrecto,AOD_moda,0.182,0.52
SanAntonio,IQCA_7,Deseable,AOD_media,0.067,0.585
SanAntonio,IQCA_7,Deseable,AOD_mediana,0.053,0.585
SanAntonio,IQCA_7,Deseable,AOD_moda,0.011,0.585
SanAntonio,IQCA_7,Aceptable,AOD_media,0.186,0.436
