Fecha,TMP,PM25,AOD_mean
2018-01-01,10.6975,44.51499999999999,
2018-01-02,13.165416666666667,29.613333333333333,
2018-01-03,13.355416666666663,37.76708333333333,
2018-01-04,13.701666666666666,28.741666666666664,190.994
2018-01-05,13.3375,25.725,506.0
2018-01-06,13.242916666666666,23.88875,
2018-01-07,13.128749999999998,20.062916666666663,151.143
2018-01-08,12.804166666666667,23.755,322.623
2018-01-09,12.994583333333331,35.39791666666667,
2018-01-10,13.610833333333332,26.07875,
2018-01-11,13.440416666666666,30.064545454545453,264.516
2018-01-12,12.97125,25.24708333333333,425.593
2018-01-13,12.64625,23.017916666666665,570.953
2018-01-14,12.225416666666668,12.9,
2018-01-15,11.113333333333332,16.120833333333334,
2018-01-16,11.925416666666663,26.845,
2018-01-17,12.304583333333332,20.687083333333334,
2018-01-18,12.82875,18.964166666666667,
2018-01-19,13.840833333333334,18.3525,
2018-01-20,14.062916666666666,12.445833333333333,
2018-01-21,14.56125,14.44875,386.436
2018-01-22,14.46875,14.989583333333334,313.95
2018-01-23,14.252916666666666,17.903333333333332,
2018-01-24,14.969583333333333,17.017500000000002,180.585
2018-01-25,14.885833333333332,14.186666666666667,308.017
2018-01-26,14.905,19.137083333333333,
2018-01-27,15.219583333333333,14.85,
2018-01-28,15.66875,17.49875,294.488
2018-01-29,15.071666666666667,18.9225,150.128
2018-01-30,15.685,20.49571428571429,162.041
2018-01-31,15.381666666666668,25.08791666666667,197.613
2018-02-01,15.54125,19.966666666666665,227.085
2018-02-02,14.902500000000002,21.482916666666668,
2018-02-03,14.30375,22.4675,485.139
2018-02-04,14.870833333333335,15.537083333333332,
2018-02-05,14.7325,15.707083333333332,571.0
2018-02-06,13.753333333333332,14.8625,
2018-02-07,14.666666666666666,16.9725,459.932
2018-02-08,15.515,16.270833333333332,347.112
2018-02-09,15.407916666666669,21.557916666666667,322.365
2018-02-10,15.09375,21.460416666666664,495.646
2018-02-11,14.5125,18.12666666666667,
2018-02-12,14.49125,22.58833333333333,484.44
2018-02-13,14.127083333333331,25.790000000000003,501.528
2018-02-14,13.783333333333331,20.949166666666667,397.573
2018-02-15,13.896666666666668,18.629583333333333,
2018-02-16,14.492083333333332,21.16625,
2018-02-17,14.079583333333334,24.219583333333333,
2018-02-18,13.81125,19.0075,
2018-02-19,12.876666666666669,10.27,
2018-02-20,13.5225,18.23333333333333,
2018-02-21,14.029166666666669,15.77,305.119
2018-02-22,12.89625,15.95,
2018-02-23,13.021666666666668,14.084583333333336,
2018-02-24,12.522916666666667,12.445,
2018-02-25,13.073333333333332,15.968333333333334,319.222
2018-02-26,12.811666666666667,16.20958333333333,535.002
2018-02-27,12.649166666666666,18.12666666666667,
2018-02-28,12.754583333333334,17.91375,
2018-03-01,14.094583333333333,22.8725,333.596
2018-03-02,13.381666666666666,17.544583333333332,
2018-03-03,14.19875,21.88416666666667,
2018-03-04,14.128333333333332,19.659166666666668,
2018-03-05,14.564166666666669,22.85291666666667,
2018-03-06,14.635416666666666,22.9425,
2018-03-07,15.253749999999998,22.014166666666668,366.935
2018-03-08,15.737916666666663,20.97434782608696,
2018-03-09,15.634166666666664,18.547083333333333,380.861
2018-03-10,16.212083333333332,13.645833333333334,212.446
2018-03-11,16.7075,12.276666666666666,346.972
2018-03-12,16.291666666666668,14.086666666666666,247.823
2018-03-13,15.2675,19.1025,573.057
2018-03-14,15.37625,21.54875,255.929
2018-03-15,14.887083333333337,26.864166666666662,
2018-03-16,15.516666666666666,35.18541666666667,
2018-03-17,14.162916666666668,25.31958333333333,
2018-03-18,14.202083333333334,23.1425,587.358
2018-03-19,13.427916666666668,16.245833333333334,555.593
2018-03-20,13.894347826086957,30.0005,539.798
2018-03-21,15.757083333333334,23.75791666666667,479.815
2018-03-22,15.285833333333334,19.149166666666662,
2018-03-23,13.215416666666668,23.625416666666663,
2018-03-24,12.621250000000002,29.5425,
2018-03-25,14.777916666666668,24.21666666666667,274.08
2018-03-26,15.321666666666664,23.781666666666663,554.533
2018-03-27,15.169583333333334,27.039166666666663,392.633
2018-03-28,14.5775,26.269583333333333,403.945
2018-03-29,13.621249999999998,28.439166666666665,
2018-03-30,13.549583333333333,20.24416666666667,
2018-03-31,12.872083333333334,18.445,
2018-04-01,12.594583333333333,14.18625,
2018-04-02,12.420416666666666,21.04083333333333,
2018-04-03,13.068333333333332,20.285416666666663,
2018-04-04,12.450833333333334,21.365416666666665,
2018-04-05,11.866666666666667,27.300416666666667,
2018-04-06,12.70875,21.47791666666667,
2018-04-07,12.935833333333331,30.375,
2018-04-08,13.769166666666663,21.98333333333333,548.615
2018-04-09,14.36,22.76875,
2018-04-10,13.370833333333332,19.11458333333333,
2018-04-11,12.717083333333331,30.922083333333333,
2018-04-12,13.134166666666667,34.77041666666667,131.673
2018-04-13,13.894166666666663,22.06083333333333,
2018-04-14,13.987083333333333,24.839166666666667,458.424
2018-04-15,14.9475,21.902083333333334,540.0
2018-04-16,14.467083333333331,25.12833333333333,
2018-04-17,14.2325,16.90458333333333,390.067
2018-04-18,15.597916666666668,22.661666666666665,391.186
2018-04-19,15.572916666666666,16.284583333333334,415.066
2018-04-20,15.983333333333334,15.872916666666669,361.748
2018-04-21,15.114583333333334,22.047916666666666,264.491
2018-04-22,15.075,17.3475,206.545
2018-04-23,15.257916666666668,17.040000000000003,
2018-04-24,15.207916666666668,29.9225,390.855
2018-04-25,14.494166666666668,22.855416666666667,
2018-04-26,14.032916666666669,24.625,
2018-04-27,14.602083333333333,26.95625,408.114
