Fecha,TMP,PM25,AOD_mean
2018-01-01,12.6025,13.23,
2018-01-02,14.809583333333334,19.17875,
2018-01-03,15.44,16.1375,427.4
2018-01-04,15.683750000000002,15.094583333333333,159.296
2018-01-05,15.410833333333334,16.309166666666666,350.599
2018-01-06,15.242916666666666,11.951666666666668,
2018-01-07,15.454166666666666,15.912083333333332,92.878
2018-01-08,15.094166666666666,15.613333333333337,
2018-01-09,15.11125,19.9325,541
2018-01-10,15.574583333333337,17.813636363636363,
2018-01-11,15.302916666666668,18.16625,220.864
2018-01-12,15.664166666666668,21.54125,423.58
2018-01-13,15.547083333333331,14.13625,564.326
2018-01-14,14.964999999999998,14.055833333333334,365.421
2018-01-15,14.07625,9.224166666666669,
2018-01-16,14.6425,12.07,
2018-01-17,14.595833333333331,8.740833333333333,
2018-01-18,15.04875,9.610416666666667,
2018-01-19,16.205833333333334,6.352916666666666,
2018-01-20,15.829166666666666,9.798333333333334,466.493
2018-01-21,13.562857142857142,12.594545454545454,341.627
2018-01-22,18.33714285714285,13.487,422.333
2018-01-23,16.60875,13.37,415.388
2018-01-24,16.643333333333334,14.232916666666666,202.283
2018-01-25,16.1775,12.8275,195.196
2018-01-26,16.663333333333334,16.375,
2018-01-27,17.68375,9.765,300.895
2018-01-28,17.995416666666667,11.77125,216.809
2018-01-29,17.175,14.533333333333331,87.207
2018-01-30,17.348333333333333,16.6675,145.671
2018-01-31,17.6875,14.346666666666666,258.748
2018-02-01,17.02521739130435,12.466,226.252
2018-02-02,17.02625,14.305416666666666,
2018-02-03,16.517083333333336,16.506666666666668,448.365
2018-02-04,17.339166666666667,8.50625,
2018-02-05,18.992,9.106666666666666,447.696
2018-02-06,17.157333333333334,10.467333333333334,
2018-02-07,17.28291666666667,9.060416666666669,281.314
2018-02-08,17.750416666666666,7.60625,231.29
2018-02-09,17.848333333333333,9.63625,289.324
2018-02-10,17.481666666666666,11.05375,451.804
2018-02-11,17.439166666666665,11.210416666666667,
2018-02-12,17.010833333333334,17.855833333333333,452.014
2018-02-13,16.155,18.11375,360.841
2018-02-14,16.855833333333333,15.18625,373.19
2018-02-15,16.744583333333335,8.22625,
2018-02-16,16.914583333333333,10.5,
2018-02-17,16.77375,10.379583333333333,
2018-02-18,16.774166666666666,11.18125,
2018-02-19,15.562083333333334,7.895,
2018-02-20,16.542916666666667,8.969583333333334,
2018-02-21,16.815,10.428333333333333,359.233
2018-02-22,15.699583333333337,8.564166666666667,
2018-02-23,15.681666666666668,7.234999999999999,545.036
2018-02-24,14.873333333333331,7.8379166666666675,464.617
2018-02-25,15.865416666666668,9.544166666666667,311.358
2018-02-26,15.157083333333333,10.912083333333332,440.247
2018-02-27,15.995416666666666,12.802916666666668,
2018-02-28,15.885833333333332,12.802916666666668,
2018-03-01,17.000833333333333,12.891666666666666,265.496
2018-03-02,16.09541666666667,11.372083333333334,
2018-03-03,16.46,9.86125,
2018-03-04,16.78291666666667,12.2675,
2018-03-05,16.675833333333333,9.05875,
2018-03-06,16.5425,11.215833333333334,
2018-03-07,17.08625,11.471666666666666,
2018-03-08,17.578333333333333,13.66875,
2018-03-09,17.816666666666666,11.68625,421.915
2018-03-10,17.42291666666667,14.394166666666663,107.737
2018-03-11,18.32708333333333,13.135,353.235
2018-03-12,17.58875,15.299166666666666,207.476
2018-03-13,18.02083333333333,15.16875,
2018-03-14,17.625833333333333,21.140833333333333,181.825
2018-03-15,17.122083333333332,23.690416666666668,
2018-03-16,17.62333333333333,21.084166666666665,
2018-03-17,16.286666666666665,16.544583333333332,
2018-03-18,17.254166666666666,14.937083333333334,483.953
2018-03-19,16.05666666666667,10.48625,
2018-03-20,17.264166666666668,19.992916666666662,
2018-03-21,18.58333333333333,15.21375,420.699
2018-03-22,16.855833333333333,17.015416666666667,
2018-03-23,15.982916666666666,16.202083333333334,
2018-03-24,14.191666666666668,19.327916666666667,
2018-03-25,16.81375,16.783333333333335,207.532
2018-03-26,17.88958333333333,16.986250000000002,528.809
2018-03-27,17.655,17.66625,414.14
2018-03-28,16.870833333333334,12.285000000000002,336.472
2018-03-29,15.67125,16.019166666666667,
2018-03-30,16.13083333333333,10.51375,568.039
2018-03-31,15.275833333333331,9.90375,
2018-04-01,15.34125,6.680416666666667,
2018-04-02,15.0575,7.838823529411764,
2018-04-03,16.062083333333334,9.68125,
2018-04-04,14.734782608695651,8.483809523809523,500.608
2018-04-05,14.232083333333334,12.468333333333334,
2018-04-06,14.779166666666669,9.485,443
2018-04-07,15.269166666666663,13.85625,
2018-04-08,16.366666666666667,13.010833333333332,
2018-04-09,16.647916666666667,10.74875,
2018-04-10,16.056818181818183,8.766363636363636,
2018-04-11,15.436666666666667,15.147083333333333,
2018-04-12,15.8875,19.22833333333333,57.848
2018-04-13,16.640833333333333,12.822083333333332,
2018-04-14,16.30333333333333,14.715000000000002,
2018-04-15,16.744583333333335,14.338333333333331,338.572
2018-04-16,16.5925,14.15875,
2018-04-17,17.359166666666667,10.840416666666668,349.996
2018-04-18,18.484583333333333,10.485,332.038
2018-04-19,17.923333333333336,12.599166666666669,377.403
2018-04-20,17.6825,11.405,224.301
2018-04-21,17.804583333333333,13.17875,251.319
2018-04-22,17.580833333333334,9.125,180.055
2018-04-23,17.414583333333333,12.246666666666668,
2018-04-24,17.724166666666665,16.106666666666666,302.265
2018-04-25,17.229583333333334,15.88,
2018-04-26,16.45,19.155416666666667,
2018-04-27,17.548750000000002,15.635,344.077
2018-04-28,14.876666666666669,10.48875,
2018-04-29,15.10625,16.4925,
