Fecha,AOD_media,AOD_mediana,AOD_moda,PM25_1,PM25_7,PM25_14,PM25_18,PM25,TMP,IQCA,IQCA_1,IQCA_7,IQCA_14,IQCA_18
2021-04-22,0.423,0.431,0.45,16.4,,30.1,10.8,10.49333333,15.92291667,Deseable,Deseable,Incorrecto,Aceptable,Deseable
2021-04-23,0,0,0,0.9,17.3,10.8,9.3,9.720833333,15.7075,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-24,0.38,0.366,0.366,0,9.3,10.1,14,5.8,15.27916667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-25,0,0,0,0,6,14.6,8.9,8.470833333,16.16583333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-26,0,0,0,6,6.5,3.3,11.2,6.845833333,14.80875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-27,0,0,0,0,22.2,9.6,8.2,8.620833333,14.88958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-28,0,0,0,6.4,0,0,10.4,5.833333333,14.54,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-29,0,0,0,14.3,14.1,3,16.6,11.59166667,14.10583333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-04-30,0,0,0,5.9,10.4,21.4,16.7,7.516666667,14.07083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-01,0.242,0.255,0.24,0,2.8,5.4,8.8,6.220833333,13.99625,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-02,0,0,0,6.8,2.6,10.8,13.3,6,14.04333333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-03,0.455,0.479,0.484,5.7,6.3,0.2,5,4.458333333,13.95583333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-04,0.496,0.485,0.5,0,27.5,4.2,15.2,11.10833333,15.06541667,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-05-05,0,0,0,4.7,15.9,5.9,10.2,9.633333333,15.46625,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-06,0.33,0.327,0.327,0,0.2,-5.3,8,6.9,15.16958333,Deseable,Deseable,Deseable,Incorrecto,Deseable
2021-05-07,0,0,0,7.4,27,9.8,13.4,10.21666667,15.30125,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-05-08,0.598,0.598,0.598,7.7,17.1,15.4,3.9,9.725,15.74541667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-09,0,0,0,3.3,14.3,3.5,10.6,8.654166667,15.90083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-10,0.252,0.259,0.229,2,12.7,8,9.7,9.895833333,16.82583333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-11,0.503,0.526,0.398,2.3,8.6,10.9,1.3,8.245833333,16.14375,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-12,0,0,0,10.6,10.6,22.4,8.2,10.45833333,14.67833333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-13,0,0,0,13.2,19.8,10.5,4,14.425,15.80041667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-14,0,0,0,8.5,5.9,26.4,17.7,10.93913043,16.13333333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-05-15,0,0,0,5.6,0,13.5,10.3,8.4375,14.93083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-16,0,0,0,0,0,8.3,15.8,6.291666667,14.81166667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-17,0.13,0.124,0.066,1.2,18,10.6,4.1,6.8875,14.5425,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-18,0.28,0.276,0.238,5.2,13.2,18.9,13.5,11.29166667,15.67583333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-19,0.598,0.598,0.598,21.3,27.8,7.3,0,12.57916667,15.93708333,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-05-20,0.358,0.357,0.346,6.2,20.7,26.3,8.5,9.833333333,17.06416667,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-05-21,0.514,0.528,0.551,0,30.1,27.9,10.4,11.84166667,16.46333333,Deseable,Deseable,Aceptable,Aceptable,Deseable
2021-05-22,0,0,0,0,5.2,5.5,11.6,6.895833333,15.79125,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-23,0,0,0,0,0,18.2,8.6,5.575,15.24958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-24,0.387,0.395,0.384,12.8,9.8,0,4.5,7.991666667,15.475,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-25,0.454,0.451,0.429,9.3,17.9,15.9,15.1,8.645833333,15.3375,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-26,0.337,0.334,0.153,6.4,10.1,10.4,8.7,8.391666667,15.62375,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-27,0.599,0.599,0.599,0.6,13.8,16,0.1,9.4375,15.83208333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-28,0.419,0.416,0.443,6.3,14.9,11.7,10.2,10.4375,15.34208333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-29,0.385,0.358,0.339,4.9,10.8,15.7,0.8,7.816666667,15.85708333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-30,0,0,0,3.8,0,11,7.7,8.120833333,15.83791667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-05-31,0.248,0.239,0.223,12,16,14.2,5.8,12.1375,15.36166667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-01,0,0,0,15.4,20.9,9.6,3,15.12916667,15.36083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-02,0,0,0,15.2,17.2,6.9,14.5,12.77916667,16.32958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-03,0,0,0,14.1,29.4,38.8,14.2,15.10416667,16.18666667,Deseable,Deseable,Aceptable,Aceptable,Deseable
2021-06-04,0,0,0,9.5,24.2,12.8,11.4,13.18695652,15.40916667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-05,0,0,0,10.3,12.8,27.8,7.6,12.875,15.55416667,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-06-06,0,0,0,7.7,1,0,3.6,6.716666667,14.895,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-07,0,0,0,4.1,0,18.1,3.6,7.295833333,13.65,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-08,0,0,0,1.8,0.9,0,11.6,7.825,13.48208333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-09,0.23,0.221,0.19,10.2,6.4,24.2,12.2,14.27083333,14.90375,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-10,0,0,0,16.6,16.2,13.8,18.4,11.29166667,15.43875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-11,0,0,0,6.5,4.9,28.1,18.7,12.8,14.8625,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-06-12,0,0,0,2,32.8,15.8,1.7,16.11666667,15.99,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-06-13,0,0,0,0,11,0,18.2,9.591666667,14.28416667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-14,0.234,0.235,0.226,0,21,25,4,7.454166667,13.77458333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-15,0,0,0,0,2.3,12.6,19.3,7.679166667,12.9375,Deseable,Deseable,Deseable,Deseable,Deseable
2021-06-16,0,0,0,8.6,6.9,,,12.56,14.331,Deseable,Deseable,Deseable,Incorrecto,Incorrecto
2021-06-17,0,0,0,,,,,,15.28375,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-18,0,0,0,,,,,,14.79291667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-19,0.24,0.2,0.185,,,,,,14.38875,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-20,0,0,0,,,,,,14.46958333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-21,0.212,0.207,0.169,,,,,,14.58166667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-22,0.469,0.453,0.425,,,,,,14.09166667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-23,0.568,0.582,0.582,,,,,,14.60291667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-24,0,0,0,,,,,,14.68083333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-25,0,0,0,,,,,,14.78666667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-26,0.114,0.105,0.098,,,,,,14.82166667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-27,0.286,0.253,0.347,,,,,,14.42708333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-28,0.214,0.216,0.168,,,,,,15.62375,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-29,0,0,0,,,,,,15.38083333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-06-30,0.205,0.206,0.198,,,,,,14.8,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-01,0,0,0,,,,,,14.27083333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-02,0.125,0.132,0.047,,,,,,13.92625,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-03,0,0,0,,,,,,14.37333333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-04,0.102,0.106,0.015,,,,,,15.41958333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-05,0.205,0.198,0.159,,,,,,14.96041667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-06,0.498,0.5,0.427,,,,,,16.17708333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-07,0.328,0.328,0.314,,,,,,15.50708333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-08,0,0,0,,,,,,13.501,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-09,0,0,0,,,,,,14.06125,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-10,0,0,0,,,,,,14.07291667,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-11,0.232,0.228,0.162,,,,,,14.37833333,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-07-12,0.225,0.237,0.122,,,18.6,18,14.58333333,15.73541667,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2021-07-13,0.38,0.375,0.403,15.9,25.9,18.5,18.6,15.82916667,14.57125,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-07-14,0,0,0,8.1,33.1,29.2,15.3,15.1,14.96333333,Deseable,Deseable,Aceptable,Aceptable,Deseable
2021-07-15,0.369,0.369,0.369,16.2,19.6,19.5,13.9,15.7,16.02541667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-16,0.465,0.551,0.551,10.4,23.3,25.2,9.4,16.13333333,15.06125,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-07-17,0,0,0,16.1,14.1,18,3.1,9.691666667,14.12041667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-18,0.23,0.245,0.207,20.5,12.7,16.9,5,11,15.25958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-19,0,0,0,5.4,20.6,45.2,3.7,13.7,16.68833333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-07-20,0,0,0,12.8,19.4,12.3,21.7,17.75833333,17.20333333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-21,0,0,0,3.6,22.3,62,13.3,15.47083333,16.99416667,Deseable,Deseable,Deseable,Precaucion,Deseable
2021-07-22,0,0,0,0,15.2,61.9,11.4,13.47916667,16.29916667,Deseable,Deseable,Deseable,Precaucion,Deseable
2021-07-23,0.458,0.448,0.375,10.5,15.7,14.8,22.7,14.52916667,13.86333333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-24,0.365,0.352,0.352,8.3,14.9,15.7,10.1,14.2875,14.52333333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-25,0.243,0.25,0.089,5.5,9.6,15.3,6.7,7.479166667,13.91416667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-26,0,0,0,0,8.2,19,13.8,9.733333333,14.74791667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-27,0,0,0,0,24.8,24.3,15.7,11.14583333,15.68791667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-28,0.234,0.251,0.138,10.8,18,12.9,14.4,13.80833333,16.39458333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-29,0.311,0.294,0.297,0,31,13.3,20.4,13.3625,16.29458333,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-07-30,0.512,0.511,0.511,12,24.8,9.1,18.4,13.79166667,16.29041667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-07-31,0.277,0.29,0.177,0,9.4,,,15.5,17.60541667,Deseable,Deseable,Deseable,Incorrecto,Incorrecto
2021-08-01,0.379,0.375,0.331,,,21.1,9.8,15.02,17.17125,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2021-08-02,0,0,0,2.9,6.9,,,5.525,17.13375,Deseable,Deseable,Deseable,Incorrecto,Incorrecto
2021-08-03,0.22,0.212,0.161,,,17.3,22.7,28.23333333,16.40136364,Aceptable,Incorrecto,Incorrecto,Deseable,Deseable
2021-08-04,0,0,0,4.5,3.6,38.1,12.5,18.07916667,17.02541667,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-05,0.417,0.403,0.362,10.3,21.7,42.5,-0.3,14.57083333,15.94583333,Deseable,Deseable,Deseable,Aceptable,Incorrecto
2021-08-06,0,0,0,8.5,31.7,18.8,2.8,17.1,14.98708333,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-08-07,0.323,0.312,0.347,19.6,37.3,20.6,21.6,20.075,15.16208333,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-08-08,0.289,0.288,0.286,20.2,19,34.5,21.5,18.99583333,15.46458333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-09,0,0,0,9.2,17.3,26.3,11.8,13.91666667,14.7575,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-10,0.537,0.537,0.505,8.6,26.3,32.2,11.2,19.99047619,15.15458333,Deseable,Deseable,Aceptable,Aceptable,Deseable
2021-08-11,0,0,0,7.1,15.9,20.9,18.6,16.175,15.65458333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-12,0.431,0.402,0.392,11.8,19,22.7,5.6,16.74583333,13.48333333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-13,0,0,0,16.6,20.2,22.1,13.8,12.72173913,14.93166667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-14,0,0,0,20,21.3,19.1,14.4,15.2,15.07875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-15,0,0,0,4.4,20.2,33.8,7,12.5,14.555,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-16,0,0,0,2.4,8.1,17.6,16.2,9.425,14.09625,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-17,0.19,0.17,0.109,9.7,23.1,27.7,5.5,13.24583333,14.64625,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-18,0,0,0,7.4,24.3,21.2,10.3,14.81666667,15.15083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-19,0,0,0,3.6,17.5,33.9,18.9,15.67083333,15.25333333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-20,0,0,0,0,22.3,27.8,16.3,14.575,15.37708333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-21,0.527,0.527,0.501,4.9,30.7,18,17.6,17.8875,15.60875,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-08-22,0,0,0,21.5,9,11.5,18.4,15.775,15.39875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-23,0,0,0,2.9,19,18.4,14.3,13.29583333,15.02958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-24,0,0,0,4.4,16.9,26.3,13.9,12.54166667,14.78125,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-25,0,0,0,2.3,11.2,25.4,4.4,10.24166667,14.24958333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-26,0,0,0,10.5,11.8,23.5,12.9,13.09090909,14.91541667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-27,0,0,0,3,23.3,30.4,12.6,15.72631579,14.80791667,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-08-28,0.357,0.408,0.243,11,24.4,23.1,11.4,14.85833333,15.37083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-29,0.537,0.547,0.547,15.3,22.7,14.4,8.2,14.725,15.00958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-08-30,0.459,0.448,0.448,4.9,32.9,14.9,18.2,14.24583333,14.49333333,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-08-31,0.446,0.441,0.422,3.5,23.5,26.6,13.7,15.15833333,15.04208333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-09-01,0.347,0.342,0.337,18.8,24.8,12.2,6.1,16.45416667,15.43333333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-02,0.44,0.446,0.329,12.3,11.4,24.2,11.1,12.76666667,15.94708333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-03,0,0,0,16.5,22.6,18.5,20.6,17.4,15.52875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-04,0.532,0.539,0.58,16.3,18.5,28,2.2,16.52916667,15.95958333,Deseable,Deseable,Deseable,Aceptable,Deseable
2021-09-05,0,0,0,10.5,14.8,0,7.2,9.841666667,15.25166667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-06,0.23,0.22,0.197,8.5,2.6,13,21.4,8.879166667,12.94458333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-07,0.459,0.455,0.444,13.9,23.2,15.8,4.4,14.75833333,15.04958333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-08,0.581,0.581,0.581,7,29.9,16.1,25.7,16.85833333,15.04583333,Deseable,Deseable,Aceptable,Deseable,Aceptable
2021-09-09,0,0,0,19.8,36.4,19.6,18.1,16.32916667,15.91666667,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-09-10,0.325,0.307,0.297,20.9,39.4,21.4,8.4,14.92916667,15.94791667,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-09-11,0.163,0.158,0.159,14.6,23.6,21.6,6.8,12.19583333,14.93708333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-12,0,0,0,1.4,4,24.1,10.2,8.829166667,14.12875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-13,0.31,0.306,0.306,0,17.7,,31.8,12.97894737,15.01565217,Deseable,Deseable,Deseable,Incorrecto,Aceptable
2021-09-14,0.176,0.173,0.157,7.4,24.7,15.2,25,13.9625,13.92083333,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-15,0,0,0,12.4,27,5.8,18.7,14.9,15.73916667,Deseable,Deseable,Aceptable,Deseable,Deseable
2021-09-16,0.262,0.255,0.27,13.9,19.3,11,21,13.8875,16.75875,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-17,0.367,0.377,0.392,4,16.2,11.6,21.3,16.63333333,17.28291667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-18,0,0,0,11.2,19.9,,14.1,17.55294118,14.80857143,Deseable,Deseable,Deseable,Incorrecto,Deseable
2021-09-19,0,0,0,14.9,21.4,,18.5,16.99375,15.81708333,Deseable,Deseable,Deseable,Incorrecto,Deseable
2021-09-20,0,0,0,7.5,,,,7.128571429,16.21583333,Deseable,Deseable,Incorrecto,Incorrecto,Incorrecto
2021-09-21,0.53,0.53,0.53,,,,,,14.99125,Incorrecto,Incorrecto,Incorrecto,Incorrecto,Incorrecto
2021-09-22,0.334,0.323,0.323,,,8,15.1,14.5,14.07857143,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2021-09-23,0,0,0,10.2,10.5,,,11.61764706,14.84333333,Deseable,Deseable,Deseable,Incorrecto,Incorrecto
2021-09-24,0.184,0.181,0.14,,,14.4,18.1,14.7375,15.89458333,Deseable,Incorrecto,Incorrecto,Deseable,Deseable
2021-09-25,0,0,0,21.5,17,,,18.52857143,17.61708333,Deseable,Deseable,Deseable,Incorrecto,Incorrecto
2021-09-26,0.598,0.598,0.598,,,29,9.2,18.8375,17.27541667,Deseable,Incorrecto,Incorrecto,Aceptable,Deseable
2021-09-27,0.407,0.379,0.338,13.2,17.1,24.9,20.2,13.64166667,16.68625,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-28,0,0,0,24.6,14.5,11.7,4.2,16.0625,14.75791667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-29,0.303,0.304,0.304,1,10.5,14.4,10.9,10.70833333,14.74541667,Deseable,Deseable,Deseable,Deseable,Deseable
2021-09-30,0.357,0.346,0.324,2.6,11.7,,,5.121428571,13.79333333,Deseable,Deseable,Deseable,Incorrecto,Incorrecto
