Fecha,TMP,PM25,AOD_mean
2018-01-01,8.689166666666667,107.90875,
2018-01-02,11.2475,27.328333333333333,
2018-01-03,11.434166666666668,36.47708333333333,
2018-01-04,12.201666666666666,19.572916666666668,242.15
2018-01-05,11.190833333333332,31.29958333333333,430.618
2018-01-06,11.179583333333332,22.520416666666662,
2018-01-07,11.4625,27.33375,205.035
2018-01-08,11.035217391304348,17.597916666666666,314.614
2018-01-09,11.145,27.355833333333333,
2018-01-10,11.48125,22.73583333333333,
2018-01-11,11.917083333333332,29.69454545454545,213.398
2018-01-12,11.2125,23.84583333333333,528.0
2018-01-13,10.887083333333337,24.455,
2018-01-14,10.478333333333332,13.615416666666668,
2018-01-15,9.194583333333332,14.024583333333332,
2018-01-16,10.141666666666667,28.06083333333333,
2018-01-17,10.424583333333333,20.944166666666668,
2018-01-18,11.105416666666663,21.81875,
2018-01-19,11.952916666666669,17.575416666666666,
2018-01-20,12.1175,12.750416666666666,
2018-01-21,12.400833333333331,16.6775,
2018-01-22,12.272083333333333,12.955833333333333,
2018-01-23,12.039166666666668,13.546666666666669,
2018-01-24,13.112083333333333,12.019583333333332,255.164
2018-01-25,12.948333333333332,9.60625,265.887
2018-01-26,13.3,14.416666666666666,
2018-01-27,13.068333333333332,26.785833333333333,
2018-01-28,13.6,18.8625,376.47
2018-01-29,13.116666666666667,13.15875,202.175
2018-01-30,13.742083333333332,14.415833333333332,199.311
2018-01-31,13.38391304347826,25.49,209.063
2018-02-01,13.993333333333332,16.767500000000002,251.789
2018-02-02,13.221666666666666,19.082916666666662,
2018-02-03,12.595,27.000833333333333,553.263
2018-02-04,13.0625,19.265,
2018-02-05,13.220833333333331,14.968333333333334,
2018-02-06,12.229166666666666,15.0675,
2018-02-07,12.767916666666666,17.7375,467.795
2018-02-08,13.462083333333334,20.792916666666667,458.096
2018-02-09,13.505416666666669,18.865,366.867
2018-02-10,13.050416666666663,25.25916666666667,833.603
2018-02-11,12.593333333333334,20.64583333333333,
2018-02-12,12.397083333333333,26.587083333333336,395.085
2018-02-13,12.283333333333331,22.201666666666668,531.459
2018-02-14,12.246666666666668,31.740416666666665,511.378
2018-02-15,11.892916666666666,18.535833333333333,
2018-02-16,12.474166666666669,22.359166666666667,
2018-02-17,12.186666666666667,24.566666666666663,
2018-02-18,11.928695652173914,28.957272727272724,
2018-02-19,11.02,14.861666666666666,
2018-02-20,12.24,16.595833333333335,
2018-02-21,12.47875,12.05625,424.697
2018-02-22,11.184583333333334,15.641666666666666,
2018-02-23,11.420833333333334,11.070416666666668,
2018-02-24,10.300833333333332,10.859583333333331,
2018-02-25,11.186666666666667,12.597083333333332,298.909
2018-02-26,10.670833333333334,15.255833333333332,
2018-02-27,10.934166666666668,17.79125,
2018-02-28,10.597916666666666,18.15125,
2018-03-01,12.139583333333334,22.96291666666667,427.399
2018-03-02,11.47,17.074166666666667,
2018-03-03,12.2075,16.039583333333333,
2018-03-04,12.175,20.29583333333333,
2018-03-05,12.015217391304349,22.57217391304348,
2018-03-06,11.815,20.89761904761905,
2018-03-07,12.82181818181818,12.096363636363636,
2018-03-08,13.87,16.771666666666665,
2018-03-09,13.725833333333334,18.97583333333333,
2018-03-10,13.913333333333334,10.20125,315.397
2018-03-11,14.372916666666669,9.796666666666669,328.399
2018-03-12,14.26125,72.20333333333333,280.927
2018-03-13,13.2425,21.60083333333333,517.636
2018-03-14,13.425,19.39708333333333,256.537
2018-03-15,12.723333333333334,27.30208333333333,
2018-03-16,13.325416666666667,21.552916666666665,
2018-03-17,12.252083333333331,26.82333333333333,
2018-03-18,12.543333333333337,25.565416666666668,521.571
2018-03-19,11.760833333333332,13.61125,
2018-03-20,12.272916666666667,23.48,483.097
2018-03-21,13.539583333333333,18.83833333333333,
2018-03-22,13.188333333333333,31.504166666666663,
2018-03-23,11.330416666666666,21.816666666666663,
2018-03-24,10.832916666666668,26.57875,
2018-03-25,12.891666666666666,19.854166666666668,300.787
2018-03-26,13.21,22.626666666666665,
2018-03-27,13.017916666666666,24.4125,389.63
2018-03-28,12.594347826086958,21.57842105263158,
2018-03-29,11.57695652173913,27.51782608695652,
2018-03-30,11.528333333333334,25.7,
2018-03-31,11.135833333333332,18.09708333333333,
2018-04-01,10.9525,12.418333333333337,
2018-04-02,10.410833333333334,15.625416666666666,
2018-04-03,11.315416666666666,22.955416666666665,
2018-04-04,10.55125,15.676666666666668,
2018-04-05,10.497083333333334,24.144583333333333,
2018-04-06,10.563333333333334,16.330833333333334,
2018-04-07,10.683333333333332,27.33333333333333,
2018-04-08,11.69625,20.51125,
2018-04-09,12.278333333333334,23.67833333333333,
2018-04-10,10.883333333333333,18.133333333333333,
2018-04-11,10.47,21.449444444444445,
2018-04-12,11.434166666666668,32.305416666666666,179.901
2018-04-13,11.949166666666663,19.45375,
2018-04-14,12.12,20.23708333333333,420.063
2018-04-15,13.034999999999998,10.007916666666668,
2018-04-16,12.57125,12.014166666666668,
2018-04-17,12.305833333333334,14.134444444444446,352.422
2018-04-18,13.49875,15.509583333333332,
2018-04-19,13.711666666666666,12.906,
2018-04-20,13.68,9.113684210526316,363.02
2018-04-21,13.38625,104.17166666666668,301.746
2018-04-22,12.922916666666666,,408.739
2018-04-23,13.169166666666667,12.416153846153843,
2018-04-24,13.21625,15.206666666666663,371.611
2018-04-25,12.6825,17.868333333333336,
2018-04-26,11.976666666666668,15.779583333333331,
2018-04-27,12.447916666666666,16.952083333333334,
2018-04-28,10.77,16.934583333333332,
2018-04-29,11.60125,13.04625,
