Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-05-31,14.17791667,14.975,0.139,0.137,0.15,Deseable,0.708,1.41
2018-06-01,14.70625,16.2425,0.279,0.279,0.25,Deseable,0.165,0.33
2018-06-02,15.34291667,14.57166667,0.333,0.317,0.317,Deseable,3.919,7.69
2018-06-04,14.91666667,15.0535,0.38,0.396,0.396,Deseable,0.202,0.4
2018-06-05,14.82625,11.1675,0.458,0.468,0.471,Deseable,2.308,4.66
2018-06-06,15.37166667,9.395,0.188,0.182,0.178,Deseable,2.821,4.87
2018-06-07,15.32083333,14.71541667,0.12,0.109,0.084,Deseable,4.149,4.72
2018-06-08,15.63583333,10.9025,0.129,0.128,0.121,Deseable,2.017,4.02
2018-06-09,15.36583333,15.91875,0.213,0.222,0.298,Deseable,1.839,3.61
2018-06-11,15.05458333,16.27708333,0.218,0.222,0.227,Deseable,3.985,7.5
2018-06-13,14.30083333,13.56,0.113,0.111,0.142,Deseable,1.868,3.66
2018-06-14,14.10458333,14.08083333,0.459,0.461,0.461,Deseable,0.0,0.0
2018-06-16,14.805,9.839583333,0.336,0.325,0.267,Deseable,0.648,1.29
2018-06-17,14.68833333,7.87375,0.358,0.368,0.371,Deseable,0.0,0.0
2018-06-18,14.79166667,7.27125,0.3,0.311,0.325,Deseable,3.976,6.09
2018-06-19,13.98333333,10.93916667,0.417,0.408,0.408,Deseable,0.807,1.61
2018-06-20,13.2225,8.60125,0.324,0.361,0.216,Deseable,1.625,3.19
2018-06-21,14.31666667,8.335416667,0.211,0.206,0.16,Deseable,2.68,4.52
2018-06-22,14.72166667,11.31208333,0.128,0.137,0.137,Deseable,2.463,4.09
2018-07-01,13.62333333,7.937916667,0.335,0.337,0.337,Deseable,0.03,0.06
2018-07-02,14.941875,14.74642857,0.09,0.083,0.037,Deseable,1.254,2.5
2018-07-03,13.33208333,12.41291667,0.129,0.128,0.12,Deseable,1.883,3.75
2018-07-04,14.59791667,10.34041667,0.228,0.203,0.19,Deseable,0.952,1.71
2018-07-06,14.78291667,7.955416667,0.428,0.432,0.466,Deseable,4.279,7.93
2018-07-08,14.77,7.815833333,0.203,0.204,0.135,Deseable,2.759,4.29
2018-07-09,15.25708333,7.742916667,0.298,0.288,0.278,Deseable,1.121,2.23
2018-07-10,15.14166667,8.23875,0.155,0.15,0.179,Deseable,4.566,4.75
2018-07-11,15.20583333,9.950833333,0.25,0.241,0.268,Deseable,1.466,2.86
2018-07-12,14.7875,9.241666667,0.189,0.183,0.184,Deseable,2.525,5.03
2018-07-13,15.3025,7.710833333,0.248,0.261,0.316,Deseable,1.392,2.44
2018-07-14,15.39125,7.04875,0.289,0.293,0.312,Deseable,0.629,1.27
2018-07-15,14.1,7.336666667,0.129,0.129,0.14,Deseable,4.868,4.77
2018-07-17,15.37041667,7.29125,0.242,0.239,0.234,Deseable,0.052,0.1
2018-07-19,14.87708333,13.17041667,0.283,0.279,0.267,Deseable,0.508,1.01
2018-07-23,14.60833333,12.48083333,0.236,0.233,0.267,Deseable,3.476,7.02
2018-07-24,14.71291667,8.78625,0.237,0.241,0.281,Deseable,2.553,4.45
2018-07-25,14.88041667,11.65333333,0.277,0.264,0.251,Deseable,0.0,0.0
2018-07-26,14.21833333,16.17208333,0.197,0.199,0.211,Deseable,2.888,5.75
2018-07-27,13.57416667,21.30625,0.426,0.426,0.427,Deseable,0.153,0.3
