Fecha,Belisario,IQCA_Belisario,Belisario_AOD,Carapungo_AOD,Carapungo,IQCA_Carapungo,Centro_AOD,Centro,IQCA_Centro,Cotocollao_AOD,Cotocollao,IQCA_Cotocollao,ElCamal_AOD,ElCamal,IQCA_ElCamal,Guamani_AOD,Guamani,IQCA_Guamani,LosChillos_AOD,LosChillos,IQCA_LosChillos,SanAntonio_AOD,SanAntonio,IQCA_SanAntonio,Tumbaco_AOD,Tumbaco,IQCA_Tumbaco
2004-09-27,12.03125,Deseable,,,,Incorrecto,,9.13125,Deseable,,,Incorrecto,,12.905833333333334,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-09-28,25.933333333333334,Aceptable,384.818,458.459,,Incorrecto,396.655,19.8925,Deseable,472.855,,Incorrecto,368.057,24.40478260869565,Deseable,366.346,,Incorrecto,377.079,,Incorrecto,498.601,,Incorrecto,370.074,,Incorrecto
2004-09-29,24.0995652173913,Deseable,503.666,530.0,,Incorrecto,430.996,20.57375,Deseable,,,Incorrecto,420.299,27.14782608695652,Aceptable,465.408,,Incorrecto,366.981,,Incorrecto,530.0,,Incorrecto,360.84,,Incorrecto
2004-09-30,18.929583333333333,Deseable,371.933,371.81,,Incorrecto,446.2,14.56409090909091,Deseable,404.933,,Incorrecto,455.292,17.868333333333332,Deseable,465.7,,Incorrecto,480.385,,Incorrecto,414.389,,Incorrecto,422.245,,Incorrecto
2004-10-01,11.416086956521738,Deseable,339.552,253.644,,Incorrecto,307.803,15.62375,Deseable,292.09,,Incorrecto,309.063,19.00260869565217,Deseable,250.0,,Incorrecto,291.241,,Incorrecto,272.17,,Incorrecto,291.278,,Incorrecto
2004-10-02,11.659166666666666,Deseable,,,,Incorrecto,,14.887916666666667,Deseable,,,Incorrecto,449.077,16.627916666666668,Deseable,,,Incorrecto,344.082,,Incorrecto,,,Incorrecto,328.014,,Incorrecto
2004-10-03,15.12625,Deseable,324.664,385.614,,Incorrecto,358.685,12.831666666666663,Deseable,373.243,,Incorrecto,402.681,17.130434782608695,Deseable,376.0,,Incorrecto,445.88,,Incorrecto,,,Incorrecto,285.785,,Incorrecto
2004-10-04,23.36727272727273,Deseable,,,,Incorrecto,,16.3725,Deseable,,,Incorrecto,,20.605416666666667,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-05,18.99083333333333,Deseable,,,,Incorrecto,,15.106190476190475,Deseable,,,Incorrecto,,17.8625,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-06,25.61909090909091,Aceptable,,,,Incorrecto,,20.92,Deseable,,,Incorrecto,,25.64578947368421,Aceptable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-07,21.154166666666665,Deseable,,555.144,,Incorrecto,,14.382083333333334,Deseable,,,Incorrecto,586.891,15.67125,Deseable,574.055,,Incorrecto,587.0,,Incorrecto,,,Incorrecto,512.712,,Incorrecto
2004-10-08,19.069166666666668,Deseable,224.472,197.122,,Incorrecto,238.635,12.884166666666667,Deseable,238.82,,Incorrecto,234.803,14.132083333333334,Deseable,319.358,,Incorrecto,238.61,,Incorrecto,169.872,,Incorrecto,155.831,,Incorrecto
2004-10-09,22.59625,Deseable,149.993,93.629,,Incorrecto,131.719,20.504166666666663,Deseable,,,Incorrecto,47.237,28.562272727272727,Aceptable,,,Incorrecto,124.21,,Incorrecto,126.501,,Incorrecto,117.762,,Incorrecto
2004-10-10,15.229166666666666,Deseable,323.685,387.633,,Incorrecto,353.727,11.227916666666667,Deseable,392.558,,Incorrecto,331.272,16.429583333333333,Deseable,258.584,,Incorrecto,323.821,,Incorrecto,470.074,,Incorrecto,214.814,,Incorrecto
2004-10-11,17.993333333333336,Deseable,,,,Incorrecto,,13.655,Deseable,,,Incorrecto,,12.847272727272726,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-12,17.965833333333332,Deseable,395.427,421.977,,Incorrecto,391.0,13.561428571428571,Deseable,435.959,,Incorrecto,550.625,14.128333333333332,Deseable,,,Incorrecto,513.173,,Incorrecto,439.182,,Incorrecto,472.016,,Incorrecto
2004-10-13,18.69590909090909,Deseable,,,,Incorrecto,,11.27625,Deseable,,,Incorrecto,,14.703333333333331,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-14,23.93208333333333,Deseable,497.5,,,Incorrecto,537.682,19.524166666666662,Deseable,,,Incorrecto,497.719,29.344583333333333,Aceptable,473.737,,Incorrecto,379.493,,Incorrecto,,,Incorrecto,423.73,,Incorrecto
2004-10-15,20.91125,Deseable,159.849,251.299,,Incorrecto,187.208,18.07625,Deseable,189.968,,Incorrecto,251.551,24.15458333333333,Deseable,238.13,,Incorrecto,317.636,,Incorrecto,232.152,,Incorrecto,244.984,,Incorrecto
2004-10-16,18.94666666666667,Deseable,173.084,148.374,,Incorrecto,163.295,17.55375,Deseable,160.977,,Incorrecto,169.879,20.862916666666667,Deseable,214.133,,Incorrecto,187.234,,Incorrecto,136.572,,Incorrecto,149.312,,Incorrecto
2004-10-17,19.50708333333333,Deseable,,,,Incorrecto,,15.19625,Deseable,,,Incorrecto,,17.5825,Deseable,,,Incorrecto,655.387,,Incorrecto,,,Incorrecto,370.813,,Incorrecto
2004-10-18,17.6975,Deseable,,,,Incorrecto,,15.504583333333334,Deseable,,,Incorrecto,,19.33636363636364,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
2004-10-19,19.3008695652174,Deseable,,,,Incorrecto,,17.672083333333333,Deseable,,,Incorrecto,468.332,21.3425,Deseable,542.345,,Incorrecto,493.749,,Incorrecto,424.558,,Incorrecto,566,,Incorrecto
2004-10-20,22.63125,Deseable,,,,Incorrecto,,17.190416666666668,Deseable,,,Incorrecto,,21.64565217391305,Deseable,,,Incorrecto,,,Incorrecto,,,Incorrecto,,,Incorrecto
