Fecha,TMP,PM25,AOD_mean,AOD_median,AOD_moda,IQCA,AOD_mean_0,AOD_sum
2018-06-15,,11.8175,0.372,0.369,0.369,Deseable,0.236,0.46
2018-06-16,,14.1475,0.413,0.425,0.49,Deseable,2.359,4.7
2018-06-18,,6.824166666666667,0.35,0.357,0.349,Deseable,1.437,2.82
2018-06-19,,11.116666666666667,0.408,0.408,0.408,Deseable,0.0,0.0
2018-06-20,,9.045,0.315,0.35,0.224,Deseable,0.231,0.45
2018-06-21,,9.033333333333337,0.208,0.202,0.149,Deseable,5.112,5.96
2018-06-22,,11.703333333333331,0.137,0.138,0.122,Deseable,2.761,4.0
2018-07-01,,8.430416666666666,0.33,0.332,0.347,Deseable,0.821,1.61
2018-07-02,,14.773333333333332,0.074,0.066,0.041,Deseable,0.785,1.56
2018-07-03,,12.52,0.143,0.137,0.147,Deseable,2.036,4.06
2018-07-04,,10.274583333333334,0.292,0.264,0.321,Deseable,0.29,0.57
2018-07-06,,9.928695652173912,0.419,0.422,0.381,Deseable,0.0,0.0
2018-07-08,,10.34875,0.218,0.226,0.132,Deseable,4.124,6.42
2018-07-09,,8.531666666666666,0.328,0.322,0.281,Deseable,0.203,0.4
2018-07-10,,11.865,0.157,0.159,0.179,Deseable,4.088,4.69
2018-07-11,,10.865,0.236,0.227,0.221,Deseable,1.279,2.51
2018-07-12,,9.7575,0.198,0.177,0.176,Deseable,2.669,5.32
2018-07-13,,9.8625,0.28,0.284,0.316,Deseable,2.465,4.56
2018-07-14,,8.805833333333334,0.323,0.312,0.384,Deseable,3.254,6.58
2018-07-15,,9.004166666666666,0.125,0.124,0.136,Deseable,4.059,4.01
2018-07-16,,8.685416666666667,0.083,0.082,0.006,Deseable,2.487,2.61
2018-07-17,,11.18875,0.27,0.269,0.269,Deseable,2.172,4.26
2018-07-18,,11.691249999999998,0.179,0.105,0.105,Deseable,0.052,0.1
2018-07-19,,15.262083333333337,0.247,0.264,0.172,Deseable,0.0,0.0
2018-07-23,,12.71125,0.237,0.223,0.223,Deseable,4.141,7.13
2018-07-24,,9.956666666666669,0.269,0.241,0.281,Deseable,0.314,0.62
2018-07-25,,17.402916666666666,0.32,0.292,0.278,Deseable,0.128,0.25
2018-07-26,,16.31416666666667,0.19,0.186,0.182,Deseable,2.565,5.11
2018-07-27,,19.269166666666667,0.427,0.426,0.426,Deseable,0.0,0.0
2018-07-28,,13.485416666666666,0.167,0.141,0.125,Deseable,2.056,4.1
2018-08-01,,15.369166666666668,0.219,0.217,0.208,Deseable,1.968,3.92
2018-08-02,,9.195,0.162,0.156,0.154,Deseable,1.361,2.67
2018-08-05,,18.985,0.241,0.252,0.218,Deseable,3.717,7.29
2018-08-07,,9.73625,0.413,0.403,0.346,Deseable,3.25,6.47
2018-08-08,,7.982083333333333,0.262,0.255,0.189,Deseable,5.341,7.13
2018-08-09,,9.464583333333334,0.211,0.208,0.195,Deseable,2.902,4.76
2018-08-10,,8.145,0.229,0.216,0.187,Deseable,1.25,2.49
2018-08-11,,10.126666666666669,0.171,0.17,0.17,Deseable,4.934,5.38
2018-08-12,,10.129583333333333,0.227,0.218,0.218,Deseable,0.877,1.72
2018-08-13,,12.035833333333334,0.347,0.33,0.293,Deseable,3.701,7.37
2018-08-14,,15.9975,0.335,0.328,0.164,Deseable,0.74,1.45
2018-08-16,,13.53125,0.238,0.232,0.248,Deseable,1.814,3.56
2018-08-17,,10.492083333333332,0.27,0.265,0.287,Deseable,0.024,0.05
2018-08-18,,8.506666666666666,0.16,0.164,0.116,Deseable,5.061,5.23
2018-08-19,,11.482083333333334,0.3,0.318,0.318,Deseable,1.238,2.11
2018-08-20,,11.082083333333337,0.213,0.208,0.204,Deseable,2.662,5.3
2018-08-21,,28.583157894736843,0.256,0.269,0.269,Aceptable,0.415,0.81
2018-08-22,,19.551111111111112,0.384,0.371,0.371,Deseable,0.0,0.0
2018-08-23,,9.497083333333334,0.352,0.36,0.276,Deseable,8.726,9.53
2018-08-24,,8.260416666666666,0.164,0.151,0.119,Deseable,2.028,3.52
2018-08-25,,8.679166666666667,0.129,0.126,0.139,Deseable,3.996,3.92
2018-08-26,,8.205,0.293,0.293,0.27,Deseable,0.415,0.83
2018-08-27,,9.094583333333334,0.283,0.283,0.283,Deseable,0.0,0.0
2018-08-28,,7.654166666666666,0.242,0.232,0.326,Deseable,1.732,3.4
2018-08-29,,8.358333333333333,0.2,0.176,0.176,Deseable,2.965,5.91
2018-08-30,,14.475416666666666,0.172,0.173,0.159,Deseable,2.054,3.85
2018-09-01,,10.446470588235297,0.207,0.21,0.244,Deseable,3.372,6.33
2018-09-02,,11.50625,0.385,0.385,0.385,Deseable,0.0,0.0
2018-09-03,,10.42125,0.261,0.255,0.306,Deseable,1.431,2.78
2018-09-05,,11.77625,0.528,0.507,0.507,Deseable,0.0,0.0
2018-09-06,,14.830833333333333,0.181,0.177,0.125,Deseable,4.271,5.33
2018-09-08,,31.175,0.282,0.274,0.274,Aceptable,0.0,0.0
2018-09-10,,12.191428571428572,0.232,0.163,0.341,Deseable,0.0,0.0
2018-09-13,,24.7025,0.405,0.407,0.407,Deseable,0.676,1.11
2018-09-17,,20.21125,0.093,0.082,0.112,Deseable,1.32,1.84
2018-09-18,,18.063333333333336,0.232,0.232,0.192,Deseable,0.107,0.14
2018-09-19,,13.822083333333332,0.232,0.227,0.197,Deseable,7.115,6.78
2018-09-20,,10.974166666666669,0.123,0.119,0.088,Deseable,3.48,3.36
2018-09-21,,15.422083333333331,0.477,0.522,0.403,Deseable,5.359,5.58
2018-09-22,,13.8425,0.316,0.323,0.247,Deseable,1.309,1.13
2018-09-24,,11.340833333333334,0.392,0.365,0.362,Deseable,0.042,0.04
2018-09-26,,17.1215,0.471,0.46,0.541,Deseable,0.0,0.0
2018-09-27,,17.030833333333334,0.342,0.338,0.338,Deseable,0.0,0.0
2018-09-28,,19.94,0.13,0.118,0.098,Deseable,5.161,4.4
2018-09-29,,19.09,0.21,0.191,0.143,Deseable,6.049,6.49
2018-10-01,,26.41208333333333,0.329,0.32,0.344,Aceptable,6.721,8.47
2018-10-03,,15.6995,0.254,0.222,0.218,Deseable,0.589,1.09
2018-10-04,,29.675,0.508,0.515,0.515,Aceptable,0.0,0.0
2018-10-05,,31.68375,0.298,0.299,0.275,Aceptable,2.819,6.12
2018-10-12,,23.90875,0.318,0.302,0.3,Deseable,0.097,0.24
2018-10-14,,17.603333333333335,0.355,0.368,0.294,Deseable,1.333,3.53
2018-10-15,,23.6275,0.224,0.224,0.172,Deseable,4.42,7.04
2018-10-16,,28.55333333333333,0.389,0.379,0.373,Aceptable,0.873,2.36
2018-10-17,,31.6225,0.329,0.327,0.274,Aceptable,2.067,4.72
2018-10-19,,38.33625,0.183,0.185,0.194,Aceptable,1.628,4.26
2018-10-21,,20.83333333333333,0.493,0.49,0.49,Deseable,1.052,2.85
2018-10-22,,25.10833333333333,0.615,0.618,0.618,Aceptable,0.0,0.0
2018-10-24,,29.65958333333333,0.121,0.106,0.096,Aceptable,1.123,2.34
2018-10-28,,24.791666666666668,0.391,0.367,0.367,Deseable,0.134,0.37
2018-10-30,,20.70952380952381,0.217,0.219,0.22,Deseable,1.691,4.88
2018-11-02,,17.089166666666667,0.308,0.317,0.122,Deseable,1.456,4.24
2018-11-06,,18.68809523809524,0.331,0.329,0.329,Deseable,1.166,3.4
2018-11-07,,21.164583333333333,0.281,0.28,0.26,Deseable,1.852,5.14
