Archivo,Columna,Media,Desviación estándar,Mínimo,Máximo,Percentil 50,Percentil 75,Percentil 99
Carapungo.csv,NO2,18.748564814814817,6.765072768165189,3.74,45.3,18.259999999999998,22.18,37.885999999999996
Carapungo.csv,O3,25.36837962962963,6.913687110016699,11.64,58.7,24.085,29.845,41.60549999999999
Carapungo.csv,PM25,15.978333333333332,4.824050792281485,5.85,29.97,15.399999999999999,18.32,29.2995
Carapungo.csv,PRE,743.8047222222223,0.8966552404101819,741.18,745.9,743.77,744.47,745.7195
Carapungo.csv,RS,255.8390740740741,37.59860625910283,153.86,352.2,257.985,281.7025,328.065
Carapungo.csv,SO2,2.374351851851852,1.2707827824910225,-0.81,11.28,2.17,2.755,6.160999999999996
Carapungo.csv,TMP,15.35324074074074,0.8371733489504649,13.55,18.47,15.23,15.8425,17.525
Carapungo.csv,VEL,1.8289814814814813,0.3067471947971726,1.26,3.77,1.79,1.9525,2.6585
Carapungo.csv,CO,0.5352314814814815,0.1568199741953564,0.09,1.18,0.51,0.6,1.0894999999999997
Carapungo.csv,DIR,220.62444444444444,33.83334930614049,118.45,314.24,220.465,243.515,297.39899999999994
Carapungo.csv,HUM,70.41060185185185,10.958891096032225,38.31,86.18,74.03,77.765,84.3575
Carapungo.csv,LLU,1.3111111111111113,3.54340089779305,0.0,19.8,0.0,0.5,18.404999999999994
Carapungo.csv,AOD,0.3733198148148148,0.11527582797900268,0.04901,0.68802,0.37753000000000003,0.4590925,0.5849214999999999
SanAntonio.csv,O3,24.923525641025638,6.811442123367379,12.65,55.74,23.835,28.165,47.331199999999974
SanAntonio.csv,PM25,11.92951923076923,4.526296949692919,3.09,28.83,11.285,14.6025,24.905999999999995
SanAntonio.csv,PRE,764.1385897435897,0.9620178743838491,761.28,766.35,764.205,764.8149999999999,766.0
SanAntonio.csv,RS,270.2819230769231,37.877501192811344,158.36,341.97,275.235,300.6925,331.35020000000003
SanAntonio.csv,TMP,15.743589743589743,0.8333683626902649,13.73,19.25,15.684999999999999,16.192500000000003,17.9957
SanAntonio.csv,VEL,1.5836858974358974,0.24038461423035695,0.88,2.18,1.6,1.76,2.1066999999999996
SanAntonio.csv,DIR,137.84948717948717,29.54548618785965,59.28,224.8,136.055,156.78,202.58149999999998
SanAntonio.csv,HUM,76.55099358974358,9.203386136251654,40.91,90.66,79.08,82.55,88.51589999999999
SanAntonio.csv,LLU,1.3016025641025641,3.6976959884348632,0.0,28.6,0.0,0.325,17.378999999999984
SanAntonio.csv,AOD,0.3675609615384616,0.12021082813808756,0.06648000000000001,0.599,0.373105,0.45887500000000003,0.5971199999999999
Tumbaco.csv,NO2,11.7643216080402,5.002317484854216,1.82,28.29,11.28,14.825,23.869600000000005
Tumbaco.csv,O3,26.52854271356784,5.661154751295519,15.1,49.69,25.95,30.25,44.96880000000001
Tumbaco.csv,PM25,11.805577889447239,3.4677051973999053,4.82,20.3,11.47,13.969999999999999,19.9124
Tumbaco.csv,PRE,770.672864321608,0.9746645818716093,768.1,772.8,770.65,771.36,772.6424
Tumbaco.csv,RS,246.78497487437184,41.586223800365815,154.7,337.53,242.95,277.72,329.5660000000001
Tumbaco.csv,TMP,17.00663316582915,0.8824050131188629,14.91,20.29,16.94,17.560000000000002,19.075600000000005
Tumbaco.csv,VEL,1.469748743718593,0.31925961884994425,0.62,2.62,1.45,1.6749999999999998,2.3710000000000004
Tumbaco.csv,CO,0.41728643216080413,0.1331994531142433,0.09,0.82,0.42,0.495,0.7310000000000005
Tumbaco.csv,DIR,107.611608040201,26.922369326053378,37.19,182.68,105.07,126.565,171.60200000000003
Tumbaco.csv,HUM,68.37427135678392,9.781757002052638,37.93,84.73,71.14,75.29,82.5748
Tumbaco.csv,LLU,2.284422110552764,6.441226790635267,0.0,36.5,0.0,0.55,33.24400000000003
Tumbaco.csv,AOD,0.3401101005025125,0.13532927699918137,0.02241,0.615,0.34539,0.4375,0.586628
Guamani.csv,NO2,15.47752525252525,7.158435259704414,3.7,35.88,14.73,19.689999999999998,33.889500000000005
Guamani.csv,O3,30.045909090909092,9.817104204202002,13.62,74.82,27.54,36.415000000000006,57.63580000000001
Guamani.csv,PM25,15.668535353535352,6.781788346289696,5.83,73.37,14.76,18.485,35.97160000000001
Guamani.csv,PRE,707.71797979798,0.8508967855688101,705.34,709.66,707.705,708.32,709.4406
Guamani.csv,RS,235.85999999999999,45.551706861209304,116.95,337.53,238.745,267.90500000000003,327.89770000000004
Guamani.csv,SO2,2.0137878787878787,3.3591427319872085,-0.23,46.78,1.57,2.2675,5.207400000000002
Guamani.csv,TMP,12.869545454545454,0.8764165012767606,10.78,15.25,12.879999999999999,13.45,14.893
Guamani.csv,VEL,1.9821212121212124,0.90652207896404,0.72,4.74,1.685,2.5375,4.3915
Guamani.csv,CO,0.47590909090909095,0.15313618841149138,0.08,1.03,0.45,0.5774999999999999,0.84
Guamani.csv,DIR,157.505,22.690273274445943,84.75,214.78,159.57999999999998,174.305,205.9401
