Archivo,Columna,count,mean,std,min,25%,50%,75%,max
Carapungo.csv,NO2,4864.0,18.138432376685152,6.418476078515771,0.7929166666666667,13.660208333333333,17.513958333333335,21.883179347826086,68.20625
Carapungo.csv,O3,4864.0,25.83283285551354,7.752935361946638,1.515,20.606875000000002,24.871521739130433,29.85869565217391,91.04666666666668
Carapungo.csv,PM25,4864.0,18.023978847464043,7.824921645602767,3.57,12.913437499999999,16.824583333333333,21.458229166666662,123.59083333333332
Carapungo.csv,PRE,4864.0,743.2833603545038,1.1830934981527494,738.8449999999999,742.6146875,743.3908333333334,744.0722916666667,747.4663636363636
Carapungo.csv,RS,4864.0,224.75224432319533,70.38222517192911,0.0,188.58124999999995,224.95458333333332,262.8290262681159,3175.871428571428
Carapungo.csv,SO2,4864.0,2.85915713919382,1.8426596051928836,-1.5427272727272727,1.6340340909090907,2.475435606060606,3.6637545289855074,22.794
Carapungo.csv,TMP,4864.0,14.705577608619793,0.9955067964466802,8.84,14.055729166666666,14.735208333333333,15.363125,18.624
Carapungo.csv,VEL,4864.0,1.7978450035121922,0.41889093612143863,0.27,1.5344791666666666,1.756875,2.0009375,4.9675
Carapungo.csv,CO,4864.0,0.5627154273185675,0.17819152972858385,0.0,0.4466666666666667,0.5368873517786561,0.6504211956521739,1.67
Carapungo.csv,DIR,4864.0,228.0766616154028,39.25053996624533,102.73636363636363,197.41062499999998,228.34854166666668,259.87062499999996,341.6054166666667
Carapungo.csv,HUM,4864.0,72.49273006633025,10.385121765463996,27.372727272727275,67.61520833333333,74.75291666666666,79.58489583333332,95.225
Carapungo.csv,LLU,4864.0,1.8613486842105267,5.08716200484605,0.0,0.0,0.0,0.8999999999999999,83.7
Carapungo.csv,AOD,4864.0,24.91981907894737,85.85809889632402,0.0,0.0,0.0,0.0,726.0
SanAntonio.csv,O3,609.0,23.036229471849467,6.395393708072564,5.253333333333333,18.72833333333333,22.13583333333333,26.410833333333333,55.73666666666667
SanAntonio.csv,PM25,609.0,11.727026866907279,4.675875550197051,3.5,8.3375,11.108333333333334,14.4,47.5
SanAntonio.csv,PRE,609.0,764.1389779151701,0.986648366911276,761.2581818181818,763.4720833333332,764.1608333333334,764.7829166666667,766.96375
SanAntonio.csv,RS,609.0,243.76143676626725,67.40711950850468,50.94,201.4208333333333,246.9608695652174,287.9291666666667,688.6166666666667
SanAntonio.csv,TMP,609.0,15.40794220966819,0.9567922967393809,12.335,14.786666666666669,15.38125,15.955,19.247916666666665
SanAntonio.csv,VEL,609.0,1.5200124087279965,0.27326138812198036,0.5537500000000001,1.3441666666666665,1.5229166666666665,1.71375,2.310625
SanAntonio.csv,DIR,609.0,130.29434283504486,31.48290613357234,45.024166666666666,109.46541666666668,130.39041666666665,152.54875,224.8
SanAntonio.csv,HUM,609.0,78.94876961452835,9.127005562302438,40.91125,75.55791666666667,80.85416666666667,84.56166666666667,96.90583333333332
SanAntonio.csv,LLU,609.0,1.4208538587848931,3.5583447964999957,0.0,0.0,0.0,0.7999999999999999,28.6
SanAntonio.csv,AOD,609.0,34.89655172413793,99.88676551770928,0.0,0.0,0.0,0.0,569.0
Tumbaco.csv,NO2,789.0,11.276058592986688,4.706151781338589,1.7039130434782608,7.695652173913044,10.862173913043478,14.38695652173913,30.502173913043475
Tumbaco.csv,O3,789.0,26.000554644927416,5.833144763464677,9.626666666666669,21.865416666666665,25.70875,29.742608695652176,57.14478260869565
Tumbaco.csv,PM25,789.0,11.207154765621214,4.2712005232660495,2.9304166666666664,8.285,10.597916666666666,13.409166666666666,49.352916666666665
Tumbaco.csv,PRE,789.0,770.8061527280029,0.9985051305542634,767.086,770.17625,770.86625,771.4929166666667,773.4220833333334
Tumbaco.csv,RS,789.0,221.1704455439369,66.00813085117333,0.0,176.81458333333333,221.0208333333333,263.53333333333336,781.1333333333333
Tumbaco.csv,TMP,789.0,16.79135235453554,0.9930197147966611,12.988095238095235,16.1325,16.761666666666667,17.45958333333333,20.295
Tumbaco.csv,VEL,789.0,1.4042345446681967,0.3404550274336962,0.6195833333333334,1.1825,1.3808333333333334,1.5929166666666663,3.453333333333333
Tumbaco.csv,CO,789.0,0.41450389203603255,0.12776878316384682,0.1156,0.3238095238095238,0.4048333333333334,0.4956521739130435,0.9696
Tumbaco.csv,DIR,789.0,107.27394417544585,27.42079978446519,37.19,88.61291666666666,106.38833333333334,125.90666666666664,223.25090909090912
Tumbaco.csv,HUM,789.0,70.33792209732974,10.118647564626778,37.93291666666666,65.65458333333333,72.57708333333333,77.165,93.84857142857145
Tumbaco.csv,LLU,789.0,2.293916349809886,5.669117828408982,0.0,0.0,0.0,1.3,53.8
Tumbaco.csv,AOD,789.0,46.650190114068444,118.60462756908522,0.0,0.0,0.0,0.0,595.0
Guamani.csv,NO2,1630.0,18.7452695280917,7.5561762887910415,3.695833333333333,12.61364624505929,18.73891304347826,24.110355731225297,44.47826086956522
Guamani.csv,O3,1630.0,27.377260514897827,10.24269031045111,7.135416666666667,20.09195652173913,25.45958333333333,32.8166893115942,95.81913043478262
Guamani.csv,PM25,1630.0,17.471278952729385,7.1999883503164055,5.074583333333333,12.95217261904762,16.508541666666666,20.529791666666668,107.80916666666668
Guamani.csv,PRE,1630.0,707.6632613602542,0.8571194941699894,704.1204166666666,707.1070833333333,707.676875,708.2532291666668,710.1641666666666
Guamani.csv,RS,1630.0,193.07706657756438,56.318191485529944,34.60666666666667,153.97302083333332,188.39479166666666,229.77541666666667,620.411111111111
