Unnamed: 0,1,2,3,7,8,9,10,11,12,13
100,953457.2196,8331.188235,1860.560784,0.0,178.0,92882.92941,3214.996078,52.01176471,88.0,681642.7961
200,17315.03529,127000000.0,9624885.529,1887.0,15259.0,823607.8588,220660.6706,892.2039216,1135525.898,43800000.0
300,2724.105882,2350192.11,11700000.0,158.0,5.0,1652234.596,226286.4353,373.0,102777.8275,9590778.192
700,15.0,23113.54118,2772.0,1048.0,67.0,130.0,3360.0,7.0,4480.0,90070.15686
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,20709.36078,133776.502,2307071.533,230.0,4267.862745,1609766.435,553266.9216,726.6705882,6071.752941,1275037.733
1000,644.6666667,14490.55686,66611.61961,138.0,57.0,147252.0353,463725.2118,126.8078431,1691.0,167372.5922
1100,6.0,200.0,91.0,2.0,0.0,127.5176471,1357.219608,14.0,33.0,1608.12549
1200,53.0,68227.37647,17223.50588,3.0,0.0,882.4156863,412.3647059,5.0,14282.0,174680.6706
1300,365622.1882,10200000.0,8582725.09,577.5568627,421.0,2479253.984,1250278.749,2739.368627,520879.8471,33400000.0
