Fecha,AOD,PM25
2013-05-27,0.0,21.55090909090909
2013-05-29,0.0,15.864736842105264
2013-05-30,0.0,14.729583333333332
2013-05-31,0.0,19.394166666666667
2013-06-01,0.0,12.4425
2013-06-02,0.0,8.862083333333333
2013-06-03,0.0,11.24375
2013-06-04,0.0,10.621250000000002
2013-06-05,0.0,13.3975
2013-06-06,0.0,19.65958333333333
2013-06-07,0.0,19.550833333333333
2013-06-08,0.0,14.235416666666666
2013-06-09,0.0,21.11916666666667
2013-06-10,0.0,26.11791666666667
2013-06-12,0.0,18.351666666666667
2013-06-13,353.0,17.503333333333334
2013-06-14,258.0,15.36625
2013-06-15,0.0,15.614583333333334
2013-06-16,233.0,16.122083333333332
2013-06-17,0.0,26.75826086956522
2013-06-18,98.0,21.439565217391305
2013-06-19,0.0,17.744583333333335
2013-06-20,0.0,15.892916666666666
2013-06-21,0.0,22.33333333333333
2013-06-22,0.0,13.993333333333332
2013-06-23,0.0,16.749583333333334
2013-06-24,0.0,22.0575
2013-06-25,0.0,19.371666666666663
2013-06-26,0.0,15.209583333333333
2013-06-27,88.0,16.40375
2013-06-28,0.0,12.81
2013-06-29,0.0,12.777916666666668
2013-06-30,0.0,14.6975
2013-07-01,0.0,15.912916666666668
2013-07-03,0.0,16.890416666666667
2013-07-04,252.0,18.16625
2013-07-05,0.0,10.578333333333331
2013-07-07,0.0,9.563333333333333
2013-07-08,0.0,10.680833333333332
2013-07-09,0.0,12.192083333333334
2013-07-10,0.0,22.7325
2013-07-11,0.0,15.844583333333333
2013-07-12,0.0,12.525833333333331
2013-07-13,0.0,12.927272727272726
2013-07-14,0.0,16.577916666666667
2013-07-15,0.0,17.855833333333333
2013-07-16,0.0,15.652173913043478
2013-07-17,0.0,12.902916666666668
2013-07-18,363.0,21.97958333333333
2013-07-19,0.0,21.50583333333333
2013-07-20,57.0,19.34958333333333
2013-07-21,0.0,12.5375
2013-07-22,186.0,20.601666666666667
2013-07-23,0.0,24.949583333333333
2013-07-24,0.0,15.987916666666663
2013-07-25,0.0,16.3175
2013-07-26,0.0,20.39125
2013-07-27,84.0,14.540833333333332
2013-07-28,0.0,13.643333333333333
2013-07-29,0.0,15.367916666666666
2013-07-30,0.0,18.5575
2013-07-31,0.0,12.870416666666666
2013-08-01,0.0,17.5575
2013-08-02,0.0,20.507916666666667
2013-08-03,0.0,13.465416666666668
2013-08-04,0.0,13.440416666666666
2013-08-05,304.0,23.15125
2013-08-06,0.0,23.57333333333333
2013-08-07,0.0,20.065416666666668
2013-08-08,0.0,24.942083333333333
2013-08-09,0.0,17.306250000000002
2013-08-10,0.0,14.23375
2013-08-11,0.0,17.612916666666667
2013-08-12,0.0,14.093333333333334
2013-08-13,0.0,19.22041666666667
2013-08-14,40.0,18.18375
2013-08-15,0.0,13.20875
2013-08-16,0.0,19.24083333333333
2013-08-17,0.0,14.105416666666663
2013-08-18,0.0,13.791666666666666
2013-08-19,0.0,17.572083333333335
2013-08-20,0.0,13.910833333333334
2013-08-21,0.0,18.522916666666667
2013-08-22,0.0,13.99
2013-08-23,110.0,11.659166666666666
2013-08-24,0.0,11.66375
2013-08-25,0.0,16.114166666666666
