Fecha,SanAntonio
2024-11-20 12:00:00+00:00,-28.71
2021-03-23 11:00:00+00:00,26.21
2022-11-08 11:00:00+00:00,25.77
2023-10-11 14:00:00+00:00,25.79
2023-11-16 12:00:00+00:00,25.82
2024-06-01 12:00:00+00:00,26.24
2024-06-01 13:00:00+00:00,26.44
2024-06-01 14:00:00+00:00,26.25
2024-06-01 15:00:00+00:00,25.87
2024-06-03 11:00:00+00:00,25.88
2024-09-14 13:00:00+00:00,25.8
2024-09-14 14:00:00+00:00,25.82
2024-10-17 12:00:00+00:00,25.8
2024-10-25 12:00:00+00:00,26.84
