Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-03-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-18,0.51,0.45,0.48,0.52,0.52,0.52,0.59,0.53,0.59
2018-03-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.56
2018-03-20,0.52,0.49,0.00,0.49,0.51,0.58,0.57,0.57,0.54
2018-03-21,0.40,0.37,0.42,0.00,0.34,0.44,0.48,0.00,0.48
2018-03-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-25,0.27,0.19,0.21,0.30,0.23,0.26,0.27,0.23,0.28
2018-03-26,0.59,0.55,0.53,0.00,0.60,0.54,0.54,0.59,0.56
2018-03-27,0.43,0.00,0.42,0.39,0.50,0.41,0.39,0.41,0.39
2018-03-28,0.49,0.43,0.34,0.00,0.53,0.46,0.46,0.35,0.41
2018-03-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-03-30,0.50,0.56,0.57,0.00,0.00,0.52,0.00,0.00,0.00
2018-03-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-01,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-03,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-04,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-06,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-08,0.27,0.16,0.00,0.00,0.26,0.53,0.56,0.56,0.55
2018-04-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-12,0.13,0.13,0.06,0.18,0.13,0.09,0.12,0.17,0.13
2018-04-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-14,0.56,0.00,0.00,0.42,0.53,0.50,0.48,0.40,0.46
2018-04-15,0.35,0.30,0.34,0.00,0.35,0.34,0.00,0.54,0.54
2018-04-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-17,0.39,0.26,0.35,0.36,0.37,0.31,0.36,0.40,0.39
2018-04-18,0.39,0.35,0.33,0.00,0.00,0.37,0.41,0.37,0.39
2018-04-19,0.37,0.32,0.38,0.00,0.36,0.38,0.37,0.00,0.47
2018-04-20,0.27,0.56,0.22,0.37,0.29,0.29,0.36,0.31,0.36
2018-04-21,0.27,0.23,0.25,0.30,0.28,0.24,0.25,0.25,0.27
2018-04-22,0.21,0.17,0.18,0.41,0.23,0.20,0.22,0.20,0.21
2018-04-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-24,0.40,0.30,0.30,0.37,0.44,0.30,0.39,0.39,0.39
2018-04-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-27,0.43,0.42,0.35,0.00,0.00,0.38,0.39,0.43,0.41
2018-04-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-04-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-01,0.00,0.00,0.48,0.00,0.00,0.48,0.54,0.49,0.54
2018-05-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-03,0.38,0.32,0.38,0.43,0.42,0.44,0.45,0.44,0.43
2018-05-04,0.34,0.29,0.21,0.50,0.35,0.32,0.30,0.29,0.31
2018-05-05,0.40,0.38,0.33,0.44,0.41,0.33,0.34,0.36,0.34
2018-05-06,0.42,0.45,0.31,0.00,0.44,0.49,0.00,0.00,0.00
2018-05-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-10,0.39,0.40,0.41,0.00,0.44,0.38,0.38,0.43,0.40
2018-05-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-12,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-14,0.00,0.40,0.52,0.52,0.00,0.57,0.56,0.51,0.52
2018-05-15,0.30,0.29,0.39,0.41,0.31,0.39,0.48,0.32,0.49
2018-05-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-17,0.38,0.46,0.26,0.31,0.40,0.30,0.33,0.29,0.32
2018-05-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-19,0.00,0.38,0.42,0.40,0.41,0.60,0.54,0.53,0.56
2018-05-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-21,0.00,0.41,0.00,0.38,0.53,0.00,0.00,0.00,0.00
2018-05-22,0.30,0.26,0.21,0.00,0.38,0.28,0.00,0.32,0.00
2018-05-23,0.00,0.00,0.48,0.00,0.00,0.52,0.48,0.49,0.45
2018-05-24,0.00,0.50,0.33,0.00,0.00,0.34,0.00,0.33,0.00
2018-05-25,0.00,0.00,0.00,0.00,0.00,0.55,0.56,0.00,0.56
2018-05-26,0.48,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-05-28,0.30,0.22,0.42,0.00,0.00,0.55,0.00,0.42,0.00
2018-05-29,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.46,0.00
2018-05-30,0.39,0.41,0.37,0.36,0.41,0.33,0.31,0.27,0.29
2018-05-31,0.14,0.11,0.06,0.23,0.19,0.14,0.17,0.07,0.14
2018-06-01,0.28,0.15,0.30,0.19,0.00,0.28,0.26,0.18,0.23
2018-06-02,0.42,0.50,0.30,0.33,0.45,0.33,0.33,0.25,0.30
2018-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-06-04,0.36,0.30,0.00,0.00,0.39,0.38,0.28,0.00,0.30
2018-06-05,0.00,0.00,0.45,0.00,0.51,0.46,0.46,0.45,0.47
