Fecha,Centro_x,Centro_y
2018-01-01,0,14.26142857142857
2018-01-02,0,20.31217391304348
2018-01-03,0,25.73304347826087
2018-01-04,230.973,19.40363636363636
2018-01-05,0,24.22833333333334
2018-01-06,0,22.55958333333333
2018-01-07,167.859,13.29083333333333
2018-01-08,321.022,21.16083333333333
2018-01-09,0,24.24636363636364
2018-01-10,0,21.98833333333333
2018-01-11,247.589,19.92
2018-01-12,433.103,22.72454545454545
2018-01-13,570.467,18.27916666666667
2018-01-14,508,9.348333333333334
2018-01-15,0,15.85791666666667
2018-01-16,0,20.035
2018-01-17,0,16.775
2018-01-18,0,15.91208333333333
2018-01-19,0,12.34458333333333
2018-01-20,0,10.50291666666667
2018-01-21,378.601,8.706249999999999
2018-01-22,339.747,17.53625
2018-01-23,0,13.51375
2018-01-24,192.586,10.045
2018-01-25,392.12,10.04583333333333
2018-01-26,0,13.78545454545454
2018-01-27,516,15.28625
2018-01-28,307.142,13.05166666666667
2018-01-29,224.037,18.81375
2018-01-30,216.03,20.34333333333333
2018-01-31,208.069,21.07913043478261
2018-02-01,283.23,20.529
2018-02-02,0,19.18916666666667
2018-02-03,574.406,19.20125
2018-02-04,0,12.62375
2018-02-05,545,10.75833333333333
2018-02-06,0,12.1325
2018-02-07,440.089,15.67458333333333
2018-02-08,393.999,12.14125
2018-02-09,342.434,15.5025
2018-02-10,617.318,18.57833333333333
2018-02-11,0,19.78416666666667
2018-02-12,465.008,23.72
2018-02-13,499.912,24.86625
2018-02-14,415.139,21.19416666666667
2018-02-15,0,15.965
2018-02-16,0,20.4675
2018-02-17,0,19.13541666666667
2018-02-18,0,15.6675
2018-02-19,0,11.39916666666667
2018-02-20,0,14.40041666666667
2018-02-21,381.081,12.5075
2018-02-22,0,12.22833333333333
2018-02-23,0,9.859583333333333
2018-02-24,0,10.23125
2018-02-25,381,10.14875
2018-02-26,360.83,14.01416666666667
2018-02-27,0,16.45458333333334
2018-02-28,0,12.90083333333333
2018-03-01,333.741,21.59666666666667
2018-03-02,0,19.07625
2018-03-03,0,18.95375
2018-03-04,0,15.565
2018-03-05,0,17.14916666666667
2018-03-06,0,17.54260869565217
2018-03-07,0,18.09625
2018-03-08,0,15.82565217391304
2018-03-09,384.084,18.0125
2018-03-10,329.323,9.147499999999999
2018-03-11,600.042,9.329166666666667
2018-03-12,329.88,13.51833333333333
2018-03-13,555,24.1175
2018-03-14,261.202,19.00291666666667
2018-03-15,0,26.66478260869565
2018-03-16,0,19.22636363636364
2018-03-17,0,24.72625
2018-03-18,588.423,17.29541666666667
2018-03-19,0,17.16083333333333
2018-03-20,565.351,24.6604347826087
2018-03-21,477.526,17.06166666666667
2018-03-22,0,19.497
2018-03-23,0,25.18869565217392
2018-03-24,0,20.06791666666667
2018-03-25,339.294,17.07416666666667
2018-03-26,540.304,24.84083333333333
2018-03-27,387.589,25.66217391304348
2018-03-28,462.835,24.24416666666667
2018-03-29,0,22.23708333333333
2018-03-30,0,7.4
2018-03-31,0,
2018-04-01,0,
2018-04-02,0,18.768125
2018-04-03,0,18.30583333333333
2018-04-04,0,14.45791666666667
2018-04-05,0,17.54166666666667
2018-04-06,0,13.85652173913043
2018-04-07,0,19.69458333333333
2018-04-08,556.491,13.41125
2018-04-09,0,17.22583333333333
2018-04-10,0,14.02041666666667
2018-04-11,0,23.90666666666667
2018-04-12,180.646,20.67875
2018-04-13,0,16.31041666666667
2018-04-14,475.659,16.76666666666667
2018-04-15,0,10.33
2018-04-16,0,19.17666666666667
2018-04-17,357.467,13.3425
2018-04-18,408.137,13.1575
2018-04-19,370.726,10.605
2018-04-20,354.604,11.21958333333333
2018-04-21,301.897,18.61916666666667
2018-04-22,218.803,12.2075
2018-04-23,0,12.99458333333333
2018-04-24,417.018,19.44375
2018-04-25,0,16.33208333333333
2018-04-26,0,24.56347826086957
2018-04-27,392.914,22.80583333333334
2018-04-28,0,15.66125
2018-04-29,0,14.90458333333333
2018-04-30,0,17.55166666666667
2018-05-01,544.397,19.50208333333333
2018-05-02,0,14.54791666666667
2018-05-03,462.478,21.78913043478261
2018-05-04,301.244,23.36833333333334
2018-05-05,336.026,16.60875
2018-05-06,0,15.66958333333333
2018-05-07,0,12.87791666666667
2018-05-08,0,16.4675
2018-05-09,0,19.095
2018-05-10,377.25,23.69590909090909
2018-05-11,0,21.06578947368421
2018-05-12,0,
2018-05-13,0,
2018-05-14,561.553,17.72545454545454
2018-05-15,482.331,17.955
2018-05-16,0,19.76217391304348
2018-05-17,387.667,19.3
2018-05-18,0,17.88625
2018-05-19,538.5,18.32291666666667
2018-05-20,0,20.06458333333333
2018-05-21,0,17.5625
2018-05-22,0,17.41545454545454
2018-05-23,483.052,17.89583333333333
2018-05-24,0,21.98833333333333
2018-05-25,560.854,17.87333333333333
2018-05-26,0,19.07791666666667
2018-05-27,0,19.86166666666667
2018-05-28,0,18.90416666666667
2018-05-29,0,17.85944444444444
2018-05-30,306.704,17.15666666666667
2018-05-31,172.074,14.95375
2018-06-01,261.038,15.57416666666666
2018-06-02,329.372,13.70916666666667
2018-06-03,0,10.41125
2018-06-04,283.025,10.77708333333333
