Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2004-12-31,19.70243321299639,,16.35089734874235,,22.840740237691,,,,
2005-12-31,21.545460534195712,21.345649236192713,21.449545454545458,20.20607629427793,27.77856280336214,,,,
2006-12-31,21.904781347871477,17.523550454439523,21.28432017800679,18.92691385856668,24.96981463878327,,,,
2007-12-31,22.03412498542614,19.409693138719685,21.549809788912086,16.74704537542068,24.212142604178965,,,,
2008-12-31,17.298558858501785,14.542848986250291,19.218936646255298,14.372483159117305,20.74682995429509,,,,
2009-12-31,18.051238265002972,21.03258049014897,18.47494004796163,17.05453302162478,22.513509284129395,,,,
2010-12-31,18.382229551451186,18.72142640894271,19.39638148500714,16.413340186237757,23.504155321415887,,,,
2011-12-31,16.968477205447012,17.533294162728318,18.131576968272622,14.83813752550102,21.641605363075463,,,,
2012-12-31,15.982664496628692,21.9553452685422,18.18859026251879,15.33773242095328,20.580222378277156,,,,
2013-12-31,16.939042628356102,18.21891659804729,18.466142942227513,17.23645743145743,21.484139185257032,30.525625,,,
2014-12-31,16.496625681475468,15.572520296505472,17.803624121779862,17.836166413817246,21.580147403685093,,16.039135649808333,,
2015-12-31,15.64052819743974,20.828296045471035,15.850014937377916,16.973621137060626,,,17.01078493862134,,
2016-12-31,16.99895518922684,20.521717089125104,17.280109565431488,17.869224925816024,23.124264150943397,,16.233371783496008,,
2017-12-31,15.943335294809932,19.304554870243223,17.912746157540827,16.233420551855378,21.205375702247192,18.909521481481484,13.962409217877095,15.474151583710405,14.682267218023672
2018-12-31,16.398528588098017,20.162882516833065,17.141885157096425,16.582366654892265,21.054968175388968,19.446435924742634,14.521631740051802,13.570046189376445,14.860776158312596
2019-12-31,14.980061887570914,17.00608962482631,15.552972776769511,16.29402006532898,19.81914744115236,17.374392567329178,13.284758743331357,13.238559172640732,12.86110010035123
2020-12-31,12.445640374177158,14.274678772554878,12.767803187803187,12.688847750865051,17.140147703669513,15.637344254730042,11.729096496619546,11.351558494130346,11.526227683746813
2021-12-31,13.202129286376275,14.134973236588557,13.331572617946346,12.781824742268041,18.521096222709946,16.146049368408853,12.769175731576528,11.069399075500769,10.876430485957346
2022-12-31,17.57686799575321,14.3347931160747,17.601666271628346,15.955421520009224,20.441618723849373,18.681662557238464,15.295948376547535,14.389632938903647,14.225800461361015
2023-12-31,14.922354103696815,18.58968760887237,15.094621168305379,12.231363582793163,,17.58116085626911,13.929122786579683,12.677306299782767,9.988325482807348
2024-12-31,17.13023812605151,16.47281183932347,15.886327306079664,15.026652719665272,,16.438680351906157,14.619214956055414,15.858139959802669,10.854464033850492
