Fecha,Estacion,Nivel,Valor
2021-10-15 14:00:00,Belisario,Precaucion,53.19
2021-11-23 16:00:00,Belisario,Alerta,201.2
2022-01-01 06:00:00,Belisario,Precaucion,66.62
2022-01-23 19:00:00,Belisario,Precaucion,54.39
2022-01-23 20:00:00,Belisario,Precaucion,73.61
2022-02-03 13:00:00,Belisario,Precaucion,62.71
2022-02-03 14:00:00,Belisario,Precaucion,57.08
2022-02-17 19:00:00,Belisario,Precaucion,54.35
2022-02-23 15:00:00,Belisario,Precaucion,52.09
2022-02-23 16:00:00,Belisario,Precaucion,58.97
2022-03-28 15:00:00,Belisario,Precaucion,56.08
2022-04-06 15:00:00,Belisario,Precaucion,55.71
2022-04-08 01:00:00,Belisario,Precaucion,52.39
2022-04-08 02:00:00,Belisario,Precaucion,85.5
2022-04-08 16:00:00,Belisario,Precaucion,51.98
2022-04-11 01:00:00,Belisario,Precaucion,54.02
2022-05-02 18:00:00,Belisario,Precaucion,52.4
2022-05-03 21:00:00,Belisario,Precaucion,75.6
2022-05-10 16:00:00,Belisario,Precaucion,53.27
2022-05-10 17:00:00,Belisario,Precaucion,57.76
2022-05-12 23:00:00,Belisario,Precaucion,59.4
2022-05-13 00:00:00,Belisario,Precaucion,73.51
2022-05-15 16:00:00,Belisario,Emergencia,705.36
2022-05-31 14:00:00,Belisario,Precaucion,62.69
2022-06-07 13:00:00,Belisario,Precaucion,60.11
2022-06-10 02:00:00,Belisario,Precaucion,58.17
2022-06-14 14:00:00,Belisario,Precaucion,63.34
2022-07-11 14:00:00,Belisario,Precaucion,53.63
2022-07-16 14:00:00,Belisario,Precaucion,56.73
2022-07-16 15:00:00,Belisario,Precaucion,64.25
2022-07-25 14:00:00,Belisario,Precaucion,52.14
2022-08-01 16:00:00,Belisario,Precaucion,53.01
2022-08-01 17:00:00,Belisario,Precaucion,60.61
2022-08-01 18:00:00,Belisario,Precaucion,62.43
2022-08-01 19:00:00,Belisario,Precaucion,54.46
2022-08-02 17:00:00,Belisario,Precaucion,57.27
2022-08-03 19:00:00,Belisario,Precaucion,52.41
2022-08-07 16:00:00,Belisario,Precaucion,54.46
2022-08-07 18:00:00,Belisario,Precaucion,51.38
2022-08-07 19:00:00,Belisario,Precaucion,52.28
