Fecha,ElCamal_x,ElCamal_y
2018-06-15,362.262,18.34818181818182
2018-06-16,409.867,18.81125
2018-06-17,0,8.25375
2018-06-18,337.652,14.38
2018-06-19,305.741,14.00375
2018-06-20,372.255,13.43083333333333
2018-06-21,327.531,12.19625
2018-06-22,217.015,19.93
2018-06-23,493,21.13583333333333
2018-06-24,0,19.15666666666667
2018-06-25,0,21.17958333333333
2018-06-26,0,21.24708333333333
2018-06-27,0,19.24791666666667
2018-06-28,0,25.20416666666667
2018-06-29,0,21.32125
2018-06-30,0,22.56
2018-07-01,331.634,13.23291666666667
2018-07-02,61.381,25.20521739130435
2018-07-03,171.822,18.71541666666667
2018-07-04,271.415,16.54708333333333
2018-07-05,0,13.33083333333333
2018-07-06,538.255,16.34291666666667
2018-07-07,0,15.355
2018-07-08,309.505,14.45041666666667
2018-07-09,336.32,10.96833333333333
2018-07-10,174.243,15.79652173913044
2018-07-11,170.087,13.2175
2018-07-12,174.98,14.40875
2018-07-13,286.689,14.57625
2018-07-14,306.405,23.555
2018-07-15,236.025,12.39791666666667
2018-07-16,175.328,11.1125
2018-07-17,277.704,21.80304347826087
2018-07-18,276.442,23.67
2018-07-19,246.837,23.96291666666667
2018-07-20,0,30.75291666666667
2018-07-21,0,25.57521739130435
2018-07-22,0,17.13125
2018-07-23,281.669,18.71541666666667
2018-07-24,311.949,15.2925
2018-07-25,313.174,14.59458333333333
2018-07-26,189.272,19.77958333333333
2018-07-27,440.982,24.83541666666667
2018-07-28,147.668,17.97
2018-07-29,0,18.75208333333333
2018-07-30,0,14.60916666666667
2018-07-31,0,21.53583333333333
2018-08-01,211.303,16.69958333333333
2018-08-02,176.833,16.84083333333333
2018-08-03,0,21.56125
2018-08-04,0,16.63958333333333
2018-08-05,244.045,19.00875
2018-08-06,0,12.82958333333333
2018-08-07,382.999,10.33958333333333
2018-08-08,369.402,9.031666666666666
2018-08-09,236.916,9.734583333333333
2018-08-10,252.091,9.367916666666668
2018-08-11,285.499,9.565833333333332
2018-08-12,231.536,7.791739130434783
2018-08-13,363.028,11.25666666666667
2018-08-14,353.955,16.20916666666666
2018-08-15,0,18.27625
2018-08-16,227.107,13.67208333333333
2018-08-17,376.286,10.935
2018-08-18,309.976,11.02708333333333
2018-08-19,320.241,9.764583333333333
2018-08-20,215.995,10.27
2018-08-21,271.439,21.166
2018-08-22,404.726,25.5425
2018-08-23,590.66,11.66666666666667
2018-08-24,252.642,10.8
2018-08-25,205.281,10.51833333333333
2018-08-26,291.991,8.098333333333334
2018-08-27,386.837,11.55875
2018-08-28,220.829,8.101666666666667
2018-08-29,175.933,12.25166666666667
2018-08-30,163.901,14.73416666666667
2018-08-31,0,20.18166666666667
2018-09-01,274.962,19.92791666666666
2018-09-02,385,14.69708333333333
2018-09-03,303.136,12.2275
2018-09-04,0,8.452916666666667
2018-09-05,515.885,14.49833333333333
2018-09-06,309.811,18.90583333333333
2018-09-07,0,28.85647058823529
2018-09-08,0,
2018-09-09,0,
2018-09-10,341,29.23529411764706
2018-09-11,0,25.93833333333333
2018-09-12,0,29.11791666666667
2018-09-13,389.973,26.41375
2018-09-14,0,23.84083333333333
2018-09-15,0,19.41458333333333
2018-09-16,0,15.45125
2018-09-17,97.274,25.67791666666666
2018-09-18,187.819,23.1775
2018-09-19,235.557,15.58
2018-09-20,124.164,12.025
2018-09-21,488.527,16.33583333333333
2018-09-22,391.318,14.53
2018-09-23,0,12.99041666666667
2018-09-24,361.75,11.31125
2018-09-25,0,12.67761904761905
2018-09-26,555.473,18.1475
2018-09-27,337.432,21.38291666666667
2018-09-28,190.698,18.41875
2018-09-29,282.572,18.89583333333333
2018-09-30,0,32.09333333333333
2018-10-01,512.965,32.08315789473684
2018-10-02,0,38.23277777777778
2018-10-03,236.591,35.63208333333333
2018-10-04,467.006,36.91416666666667
2018-10-05,328.001,34.80090909090909
2018-10-06,0,34.02958333333333
2018-10-07,0,29.39458333333333
2018-10-08,0,15.37583333333333
2018-10-09,0,24.53416666666666
2018-10-10,0,22.8775
2018-10-11,0,26.48958333333333
2018-10-12,318.699,23.06916666666666
2018-10-13,588,26.24708333333334
2018-10-14,364.043,20.54458333333333
2018-10-15,284.288,27.60916666666667
2018-10-16,452.986,29.5775
2018-10-17,345.97,35.72083333333333
2018-10-18,0,33.49916666666667
2018-10-19,202.113,39.03125
2018-10-20,0,27.09083333333334
2018-10-21,511.383,25.38416666666667
2018-10-22,579.123,25.68545454545455
2018-10-23,0,27.64125
2018-10-24,185.578,26.62157894736842
2018-10-25,0,30.245
2018-10-26,0,31.96625
2018-10-27,0,24.97458333333333
2018-10-28,349.673,25.25791666666667
2018-10-29,539.051,24.35347826086957
2018-10-30,215.485,25.24041666666666
2018-10-31,682,30.67045454545455
2018-11-01,0,24.25583333333333
2018-11-02,317.079,20.42666666666667
2018-11-03,0,18.5
2018-11-04,0,14.88416666666667
2018-11-05,0,20.10708333333333
2018-11-06,315.436,27.49952380952381
2018-11-07,310.79,28.77304347826087
2018-11-08,0,17.06041666666667
2018-11-09,0,21.30833333333333
2018-11-10,0,20.52875
2018-11-11,545.275,23.545
2018-11-12,0,23.12041666666667
2018-11-13,0,20.69958333333333
2018-11-14,0,25.24
2018-11-15,0,20.31291666666667
2018-11-16,0,25.09875
2018-11-17,0,31.92333333333333
2018-11-18,457.206,23.07625
2018-11-19,0,26.32545454545454
2018-11-20,0,26.00375
2018-11-21,569.033,27.26956521739131
2018-11-22,443.412,25.73227272727273
2018-11-23,480.03,21.48333333333333
2018-11-24,0,25.54583333333333
2018-11-25,573.069,20.01958333333333
2018-11-26,0,17.01791666666667
2018-11-27,0,25.14291666666666
2018-11-28,367.552,22.16409090909091
2018-11-29,0,26.88
2018-11-30,0,10.68111111111111
2018-12-01,298.646,24.81285714285714
2018-12-02,349.722,17.045
2018-12-03,0,27.2375
2018-12-04,480.551,30.46
2018-12-05,0,23.93333333333333
