datetime,Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2018-01-01 00:00:00+00:00,,30.71166666666667,26.62375,36.04666666666667,26.263749999999998,44.51499999999999,107.90875,18.252916666666668,14.270833333333334,13.229999999999999
2018-01-02 00:00:00+00:00,,20.150000000000002,32.23833333333334,21.79875,25.383333333333336,29.613333333333333,27.328333333333333,18.17875,19.358333333333334,19.178749999999997
2018-01-03 00:00:00+00:00,,24.547083333333333,27.270833333333332,26.167083333333334,27.054166666666664,37.76708333333333,36.47708333333333,17.831666666666667,14.066666666666668,16.1375
2018-01-04 00:00:00+00:00,,22.079166666666666,25.895416666666666,25.47791666666667,21.21125,28.741666666666664,19.572916666666668,16.02875,15.995652173913046,15.094583333333333
2018-01-05 00:00:00+00:00,,24.110416666666666,23.366666666666664,23.934166666666666,24.161666666666665,25.724999999999998,31.299583333333334,16.988333333333333,17.57391304347826,16.309166666666666
2018-01-06 00:00:00+00:00,,20.544999999999998,21.885833333333334,21.222916666666666,18.0775,23.88875,22.520416666666666,14.036666666666667,10.420833333333333,11.951666666666668
2018-01-07 00:00:00+00:00,,13.536666666666667,17.490416666666665,16.77,14.279166666666667,20.062916666666666,27.33375,14.914166666666667,12.720833333333333,15.912083333333333
2018-01-08 00:00:00+00:00,,20.624583333333334,23.4475,18.273333333333333,17.6725,23.755,17.597916666666666,15.989583333333334,16.416666666666668,15.613333333333335
2018-01-09 00:00:00+00:00,,28.156666666666666,30.38291666666667,30.50791666666667,26.04375,35.39791666666667,27.355833333333333,23.005,22.675,19.9325
2018-01-10 00:00:00+00:00,,22.564166666666665,23.270416666666666,21.55666666666667,22.77,26.07875,22.735833333333332,17.104285714285716,13.616666666666667,17.813636363636363
2018-01-11 00:00:00+00:00,,21.66333333333333,29.333,24.13208333333333,22.366666666666664,30.064545454545453,29.69454545454545,16.492916666666666,16.941666666666666,18.16625
2018-01-12 00:00:00+00:00,,24.63952380952381,25.77625,22.202272727272728,22.817500000000003,25.247083333333332,23.84583333333333,20.221666666666668,18.266666666666666,21.54125
2018-01-13 00:00:00+00:00,,20.754583333333333,18.58125,20.231666666666666,17.447083333333335,23.017916666666665,24.455,15.465833333333334,10.241666666666667,14.136249999999999
2018-01-14 00:00:00+00:00,,8.802916666666667,8.700000000000001,9.75125,8.27875,12.9,13.615416666666667,11.455,3.0416666666666665,14.055833333333334
2018-01-15 00:00:00+00:00,,12.562083333333334,10.385416666666666,11.99,11.39125,16.120833333333334,14.024583333333332,8.024583333333334,6.170833333333333,9.224166666666667
2018-01-16 00:00:00+00:00,,21.508333333333336,16.478333333333335,21.59583333333333,17.6775,26.845,28.060833333333335,15.645833333333334,7.520833333333333,12.07
2018-01-17 00:00:00+00:00,,17.574583333333333,9.537083333333333,18.76125,11.35875,20.687083333333334,20.944166666666668,8.9575,4.720833333333333,8.740833333333333
2018-01-18 00:00:00+00:00,,16.825416666666666,12.652916666666668,14.987499999999999,13.3775,18.964166666666667,21.818749999999998,7.960416666666667,6.6000000000000005,9.610416666666667
2018-01-19 00:00:00+00:00,,15.920416666666666,12.665833333333333,13.142916666666666,14.614583333333334,18.3525,17.575416666666666,7.265416666666667,8.429166666666667,6.352916666666666
2018-01-20 00:00:00+00:00,,10.316666666666666,8.738333333333333,11.084166666666667,10.96375,12.445833333333333,12.750416666666666,8.29125,8.833333333333334,9.798333333333334
2018-01-21 00:00:00+00:00,,7.589166666666666,9.283333333333333,9.0,8.708333333333334,14.448749999999999,16.6775,7.5441666666666665,5.05,12.594545454545454
2018-01-22 00:00:00+00:00,,13.225416666666666,11.683333333333332,14.112916666666669,10.786666666666667,14.989583333333334,12.955833333333333,9.64875,5.579166666666667,13.487
2018-01-23 00:00:00+00:00,,12.74125,20.314583333333335,16.374166666666667,14.746666666666668,17.903333333333332,13.546666666666667,14.360416666666666,12.525,13.37
2018-01-24 00:00:00+00:00,,10.805833333333334,23.769166666666667,10.723333333333334,16.71125,17.017500000000002,12.019583333333332,15.542916666666665,16.60833333333333,14.232916666666666
2018-01-25 00:00:00+00:00,,8.595416666666667,16.087500000000002,9.016666666666667,12.282916666666667,14.186666666666667,9.606250000000001,10.715833333333334,11.241666666666667,12.8275
2018-01-26 00:00:00+00:00,,17.037499999999998,23.338333333333335,17.819166666666668,21.38791666666667,19.137083333333333,14.416666666666666,16.6725,17.849999999999998,16.375
2018-01-27 00:00:00+00:00,,12.84375,15.2475,14.092083333333333,12.7275,14.85,26.785833333333333,12.951666666666666,8.970833333333333,9.765
2018-01-28 00:00:00+00:00,,14.279166666666667,15.630416666666667,14.67125,13.695416666666667,17.49875,18.8625,13.332083333333335,11.608333333333334,11.77125
2018-01-29 00:00:00+00:00,,13.742380952380952,19.255416666666665,16.7225,18.386363636363637,18.9225,13.15875,13.212916666666667,12.991666666666667,14.533333333333333
2018-01-30 00:00:00+00:00,,16.717916666666667,20.769473684210528,19.8275,22.142083333333332,20.495714285714286,14.415833333333333,15.32125,19.95,16.6675
2018-01-31 00:00:00+00:00,,20.80125,22.827083333333334,22.605416666666667,22.484583333333333,25.08791666666667,25.49,17.2495,17.291666666666668,14.346666666666666
2018-02-01 00:00:00+00:00,,20.96291666666667,21.642083333333332,26.166363636363634,22.06375,19.966666666666665,16.767500000000002,17.802083333333332,17.979166666666668,12.466
2018-02-02 00:00:00+00:00,,19.646666666666665,18.102916666666665,19.118750000000002,18.916363636363634,21.482916666666668,19.082916666666666,15.106250000000001,14.004166666666668,14.305416666666666
