Fecha,Cotocollao_x,Cotocollao_y
2018-01-01,0.0,13.51
2018-01-02,0.0,20.92363636363636
2018-01-03,0.0,20.39571428571428
2018-01-04,256.693,21.20916666666666
2018-01-05,360.572,18.14714285714286
2018-01-06,0.0,20.59791666666667
2018-01-07,211.765,11.06583333333333
2018-01-08,478.543,19.8
2018-01-09,0.0,19.87761904761905
2018-01-10,0.0,19.42380952380952
2018-01-11,275.735,18.61454545454545
2018-01-12,541.523,24.62
2018-01-13,0.0,16.11625
2018-01-14,478.72,7.089583333333334
2018-01-15,0.0,11.89875
2018-01-16,0.0,18.17666666666667
2018-01-17,0.0,10.26416666666667
2018-01-18,594.0,14.45875
2018-01-19,0.0,14.24375
2018-01-20,0.0,11.08375
2018-01-21,0.0,7.116666666666667
2018-01-22,384.333,11.43291666666667
2018-01-23,0.0,14.40086956521739
2018-01-24,202.721,11.59136363636364
2018-01-25,386.212,14.58
2018-01-26,0.0,16.05090909090909
2018-01-27,534.948,13.16625
2018-01-28,326.155,12.8375
2018-01-29,205.536,17.40190476190476
2018-01-30,304.577,21.54041666666667
2018-01-31,286.208,19.76045454545455
2018-02-01,399.884,21.01375
2018-02-02,0.0,22.09176470588235
2018-02-03,545.594,
2018-02-04,0.0,
2018-02-05,405.742,3.914615384615385
2018-02-06,0.0,11.28
2018-02-07,345.851,10.17166666666667
2018-02-08,366.78,10.97
2018-02-09,406.849,13.75166666666667
2018-02-10,650.277,12.91083333333333
2018-02-11,0.0,17.53166666666667
2018-02-12,527.8,23.35
2018-02-13,531.085,20.12416666666667
2018-02-14,546.865,15.17666666666667
2018-02-15,0.0,12.75208333333333
2018-02-16,0.0,15.19208333333333
2018-02-17,0.0,15.72541666666667
2018-02-18,0.0,12.32833333333333
2018-02-19,0.0,9.475
2018-02-20,0.0,10.46458333333333
2018-02-21,376.214,12.175
2018-02-22,0.0,9.930416666666668
2018-02-23,555.958,8.940833333333334
2018-02-24,0.0,7.864166666666667
2018-02-25,0.0,9.320416666666667
2018-02-26,0.0,12.73916666666667
2018-02-27,0.0,12.06916666666667
2018-02-28,0.0,12.09375
2018-03-01,417.549,17.22333333333333
2018-03-02,0.0,17.54
2018-03-03,0.0,12.4725
2018-03-04,0.0,12.43666666666667
2018-03-05,0.0,14.40666666666667
2018-03-06,0.0,20.315
2018-03-07,0.0,17.26416666666667
2018-03-08,0.0,13.65583333333333
2018-03-09,0.0,14.04833333333333
2018-03-10,276.858,12.36791666666667
2018-03-11,483.432,9.446666666666667
2018-03-12,323.538,14.54916666666667
2018-03-13,0.0,20.94666666666667
2018-03-14,299.472,23.90869565217391
2018-03-15,0.0,26.135
2018-03-16,0.0,19.76291666666667
2018-03-17,0.0,18.99833333333333
2018-03-18,520.642,14.24916666666667
