Fecha,SanAntonio_x,SanAntonio_y
2018-01-01,0.0,13.14285714285714
2018-01-02,0.0,17.8304347826087
2018-01-03,427.482,16.29090909090909
2018-01-04,244.332,16.10434782608696
2018-01-05,335.548,19.085
2018-01-06,0.0,11.94347826086956
2018-01-07,93.907,13.00434782608696
2018-01-08,376.0,17.89090909090909
2018-01-09,339.13,19.75454545454545
2018-01-10,0.0,15.19166666666667
2018-01-11,223.632,15.76818181818182
2018-01-12,533.525,18.06666666666667
2018-01-13,0.0,9.820833333333333
2018-01-14,360.208,7.5
2018-01-15,0.0,8.1
2018-01-16,0.0,8.561904761904762
2018-01-17,0.0,6.640000000000001
2018-01-18,0.0,8.309999999999999
2018-01-19,455.403,11.19545454545455
2018-01-20,407.122,10.88571428571429
2018-01-21,483.337,6.231578947368422
2018-01-22,415.567,9.723809523809523
2018-01-23,272.0,12.75217391304348
2018-01-24,112.036,16.24782608695652
2018-01-25,422.28,12.30833333333333
2018-01-26,589.0,15.46363636363636
2018-01-27,398.133,9.5
2018-01-28,0.0,11.58333333333333
2018-01-29,269.515,14.52083333333333
2018-01-30,316.964,16.8695652173913
2018-01-31,260.737,15.31304347826087
2018-02-01,441.866,19.34090909090909
2018-02-02,0.0,14.12916666666667
2018-02-03,531.016,13.47
2018-02-04,535.321,9.376190476190477
2018-02-05,399.548,8.65
2018-02-06,0.0,7.777777777777778
2018-02-07,432.985,9.129999999999999
2018-02-08,388.806,11.25789473684211
2018-02-09,429.934,9.395652173913044
2018-02-10,520.623,12.03157894736842
2018-02-11,0.0,10.41739130434783
2018-02-12,570.896,16.69583333333333
2018-02-13,499.492,15.10416666666667
2018-02-14,483.077,13.14782608695652
2018-02-15,0.0,10.08181818181818
2018-02-16,0.0,11.1578947368421
2018-02-17,0.0,11.06818181818182
2018-02-18,0.0,11.085
2018-02-19,353.044,6.800000000000001
2018-02-20,0.0,14.02666666666667
2018-02-21,312.426,9.942105263157895
2018-02-22,0.0,8.217391304347826
2018-02-23,538.831,7.068181818181818
2018-02-24,421.096,6.475
2018-02-25,290.817,6.660869565217391
2018-02-26,485.488,8.145454545454545
2018-02-27,0.0,10.23043478260869
2018-02-28,392.928,8.204347826086956
2018-03-01,274.563,11.11304347826087
2018-03-02,0.0,11.11428571428571
2018-03-03,0.0,10.79047619047619
2018-03-04,0.0,10.92173913043478
2018-03-05,0.0,12.38260869565218
2018-03-06,0.0,14.05909090909091
2018-03-07,0.0,13.14166666666667
2018-03-08,0.0,10.93478260869565
2018-03-09,0.0,12.11363636363636
2018-03-10,274.244,17.49
2018-03-11,570.734,11.77727272727273
2018-03-12,322.397,14.75652173913044
2018-03-13,0.0,16.94
2018-03-14,371.861,21.55652173913044
2018-03-15,0.0,21.57083333333334
