Fecha,LosChillos_x,LosChillos_y
2018-01-01,0,11.97142857142857
2018-01-02,0,17.04916666666667
2018-01-03,555.241,18.19833333333333
2018-01-04,251.178,14.21041666666667
2018-01-05,338.558,15.94958333333333
2018-01-06,0,17.64666666666666
2018-01-07,92.393,12.05708333333333
2018-01-08,0,18.24791666666667
2018-01-09,0,20.19833333333333
2018-01-10,0,18.25476190476191
2018-01-11,234.374,16.47333333333333
2018-01-12,381.187,19.11304347826087
2018-01-13,0,15.87791666666667
2018-01-14,464.275,9.304583333333333
2018-01-15,0,9.544166666666667
2018-01-16,0,15.10416666666667
2018-01-17,0,8.42625
2018-01-18,0,7.787916666666667
2018-01-19,0,7.925416666666667
2018-01-20,0,8.352083333333333
2018-01-21,372.684,7.097916666666666
2018-01-22,337.888,11.07708333333333
2018-01-23,424,16.52958333333333
2018-01-24,199.77,12.5575
2018-01-25,385.665,11.45416666666667
2018-01-26,0,15.58458333333333
2018-01-27,393.409,13.92916666666667
2018-01-28,288.214,12.96291666666667
2018-01-29,136.437,13.31166666666667
2018-01-30,154.6,14.98875
2018-01-31,226.449,17.3255
2018-02-01,491.86,17.32166666666667
2018-02-02,0,16.78
2018-02-03,471.713,15.71166666666667
2018-02-04,0,8.44375
2018-02-05,487.913,7.635416666666667
2018-02-06,0,7.985416666666667
2018-02-07,567.264,7.265416666666667
2018-02-08,307.961,7.569583333333334
2018-02-09,272.493,10.94
2018-02-10,452.012,13.15833333333333
2018-02-11,0,13.48
2018-02-12,423.071,20.35
2018-02-13,424.967,18.31791666666667
2018-02-14,429.782,15.25416666666667
2018-02-15,0,10.33541666666667
2018-02-16,0,13.33958333333333
2018-02-17,0,11.83565217391305
2018-02-18,0,12.19875
2018-02-19,530.012,10.21916666666667
2018-02-20,0,10.00583333333333
2018-02-21,293.037,7.136666666666667
2018-02-22,0,6.875416666666666
2018-02-23,0,6.060833333333334
2018-02-24,0,5.569166666666667
2018-02-25,290.36,7.919583333333333
2018-02-26,479.861,11.77625
2018-02-27,0,12.10125
2018-02-28,0,9.909583333333334
2018-03-01,278.78,13.85125
2018-03-02,0,14.35916666666667
2018-03-03,0,12.51875
2018-03-04,0,14.81083333333333
2018-03-05,0,10.95416666666667
2018-03-06,0,11.95958333333333
2018-03-07,387.945,17.26208333333333
2018-03-08,0,15.28208333333333
2018-03-09,340.574,15.33041666666667
2018-03-10,358.127,13.68208333333333
2018-03-11,631.318,10.01916666666667
2018-03-12,413.129,12.64
2018-03-13,573.356,20.3225
2018-03-14,314.513,19.84636363636364
2018-03-15,0,25.2975
2018-03-16,0,18.15041666666667
2018-03-17,0,19.96333333333333
2018-03-18,533.815,16.45875
2018-03-19,567.234,13.26523809523809
2018-03-20,568.395,21.055
2018-03-21,0,15.14833333333333
2018-03-22,0,17.44416666666667
2018-03-23,0,21.36125
2018-03-24,0,15.73833333333334
2018-03-25,407.36,14.24708333333333
2018-03-26,589.271,21.89208333333333
2018-03-27,441.661,22.84904761904762
2018-03-28,348.906,19.83708333333333
2018-03-29,0,18.17458333333333
2018-03-30,0,12.66869565217391
2018-03-31,0,9.844166666666666
2018-04-01,0,7.611250000000001
2018-04-02,0,8.098333333333333
2018-04-03,0,13.19791666666667
2018-04-04,0,9.889583333333333
2018-04-05,0,12.40333333333333
2018-04-06,0,11.28541666666667
2018-04-07,0,16.79583333333333
2018-04-08,563.11,10.99833333333333
2018-04-09,0,12.21083333333333
2018-04-10,0,11.15333333333333
2018-04-11,0,20.40666666666667
2018-04-12,296.889,15.30291666666667
2018-04-13,0,14.05666666666667
2018-04-14,399.494,16.44666666666667
2018-04-15,537.654,11.37958333333333
2018-04-16,0,15.24833333333333
2018-04-17,399.089,11.75625
2018-04-18,388.36,13.55083333333333
2018-04-19,0,12.32041666666667
2018-04-20,308.999,10.82125
2018-04-21,317.178,13.81083333333333
2018-04-22,228.279,10.55916666666667
2018-04-23,0,11.02333333333333
2018-04-24,385.525,17.56217391304348
2018-04-25,0,13.51541666666667
2018-04-26,0,17.75125
2018-04-27,429.6,15.92608695652174
2018-04-28,0,12.29166666666667
2018-04-29,0,13.1825
2018-04-30,0,11.97916666666667
2018-05-01,489.08,13.9
2018-05-02,0,12.66958333333333
2018-05-03,439.139,15.76583333333333
2018-05-04,294.326,14.09708333333334
2018-05-05,355.82,15.20958333333333
2018-05-06,0,12.55791666666667
2018-05-07,0,6.949166666666667
2018-05-08,0,12.44666666666667
2018-05-09,0,10.20666666666667
2018-05-10,429.365,13.69458333333333
2018-05-11,0,14.68333333333333
2018-05-12,0,13.35583333333333
2018-05-13,0,11.4025
2018-05-14,508.514,14.35291666666667
2018-05-15,319.993,12.99291666666667
2018-05-16,0,16.02541666666667
2018-05-17,292.653,15.45909090909091
2018-05-18,0,13.97916666666667
2018-05-19,525.586,12.18416666666667
2018-05-20,0,14.59083333333333
2018-05-21,0,9.913333333333332
2018-05-22,322.717,15.1375
2018-05-23,488.511,11.49666666666667
2018-05-24,334.288,10.16458333333333
2018-05-25,0,13.15541666666667
2018-05-26,0,16.985
2018-05-27,0,11.7975
2018-05-28,419.857,12.43416666666667
2018-05-29,454.53,15.45625
2018-05-30,271.466,18.38166666666666
2018-05-31,65.586,15.76958333333334
2018-06-01,178.302,17.23666666666667
2018-06-02,247.653,12.18125
2018-06-03,0,9.794583333333334
2018-06-04,0,10.81958333333333
2018-06-05,451.99,13.77083333333333
2018-06-06,164.44,13.39739130434783
2018-06-07,123.361,15.02291666666667
2018-06-08,99.139,13.865
2018-06-09,228.435,15.23041666666666
2018-06-10,0,11.79958333333333
2018-06-11,300.047,15.0175
2018-06-12,0,18.41791666666667
2018-06-13,53.115,16.10047619047619
2018-06-14,308.15,16.95208333333333
2018-06-15,0,13.05166666666667
2018-06-16,422.493,15.45833333333333
2018-06-17,0,8.915000000000001
2018-06-18,301.402,9.9525
2018-06-19,358.172,12.60958333333333
2018-06-20,395.2,11.13875
2018-06-21,291.715,11.365
2018-06-22,231.433,12.42583333333333
2018-06-23,380.924,14.5675
2018-06-24,0,15.08333333333333
2018-06-25,0,16.64916666666667
2018-06-26,0,15.4925
2018-06-27,0,13.48583333333333
2018-06-28,0,11.83833333333333
2018-06-29,0,14.50958333333333
2018-06-30,0,11.46541666666667
2018-07-01,429,6.90125
2018-07-02,65.54,11.97666666666667
2018-07-03,221.816,13.52391304347826
2018-07-04,312.694,14.64791666666667
2018-07-05,0,13.14125
2018-07-06,520.995,11.74
2018-07-07,0,15.13083333333333
2018-07-08,198.959,9.28
