Fecha,Tumbaco_x,Tumbaco_y
2018-01-01,0.0,14.42363636363636
2018-01-02,0.0,15.85041666666667
2018-01-03,426.538,16.93652173913043
2018-01-04,314.595,13.51
2018-01-05,352.495,15.21333333333333
2018-01-06,0.0,14.24125
2018-01-07,92.933,15.01208333333333
2018-01-08,0.0,15.96041666666667
2018-01-09,541.0,18.81791666666667
2018-01-10,0.0,17.47727272727273
2018-01-11,221.926,15.41285714285714
2018-01-12,424.127,18.46909090909091
2018-01-13,558.986,14.94958333333333
2018-01-14,365.552,11.57916666666667
2018-01-15,0.0,10.86041666666667
2018-01-16,0.0,10.615
2018-01-17,0.0,8.871666666666668
2018-01-18,0.0,8.716666666666667
2018-01-19,0.0,7.279583333333334
2018-01-20,469.034,10.11833333333333
2018-01-21,342.058,13.875
2018-01-22,422.333,13.54866666666667
2018-01-23,415.233,14.67375
2018-01-24,203.564,12.45541666666667
2018-01-25,271.234,14.23375
2018-01-26,0.0,14.12875
2018-01-27,334.296,10.71416666666667
2018-01-28,300.069,11.74166666666667
2018-01-29,123.819,14.50958333333333
2018-01-30,241.234,16.40291666666667
2018-01-31,302.578,14.01791666666667
2018-02-01,381.538,11.5905
2018-02-02,0.0,16.32458333333333
2018-02-03,450.859,14.45625
2018-02-04,0.0,7.827083333333333
2018-02-05,448.706,11.406
2018-02-06,0.0,10.312
2018-02-07,365.659,7.664166666666667
2018-02-08,415.239,8.601666666666667
2018-02-09,290.041,9.623333333333333
2018-02-10,453.696,10.87541666666667
2018-02-11,0.0,11.17375
2018-02-12,453.265,18.20782608695652
2018-02-13,361.646,18.60125
2018-02-14,373.116,14.01416666666667
2018-02-15,0.0,8.535833333333333
2018-02-16,0.0,10.11166666666667
2018-02-17,0.0,9.968333333333334
2018-02-18,0.0,11.07666666666667
2018-02-19,0.0,8.839583333333334
2018-02-20,0.0,8.14875
2018-02-21,531.855,10.35666666666667
2018-02-22,0.0,9.127083333333333
2018-02-23,547.144,7.117083333333333
2018-02-24,464.46,8.272083333333333
2018-02-25,310.715,9.415000000000001
2018-02-26,440.181,11.09541666666667
2018-02-27,0.0,12.55708333333333
2018-02-28,0.0,13.26083333333333
2018-03-01,265.362,12.74291666666667
2018-03-02,0.0,11.27291666666667
2018-03-03,0.0,10.24333333333333
2018-03-04,0.0,11.64375
2018-03-05,0.0,8.260833333333332
2018-03-06,0.0,11.3025
2018-03-07,0.0,14.30666666666667
2018-03-08,0.0,12.145
2018-03-09,578.49,13.6625
2018-03-10,214.161,12.41958333333333
2018-03-11,387.291,14.00391304347826
2018-03-12,305.916,12.60458333333333
2018-03-13,0.0,17.55708333333333
2018-03-14,199.844,17.97818181818182
2018-03-15,0.0,22.69727272727273
2018-03-16,0.0,19.05454545454545
2018-03-17,0.0,15.42916666666667
2018-03-18,481.173,12.08608695652174
2018-03-19,0.0,12.51
2018-03-20,0.0,19.95458333333334
2018-03-21,420.685,15.07208333333333
2018-03-22,0.0,15.93583333333333
2018-03-23,0.0,19.14333333333333
2018-03-24,0.0,17.68875
2018-03-25,270.799,14.59125
2018-03-26,529.252,16.97333333333333
2018-03-27,462.379,18.28666666666667
2018-03-28,335.899,14.60541666666667
2018-03-29,0.0,13.3725
2018-03-30,570.333,12.39958333333333
2018-03-31,0.0,7.484999999999999
2018-04-01,0.0,6.669583333333333
2018-04-02,0.0,8.467647058823529
2018-04-03,0.0,9.699166666666667
2018-04-04,500.272,8.66
2018-04-05,0.0,12.49208333333333
2018-04-06,443.0,10.86916666666667
2018-04-07,0.0,13.48666666666667
2018-04-08,0.0,12.3625
2018-04-09,0.0,10.345
2018-04-10,0.0,9.402272727272727
2018-04-11,0.0,18.24791666666667
2018-04-12,59.058,15.82916666666667
2018-04-13,0.0,13.68583333333333
2018-04-14,0.0,16.035
2018-04-15,338.631,12.67083333333333
2018-04-16,0.0,13.0525
2018-04-17,350.964,9.673478260869565
2018-04-18,365.16,11.39708333333333
2018-04-19,377.305,13.18083333333333
2018-04-20,333.271,10.61875
2018-04-21,251.027,12.47708333333333
2018-04-22,181.079,9.209166666666667
