Fecha,Carapungo,SanAntonio,Tumbaco,Guamani,Cotocollao,Belisario,Centro,LosChillos,ElCamal
2018-03-10 14:00,17.56,27.3,1.16,4.14,6.04,4.32,3.13,2.27,6.54
2018-03-11 14:00,26.4,49.3,0.39,4.1,6.21,1.96,4.51,5.09,3.66
2018-03-12 14:00,18.4,25.3,7.28,10.86,13.72,9.58,8.7,4.63,21.54
2018-03-13 14:00,34.99,,38.93,26.48,28.51,22.65,21.03,10.62,14.95
2018-03-14 14:00,28.67,22.2,10.15,9.04,18.92,19.3,6.5,7.23,6.52
2018-03-15 14:00,36.39,24.1,15.01,33.85,20.95,27.11,19.66,20.12,20.72
2018-03-16 14:00,25.87,13.2,10.35,6.79,19.85,19.52,5.96,2.74,72.51
2018-03-17 14:00,25.35,11.8,25.92,27.27,22.5,27.7,17.96,26.92,13.34
2018-03-18 14:00,28.24,16,18.08,24.82,11.1,20.09,31.13,34.58,25.49
2018-03-19 14:00,47.03,-4,10.63,20.2,17.2,26.69,35.72,41.47,29.74
2018-03-20 14:00,18.42,16.4,7.52,27.08,17.16,10.45,18.45,16.24,23.96
2018-03-21 14:00,14.59,16.6,7.07,7.8,7.83,10.4,4.42,4.85,7.53
2018-03-22 14:00,9.94,19.2,3.78,,5.87,5.49,8.52,9.19,11.35
2018-03-23 14:00,20.26,14,11.07,17.77,22.28,32.35,21.56,13.97,18.72
2018-03-24 14:00,15.56,-8.9,34.03,28.71,8.8,28.09,19.93,22.67,8.57
2018-03-25 14:00,22.64,7,12.81,29.79,20.46,9.96,21.43,11.32,30.41
2018-03-26 14:00,34.78,16.2,24.62,19.51,19.13,21.39,23.99,30.6,12.94
2018-03-27 14:00,26.76,5.2,12.13,23.2,14.86,18.81,15.41,16.95,23.39
2018-03-28 14:00,26.86,1.4,13.52,,11.4,11.71,22.12,31.86,20.81
2018-03-29 14:00,15.53,4,9.16,25.93,14.3,19.25,25.84,17.19,55.64
2018-03-30 14:00,21.52,11.4,11.61,21.68,13.88,17.63,,28.19,22.04
2018-03-31 14:00,5.55,-2.2,12.58,13.16,6.43,13.1,,17.9,14.13
2018-04-01 14:00,8.47,2.3,2.87,26.21,0.16,5.1,,20.71,0.69
2018-04-02 14:00,7.54,12.4,6.86,11.82,12.75,11.26,10.28,5.19,12.18
2018-04-03 14:00,26.83,-3.2,8.18,12.89,24.78,13.1,14.75,16.33,58.26
2018-04-04 14:00,21.84,3.1,28.21,18.83,1.39,3.54,10.62,13.18,20.5
2018-04-05 14:00,9.81,2,9.12,5.1,15.65,7.51,0.45,6.78,2.28
2018-04-06 14:00,3.29,9.3,17.35,17.69,0.66,10.35,,22.03,2.98
2018-04-07 14:00,4.67,6.9,8.58,19.23,1.66,12.14,12.66,11.91,2.98
2018-04-08 14:00,17.53,6.5,4.38,17.43,13.46,19.21,11.5,17.03,28.66
2018-04-09 14:00,20.31,13.3,7.73,16.9,10.81,15.2,22.98,6.38,10.26
2018-04-10 14:00,10.07,17.9,8.65,14.45,2.94,7.85,5.86,14.7,4.65
2018-04-11 14:00,28.83,16.5,5.69,8.92,19,27.84,4.39,16.45,1.78
2018-04-12 14:00,17.3,14.1,10.11,5.12,8.58,16.99,19.2,15.67,8.76
2018-04-13 14:00,16.86,24.1,11.94,10.69,10.34,12.81,12.72,13.36,38.95
2018-04-14 14:00,32.23,9.2,19.37,12.6,24.57,20.33,10.2,17.97,41.12
2018-04-15 14:00,16.86,21.4,5.59,9.79,21.06,3.76,0.33,12.25,14.74
