Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2018-03-06 18:00:00,21.1,18.45,18.02,,26.96,24.62,17.41,17.7,7.96
2018-03-07 18:00:00,13.73,10.76,13.05,9.67,6.63,19.1,11.98,7.3,10.46
2018-03-08 18:00:00,13.69,17.82,17.8,10.5,29.58,19.33,21.02,13.8,11.11
2018-03-09 18:00:00,13.88,23.75,17.42,8.2,19.71,23.64,7.04,12.2,15.51
2018-03-10 18:00:00,19.73,22.57,12.72,9.22,1.31,10.59,16.3,-0.1,10.47
2018-03-11 18:00:00,12.36,28.73,10.9,12.99,13.71,19.73,11.21,15.2,41.25
2018-03-12 18:00:00,22.88,15.02,30.05,10.95,23.65,27.39,22.26,3.8,17.25
2018-03-13 18:00:00,24.53,40.79,37.39,18.39,25.62,32.93,18.25,16.8,26.99
2018-03-14 18:00:00,29.16,24.79,31.29,10.53,28.55,29.18,26.17,29.2,18.99
2018-03-15 18:00:00,27.51,29.06,20.18,7.59,8.83,72.89,31.73,26.5,21.75
2018-03-16 18:00:00,17.33,19.62,5.38,8.9,2.13,21.2,18.91,15.6,8.82
2018-03-17 18:00:00,19.15,28.4,23.91,14.11,18.39,44.56,32.84,18.0,18.98
2018-03-18 18:00:00,14.71,11.42,23.14,4.65,8.99,13.81,8.11,3.8,7.01
2018-03-19 18:00:00,28.65,30.71,19.45,22.39,20.52,23.74,16.57,17.6,30.92
2018-03-20 18:00:00,23.71,25.41,20.56,4.77,5.4,21.6,24.96,16.9,15.75
2018-03-21 18:00:00,16.66,18.46,20.94,14.61,24.1,16.97,30.0,11.8,17.42
2018-03-22 18:00:00,24.04,20.84,13.7,18.95,14.59,22.46,18.42,19.9,11.31
2018-03-23 18:00:00,20.14,29.12,17.1,18.52,0.0,17.56,24.23,4.3,19.96
2018-03-24 18:00:00,14.77,14.37,27.58,8.3,41.4,27.14,22.24,11.1,23.57
2018-03-25 18:00:00,10.98,17.13,20.09,9.32,0.4,22.84,8.18,6.6,11.96
2018-03-26 18:00:00,18.26,31.19,30.18,11.14,24.29,47.39,31.92,3.9,20.49
2018-03-27 18:00:00,24.49,14.43,32.68,12.81,15.2,40.0,32.41,7.9,39.21
2018-03-28 18:00:00,18.65,39.97,22.29,18.32,9.62,26.25,16.11,6.6,15.22
2018-03-29 18:00:00,13.25,11.69,13.55,9.5,10.34,19.49,5.75,8.6,5.84
2018-03-30 18:00:00,13.9,31.83,,8.65,9.41,28.94,6.6,15.3,13.37
2018-03-31 18:00:00,14.38,8.25,,9.64,18.47,28.15,12.73,8.6,4.88
2018-04-01 18:00:00,15.11,25.51,,8.35,0.12,17.62,15.52,7.5,12.06
2018-04-02 18:00:00,30.07,20.71,29.95,12.47,12.97,10.41,18.45,20.5,22.29
2018-04-03 18:00:00,24.44,13.77,17.21,8.49,8.02,21.12,21.91,11.3,12.92
2018-04-04 18:00:00,14.64,8.31,16.42,9.93,38.8,25.58,11.17,13.0,7.51
2018-04-05 18:00:00,19.19,19.91,20.15,7.02,28.46,20.05,23.53,0.2,13.71
2018-04-06 18:00:00,19.29,41.99,11.98,23.03,29.33,21.06,13.84,16.9,7.14
2018-04-07 18:00:00,11.88,24.48,13.16,16.35,2.47,16.06,16.45,12.7,10.35
2018-04-08 18:00:00,13.88,7.76,16.62,3.29,10.96,16.03,14.42,8.2,22.21
2018-04-09 18:00:00,15.48,14.48,17.42,10.42,15.01,31.42,10.62,14.6,9.36
2018-04-10 18:00:00,17.74,8.54,17.09,7.2,10.36,20.55,6.87,10.5,11.34
2018-04-11 18:00:00,25.24,49.73,25.3,29.41,2.33,30.41,24.6,18.9,20.61
2018-04-12 18:00:00,17.44,7.67,14.1,6.5,0.81,32.72,17.49,9.9,14.15
2018-04-13 18:00:00,23.36,15.95,19.78,10.52,10.84,15.75,27.0,11.7,5.28
2018-04-14 18:00:00,24.07,15.13,11.62,12.78,25.73,21.12,16.33,16.7,11.97
2018-04-15 18:00:00,13.83,18.44,16.17,10.64,28.3,13.56,10.49,17.4,17.01
2018-04-16 18:00:00,17.25,17.34,16.16,14.16,36.46,14.9,13.47,17.1,3.92
2018-04-17 18:00:00,19.92,16.77,13.43,6.78,2.33,25.78,15.59,20.4,3.78
2018-04-18 18:00:00,14.47,23.11,13.36,25.27,38.02,22.77,18.07,9.4,22.44
2018-04-19 18:00:00,9.4,,17.44,,22.44,,6.74,6.7,11.62
2018-04-20 18:00:00,11.53,14.97,11.07,10.77,13.31,21.12,14.15,10.6,18.84
2018-04-21 18:00:00,14.88,7.97,20.66,7.43,33.81,,28.48,18.8,3.79
2018-04-22 18:00:00,14.91,18.12,17.5,7.21,31.07,,17.73,24.2,18.71
2018-04-23 18:00:00,19.07,26.27,17.81,14.14,1.24,19.7,12.87,16.4,20.03
2018-04-24 18:00:00,24.65,33.48,24.55,19.8,55.91,24.77,47.32,20.5,28.71
2018-04-25 18:00:00,30.71,18.13,19.67,13.16,24.89,22.29,22.44,12.3,16.0
2018-04-26 18:00:00,31.97,17.96,23.38,10.48,34.9,29.87,25.36,13.3,19.92
2018-04-27 18:00:00,11.07,22.2,22.15,15.49,27.2,21.33,5.56,13.2,18.52
2018-04-28 18:00:00,20.94,27.1,21.75,18.76,19.15,22.02,18.04,6.7,14.47
2018-04-29 18:00:00,25.95,22.92,28.55,19.47,9.4,30.63,20.86,0.3,21.02
2018-04-30 18:00:00,15.8,24.03,14.58,14.31,33.96,14.42,12.57,9.2,13.22
2018-05-01 18:00:00,12.89,17.02,16.28,6.74,10.39,31.25,21.38,11.9,19.95
2018-05-02 18:00:00,11.2,1.18,10.01,9.99,1.68,9.01,9.65,,15.84
2018-05-03 18:00:00,30.97,5.69,17.15,13.94,36.43,28.6,16.66,5.1,16.78
2018-05-04 18:00:00,27.7,21.4,21.46,8.35,22.46,30.02,14.32,16.4,4.8
2018-05-05 18:00:00,18.13,17.22,15.7,9.9,18.33,22.62,14.84,17.1,23.22
2018-05-06 18:00:00,5.39,10.98,17.8,6.89,6.96,18.51,11.78,11.9,16.63
2018-05-07 18:00:00,22.22,12.18,14.74,2.8,31.89,20.97,6.61,-8.0,10.7
2018-05-08 18:00:00,26.48,6.91,16.55,1.79,16.69,34.14,20.38,2.3,15.77
2018-05-09 18:00:00,17.41,14.67,21.01,11.35,50.65,23.61,9.03,-2.3,7.59
2018-05-10 18:00:00,13.13,10.92,17.07,10.26,62.82,34.92,14.29,-4.5,8.33
2018-05-11 18:00:00,25.02,23.48,30.08,15.53,11.72,19.17,21.58,23.7,13.52
2018-05-12 18:00:00,24.04,23.07,,11.56,37.29,25.93,20.39,1.1,15.7
2018-05-13 18:00:00,11.98,15.76,,8.19,29.86,33.22,11.41,4.1,7.99
2018-05-14 18:00:00,11.58,9.25,15.41,4.38,10.9,22.23,16.69,6.1,18.36
2018-05-15 18:00:00,20.22,16.97,4.63,15.32,4.77,11.12,11.07,7.8,10.03
2018-05-16 18:00:00,17.83,21.35,19.6,12.79,13.87,33.83,9.61,19.7,11.48
2018-05-17 18:00:00,19.27,29.31,22.05,11.38,16.54,14.27,13.52,6.4,16.1
2018-05-18 18:00:00,18.27,27.59,15.06,19.28,0.0,24.01,5.89,19.8,11.31
2018-05-19 18:00:00,27.2,30.52,19.5,10.26,0.27,25.56,16.34,9.6,21.97
2018-05-20 18:00:00,14.4,14.58,11.56,6.33,22.48,11.61,17.08,12.4,11.2
2018-05-21 18:00:00,25.4,16.51,17.92,6.95,5.43,11.24,16.08,8.9,9.13
2018-05-22 18:00:00,29.47,30.52,18.95,15.81,4.22,22.39,23.15,18.4,29.09
2018-05-23 18:00:00,10.67,16.25,14.14,7.06,3.36,26.93,13.81,3.8,8.61
2018-05-24 18:00:00,24.76,12.35,22.77,13.28,7.78,16.48,23.95,2.9,19.94
2018-05-25 18:00:00,12.65,22.34,9.52,13.28,4.51,26.41,21.73,17.7,17.44
2018-05-26 18:00:00,15.69,8.76,15.29,12.9,24.11,23.29,19.7,0.5,7.94
2018-05-27 18:00:00,16.19,13.48,18.57,13.4,15.21,97.13,22.82,4.3,7.34
2018-05-28 18:00:00,25.39,7.2,14.12,11.38,,27.65,11.65,15.9,14.26
2018-05-29 18:00:00,18.71,14.86,,3.83,,13.31,10.82,10.7,9.16
2018-05-30 18:00:00,23.87,33.43,25.56,17.75,,17.71,18.24,16.7,8.83
2018-05-31 18:00:00,10.5,16.57,19.23,14.9,,22.92,18.15,16.3,44.46
2018-06-01 18:00:00,27.02,23.74,23.09,9.15,,21.59,26.33,12.0,5.16
2018-06-02 18:00:00,12.04,22.79,19.2,14.49,31.1,28.56,9.68,11.1,23.6
2018-06-03 18:00:00,7.12,15.83,6.61,12.77,11.73,21.74,11.84,6.8,32.34
2018-06-04 18:00:00,13.09,20.44,8.6,16.29,14.33,15.64,17.18,9.5,14.0
2018-06-05 18:00:00,12.84,34.62,4.62,20.08,12.72,11.16,21.56,20.1,17.66
2018-06-06 18:00:00,13.06,25.38,14.67,18.73,36.03,18.44,10.64,20.1,19.73
2018-06-07 18:00:00,10.48,25.02,7.49,11.37,14.61,20.01,4.24,-34.4,10.07
2018-06-08 18:00:00,19.92,8.58,16.62,21.9,25.13,23.06,10.45,10.3,24.88
2018-06-09 18:00:00,9.59,26.0,,14.09,13.49,38.7,19.89,9.2,22.34
2018-06-10 18:00:00,14.79,8.24,,13.2,11.17,19.43,9.66,3.8,1.98
2018-06-11 18:00:00,10.5,15.02,12.87,10.56,30.72,28.39,18.65,-6.3,28.49
2018-06-12 18:00:00,6.51,29.0,14.24,10.07,22.12,15.34,15.22,25.2,17.38
2018-06-13 18:00:00,16.22,15.89,22.61,13.35,25.54,38.66,23.57,11.0,5.97
2018-06-14 18:00:00,23.82,9.83,14.99,11.96,4.07,15.58,21.22,19.3,15.12
2018-06-15 18:00:00,16.53,22.38,13.84,15.56,5.21,12.8,17.21,,21.08
2018-06-16 18:00:00,10.0,6.65,12.04,9.75,16.69,10.78,13.99,5.1,28.97
2018-06-17 18:00:00,4.45,3.75,5.85,7.46,8.27,7.86,9.06,1.8,7.34
2018-06-18 18:00:00,11.08,28.99,3.05,9.16,1.57,15.62,10.0,12.1,11.81
