Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
2018-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-18,0.0,0.0,0.59,0.96,0.54,11.06,4.34,7.27,2.54
2018-03-19,0.0,0.0,0.24,0.0,0.0,8.05,0.0,0.0,0.0
2018-03-20,0.3,0.98,1.82,4.56,1.73,2.31,1.48,6.19,0.0
2018-03-21,0.0,3.27,1.37,0.0,1.04,0.0,3.36,4.6,3.05
2018-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-25,0.48,7.69,7.45,0.54,5.38,6.95,7.88,5.19,6.37
2018-03-26,0.0,2.92,1.46,0.0,0.12,0.23,4.39,0.0,10.02
2018-03-27,2.79,11.55,11.27,0.0,6.77,9.03,2.11,0.0,9.71
2018-03-28,0.0,0.95,0.18,0.86,0.78,9.63,6.77,0.98,8.06
2018-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0
2018-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08,0.0,0.0,0.97,1.17,0.0,0.56,1.38,4.25,0.0
2018-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-12,6.85,3.17,4.92,3.98,2.22,6.1,3.82,3.12,1.01
2018-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14,3.86,3.5,8.43,0.76,4.05,8.3,4.13,0.0,0.0
2018-04-15,0.0,0.0,0.54,0.0,0.0,1.93,1.55,0.47,0.45
2018-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17,0.78,0.39,4.38,1.03,0.25,9.97,2.04,4.02,9.83
2018-04-18,0.0,0.0,2.97,0.0,0.0,9.08,0.12,3.25,8.05
2018-04-19,0.0,1.04,0.0,8.35,8.63,0.0,7.43,3.54,2.02
2018-04-20,0.03,0.79,0.42,4.8,1.49,1.93,6.15,0.24,5.21
2018-04-21,6.43,7.05,8.38,8.86,7.33,7.14,8.12,5.5,3.28
2018-04-22,0.3,5.46,5.63,3.53,5.2,5.67,5.62,3.68,5.86
2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24,0.0,4.83,9.23,0.0,1.04,4.34,0.39,6.89,2.45
2018-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-27,0.0,1.87,0.58,0.0,0.84,0.58,0.28,1.58,0.47
2018-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.07,1.14,0.0,0.0,2.21,0.0,0.0,5.5
2018-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-03,0.0,6.74,8.76,4.28,4.12,12.44,3.2,7.0,6.82
2018-05-04,0.0,5.35,4.39,7.37,0.32,3.29,9.28,4.84,5.74
2018-05-05,0.0,5.75,4.3,0.03,3.89,0.0,1.05,2.95,0.0
2018-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.08,2.54
2018-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-10,0.0,9.09,5.23,1.41,4.27,2.93,0.0,0.4,1.91
2018-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-14,0.0,0.57,0.65,0.0,0.0,8.52,0.0,2.22,0.0
2018-05-15,2.94,1.72,3.48,7.66,1.58,1.54,6.79,2.57,4.12
2018-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-17,0.0,1.81,1.34,0.69,1.31,3.53,1.41,0.0,8.25
2018-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-19,3.78,1.08,0.42,0.0,0.0,8.91,0.0,4.54,0.02
2018-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-21,0.0,0.0,0.0,1.06,0.0,0.0,0.0,2.49,0.0
2018-05-22,0.0,0.0,0.0,0.01,0.01,0.01,0.4,3.3,3.59
2018-05-23,0.0,0.08,3.51,0.0,2.5,0.79,0.0,0.0,0.0
2018-05-24,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,3.11
2018-05-25,0.0,5.82,2.89,0.0,3.56,0.0,0.0,0.0,0.0
2018-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-28,0.0,0.0,0.0,0.0,1.03,2.61,0.0,1.12,12.75
2018-05-29,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,5.83
2018-05-30,0.2,8.71,7.47,5.27,5.46,6.59,1.42,4.73,11.39
2018-05-31,5.71,2.72,3.87,3.38,1.41,1.46,3.51,2.13,1.03
2018-06-01,5.98,4.97,6.66,0.0,0.33,4.98,0.0,3.11,0.91
2018-06-02,0.52,6.18,8.38,3.41,7.69,7.13,0.0,1.73,6.34
2018-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-04,0.0,0.0,0.11,0.0,0.4,0.0,0.02,0.84,0.0
2018-06-05,0.0,7.33,4.85,0.14,4.66,6.55,0.0,0.0,0.52
2018-06-06,6.09,5.34,4.39,3.97,4.87,3.12,4.65,4.05,3.35
2018-06-07,3.04,3.31,3.27,2.34,4.72,2.09,2.4,4.29,2.08
2018-06-08,4.88,3.6,3.12,4.71,4.02,3.14,4.8,3.05,5.38
2018-06-09,2.52,2.62,6.81,0.61,3.61,6.88,6.18,2.82,5.57
2018-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-11,3.51,5.94,6.27,6.16,7.5,1.1,7.48,3.6,6.37
2018-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-13,8.57,3.61,3.53,5.58,3.66,1.05,6.95,3.05,3.81
2018-06-14,2.99,0.87,0.43,0.02,0.0,1.6,5.68,2.54,0.21
2018-06-15,0.0,0.46,1.29,0.0,0.0,0.0,0.0,0.87,0.0
2018-06-16,0.0,4.7,5.25,9.44,1.29,0.6,7.54,6.64,5.05
2018-06-17,0.0,0.0,0.0,3.01,0.0,0.0,0.0,3.79,0.0
2018-06-18,0.0,2.82,2.97,2.31,6.09,3.29,0.0,4.06,1.63
2018-06-19,0.0,0.0,0.0,0.0,1.61,2.73,0.0,0.0,3.9
2018-06-20,0.0,0.45,0.83,7.3,3.19,0.82,4.52,0.0,2.24
2018-06-21,5.78,5.96,5.4,3.01,4.52,4.91,2.04,0.58,1.37
2018-06-22,5.0,4.0,3.91,4.52,4.09,3.48,4.17,2.65,2.74
2018-06-23,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0
2018-06-24,0.0,0.0,0.0,1.27,0.0,0.0,0.56,0.36,0.0
2018-06-25,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.48,0.0
2018-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,0.0,0.0,0.0,0.5,0.0,0.0,8.28,1.39,0.0
2018-07-01,0.0,1.61,3.31,3.31,0.06,0.0,7.4,4.9,0.0
2018-07-02,4.33,1.56,1.01,3.75,2.5,1.42,1.69,1.34,0.34
2018-07-03,5.18,4.06,5.0,3.83,3.75,0.0,3.53,1.71,2.36
2018-07-04,0.0,0.57,1.02,0.01,1.71,3.14,3.0,1.96,5.81
2018-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-06,0.62,0.0,0.34,6.84,7.93,5.01,4.08,0.0,0.36
2018-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-08,7.19,6.42,6.11,1.5,4.29,4.06,4.08,4.29,1.43
2018-07-09,0.0,0.4,0.32,3.76,2.23,0.92,3.39,0.0,4.97
2018-07-10,5.78,4.69,3.75,4.9,4.75,3.7,4.41,4.13,3.72
2018-07-11,1.63,2.51,4.97,2.52,2.86,3.86,2.37,4.77,6.43
2018-07-12,6.75,5.32,4.36,5.29,5.03,5.35,4.57,3.13,6.68
2018-07-13,2.31,4.56,2.8,0.02,2.44,4.99,1.95,5.57,4.2
2018-07-14,0.0,6.58,8.43,0.0,1.27,4.85,0.0,6.34,4.05
2018-07-15,5.77,4.01,3.31,5.04,4.77,2.03,6.0,3.27,2.62
2018-07-16,1.26,2.61,2.61,0.32,2.4,1.6,0.85,3.53,1.45
2018-07-17,0.17,4.26,4.07,0.12,0.1,3.61,0.14,4.74,0.0
2018-07-18,1.99,0.1,0.77,0.0,0.0,3.56,0.17,0.0,2.88
2018-07-19,6.27,0.0,2.65,4.03,1.01,3.6,3.87,0.0,0.0
2018-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
2018-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
2018-07-23,6.37,7.13,6.86,1.61,7.02,4.12,1.35,6.83,3.82
2018-07-24,0.0,0.62,0.32,5.11,4.45,0.0,5.07,6.66,4.95
2018-07-25,5.53,0.25,0.47,0.0,0.0,0.29,0.57,2.91,3.85
2018-07-26,6.24,5.11,4.86,5.97,5.75,6.22,3.89,3.62,0.0
2018-07-27,0.0,0.0,0.0,0.0,0.3,0.19,0.0,0.0,0.86
2018-07-28,4.8,4.1,4.05,4.69,3.92,4.32,3.63,2.45,6.24
2018-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
2018-08-01,6.47,3.92,4.93,7.12,3.84,2.55,5.91,4.51,0.45
2018-08-02,5.98,2.67,4.03,4.71,2.84,1.89,4.21,1.73,3.78
2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-05,4.03,7.29,7.18,7.51,8.47,5.61,9.25,3.91,5.22
2018-08-06,0.0,0.0,0.0,0.0,0.0,2.33,4.28,8.98,5.67
2018-08-07,4.74,6.47,5.49,0.0,7.84,2.27,0.0,0.0,4.67
2018-08-08,3.91,7.13,7.78,0.0,6.72,6.02,1.21,7.55,4.43
2018-08-09,5.29,4.76,5.77,6.9,4.89,5.74,3.92,4.82,3.97
2018-08-10,6.33,2.49,0.19,6.14,5.34,0.98,3.31,4.28,4.05
2018-08-11,6.23,5.38,4.62,5.02,4.83,5.08,4.4,3.92,6.0
2018-08-12,0.19,1.72,1.24,3.36,3.53,0.46,1.14,0.0,0.11
2018-08-13,6.5,7.37,3.68,7.43,6.98,4.68,7.87,0.73,0.0
2018-08-14,2.29,1.45,5.15,0.0,1.09,5.15,3.58,6.07,4.77
2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
2018-08-16,2.73,3.56,3.81,0.28,4.95,4.9,0.61,2.51,1.23
2018-08-17,0.0,0.05,1.79,0.75,4.83,5.95,0.91,5.14,5.64
2018-08-18,4.06,5.23,4.31,3.98,5.1,4.12,3.07,3.99,3.75
2018-08-19,0.01,2.11,0.23,3.19,6.81,0.0,0.0,1.39,3.2
2018-08-20,7.49,5.3,6.47,5.91,5.85,7.08,5.06,4.75,5.45
2018-08-21,0.0,0.81,3.33,3.36,1.94,2.09,3.47,2.68,4.35
2018-08-22,0.0,0.0,1.96,0.0,0.02,5.23,0.0,0.0,7.16
2018-08-23,3.58,9.53,10.45,8.06,9.43,9.7,8.11,7.67,8.81
2018-08-24,1.82,3.52,5.82,2.98,3.96,4.04,2.87,3.88,3.25
2018-08-25,3.9,3.92,2.86,3.62,3.58,2.17,2.27,4.57,2.43
2018-08-26,3.78,0.83,0.0,5.24,5.48,5.06,2.01,0.56,5.15
2018-08-27,0.0,0.0,0.19,1.72,0.0,0.0,1.87,0.0,0.0
2018-08-28,0.38,3.4,4.51,4.59,2.71,1.41,6.83,0.27,1.67
2018-08-29,4.02,5.91,4.84,5.44,4.47,5.82,4.45,3.57,6.73
2018-08-30,1.1,3.85,4.4,4.03,4.53,2.7,7.96,2.38,4.44
2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,3.19,6.33,6.12,1.34,6.71,6.48,1.48,7.14,6.13
2018-09-02,0.0,0.0,0.0,0.0,0.0,4.37,0.0,2.64,0.94
2018-09-03,0.61,2.78,2.15,0.9,6.34,2.96,1.78,2.3,5.14
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.1,0.0
2018-09-05,0.0,0.0,0.0,0.09,1.95,0.22,1.6,0.0,0.58
2018-09-06,2.96,5.33,6.17,5.25,5.46,2.31,7.33,5.56,1.82
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-08,0.0,0.0,0.0,1.04,4.35,0.12,0.0,0.78,2.91
2018-09-09,0.0,0.0,0.0,4.22,0.0,0.0,6.45,0.0,0.0
2018-09-10,0.35,0.0,0.0,0.98,1.38,0.39,4.28,2.38,6.98
2018-09-11,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-13,0.0,1.11,1.24,0.0,0.74,2.18,0.39,0.2,0.0
2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-17,4.55,1.84,2.31,6.87,3.7,3.15,6.08,3.1,4.78
2018-09-18,0.36,0.14,1.74,4.4,1.83,4.36,5.32,5.55,3.62
2018-09-19,7.72,6.78,5.63,1.93,7.12,4.18,1.8,4.13,6.39
2018-09-20,4.5,3.36,2.38,1.95,3.85,1.16,3.3,3.55,2.05
2018-09-21,0.0,5.58,2.84,0.06,0.0,0.0,0.35,4.04,0.0
2018-09-22,2.73,1.13,1.75,1.55,0.3,0.37,0.0,0.88,1.31
2018-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-24,4.98,0.04,0.0,3.76,3.73,3.64,2.2,1.32,6.48
2018-09-25,4.69,0.0,0.0,0.0,0.33,1.81,1.81,3.98,7.55
2018-09-26,0.0,0.0,0.0,4.37,0.12,2.08,0.0,0.0,0.0
2018-09-27,0.19,0.0,0.0,0.24,0.44,0.06,1.42,4.32,7.54
2018-09-28,3.31,4.4,3.44,3.31,3.4,2.52,3.39,3.47,4.04
2018-09-29,9.87,6.49,5.63,6.03,7.46,4.85,6.56,7.53,4.9
2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,3.38,8.47,3.07,9.73,7.81,10.96,13.85,8.43,12.55
2018-10-02,0.0,0.0,0.0,0.0,0.0,0.0,6.94,8.68,0.0
2018-10-03,0.71,1.09,2.57,3.48,3.77,5.35,4.17,6.1,6.89
2018-10-04,0.0,0.0,1.96,0.11,0.0,10.31,0.34,1.93,9.47
2018-10-05,0.0,6.12,7.06,6.93,7.58,0.61,6.2,6.77,0.0
2018-10-06,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-12,6.1,0.24,0.36,5.11,2.37,0.89,5.93,5.52,9.56
2018-10-13,0.0,0.0,0.0,0.8,0.0,1.06,0.12,5.35,0.0
2018-10-14,0.0,3.53,6.52,9.25,1.59,0.01,9.15,5.87,6.75
2018-10-15,3.33,7.04,5.32,5.08,8.16,4.71,5.07,7.71,6.21
2018-10-16,0.52,2.36,1.44,0.81,4.74,13.63,9.68,1.35,7.87
2018-10-17,0.0,4.72,2.28,3.79,7.19,5.97,7.43,9.16,7.78
2018-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-19,1.62,4.26,2.92,3.01,3.13,4.8,3.12,5.39,6.33
2018-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-21,7.52,2.85,0.81,5.11,1.56,6.96,0.5,4.69,10.32
2018-10-22,0.0,0.0,1.24,1.04,0.47,10.79,1.48,4.72,10.79
2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-24,7.56,2.34,3.56,4.68,4.16,3.64,4.99,4.5,2.92
2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-26,0.0,0.0,0.0,0.0,0.67,0.0,0.56,3.22,2.61
2018-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-28,0.77,0.37,0.02,1.1,0.45,1.8,0.2,7.06,0.53
2018-10-29,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.92
2018-10-30,6.67,4.88,4.92,4.74,5.78,6.88,3.75,3.66,6.52
2018-10-31,0.0,0.0,0.0,0.03,0.0,0.08,0.01,0.28,0.03
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-02,0.0,4.24,4.83,5.81,0.77,4.14,5.24,8.48,6.34
